,random_state,load_pattern,exp_type,regression_method,trace_family,y_metric,nmae,training_time
51,1,FlashcrowdLoad,SingleApp,random_forest,VoD,DispFrames,0.10950037595735022,8.275129318237305
52,2,FlashcrowdLoad,SingleApp,reg_tree,VoD,DispFrames,0.11590174691411521,0.8201465606689453
53,2,FlashcrowdLoad,SingleApp,random_forest,VoD,DispFrames,0.10920941096845815,8.258037328720093
54,3,FlashcrowdLoad,SingleApp,reg_tree,VoD,DispFrames,0.11770260334892119,0.8428354263305664
55,3,FlashcrowdLoad,SingleApp,random_forest,VoD,DispFrames,0.10858287782290424,8.64666485786438
56,4,FlashcrowdLoad,SingleApp,reg_tree,VoD,DispFrames,0.11709258915496153,0.792130708694458
57,4,FlashcrowdLoad,SingleApp,random_forest,VoD,DispFrames,0.10905485771645042,9.59489107131958
58,5,FlashcrowdLoad,SingleApp,reg_tree,VoD,DispFrames,0.11621506484094296,0.8122949600219727
59,5,FlashcrowdLoad,SingleApp,random_forest,VoD,DispFrames,0.10873730702568156,8.204497337341309
60,0,FlashcrowdLoad,SingleApp,reg_tree,VoD,noAudioPlayed,0.3204627822693058,1.146524429321289
61,0,FlashcrowdLoad,SingleApp,random_forest,VoD,noAudioPlayed,0.2501654842648943,11.42093539237976
62,1,FlashcrowdLoad,SingleApp,reg_tree,VoD,noAudioPlayed,0.3130539969648867,1.0803825855255127
63,1,FlashcrowdLoad,SingleApp,random_forest,VoD,noAudioPlayed,0.24496878113092735,10.78782057762146
64,2,FlashcrowdLoad,SingleApp,reg_tree,VoD,noAudioPlayed,0.31511322794990604,1.02811861038208
65,2,FlashcrowdLoad,SingleApp,random_forest,VoD,noAudioPlayed,0.2475806543028649,11.168513059616089
66,3,FlashcrowdLoad,SingleApp,reg_tree,VoD,noAudioPlayed,0.3258155801510749,1.0384526252746582
67,3,FlashcrowdLoad,SingleApp,random_forest,VoD,noAudioPlayed,0.24811742953115087,11.329378128051758
68,4,FlashcrowdLoad,SingleApp,reg_tree,VoD,noAudioPlayed,0.3140133729145444,1.090261459350586
69,4,FlashcrowdLoad,SingleApp,random_forest,VoD,noAudioPlayed,0.24725093649677027,11.946971893310547
70,5,FlashcrowdLoad,SingleApp,reg_tree,VoD,noAudioPlayed,0.30780897623586295,1.1175158023834229
71,5,FlashcrowdLoad,SingleApp,random_forest,VoD,noAudioPlayed,0.24383234968261341,11.030492544174194
72,0,PeriodicLoad,SingleApp,reg_tree,VoD,DispFrames,0.11443916534206557,0.8091042041778564
73,0,PeriodicLoad,SingleApp,random_forest,VoD,DispFrames,0.10688503088914846,9.202616691589355
74,1,PeriodicLoad,SingleApp,reg_tree,VoD,DispFrames,0.11390914803478404,0.8223803043365479
75,1,PeriodicLoad,SingleApp,random_forest,VoD,DispFrames,0.10742815270750207,9.353985786437988
76,2,PeriodicLoad,SingleApp,reg_tree,VoD,DispFrames,0.1101682557941722,0.7472927570343018
77,2,PeriodicLoad,SingleApp,random_forest,VoD,DispFrames,0.10682064718060078,8.824029922485352
78,3,PeriodicLoad,SingleApp,reg_tree,VoD,DispFrames,0.11292485715710779,0.7810163497924805
