experimento,período,carga,apps,feature,método,nmae,função
1,4,FlashcrowdLoad,BothApps,DispFrames,RF,0.08457175252066096,raw
2,2,FlashcrowdLoad,BothApps,DispFrames,RT,0.08257849639098826,média
2,2,FlashcrowdLoad,BothApps,DispFrames,RF,0.08360908388395151,média
2,2,FlashcrowdLoad,BothApps,DispFrames,RT,0.08012077728408458,máximo
2,2,FlashcrowdLoad,BothApps,DispFrames,RF,0.08306747698350588,máximo
2,2,FlashcrowdLoad,BothApps,DispFrames,RT,0.09160733308646497,mínimo
2,2,FlashcrowdLoad,BothApps,DispFrames,RF,0.08433725859023054,mínimo
1,2,FlashcrowdLoad,BothApps,DispFrames,RT,0.07801743957197117,raw
1,2,FlashcrowdLoad,BothApps,DispFrames,RF,0.0809243287208347,raw
3,256,PeriodicLoad,BothApps,DispFrames,RT,0.1024219907946899,raw
3,256,PeriodicLoad,BothApps,DispFrames,RF,0.1024219907946899,raw
2,256,PeriodicLoad,BothApps,DispFrames,RT,0.19204077829148006,média
2,256,PeriodicLoad,BothApps,DispFrames,RF,0.14300696463950083,média
2,256,PeriodicLoad,BothApps,DispFrames,RT,0.1493526547641326,máximo
2,256,PeriodicLoad,BothApps,DispFrames,RF,0.1494141647758417,máximo
2,256,PeriodicLoad,BothApps,DispFrames,RT,0.20268348528179833,mínimo
2,256,PeriodicLoad,BothApps,DispFrames,RF,0.14696384509280383,mínimo
1,256,PeriodicLoad,BothApps,DispFrames,RT,0.1161357500030269,raw
1,256,PeriodicLoad,BothApps,DispFrames,RF,0.13727807844894038,raw
3,128,PeriodicLoad,BothApps,DispFrames,RT,0.1366381203337725,raw
3,128,PeriodicLoad,BothApps,DispFrames,RF,0.1366381203337725,raw
2,128,PeriodicLoad,BothApps,DispFrames,RT,0.06396474627699923,média
2,128,PeriodicLoad,BothApps,DispFrames,RF,0.12522857028785886,média
2,128,PeriodicLoad,BothApps,DispFrames,RT,0.16484509122849045,máximo
2,128,PeriodicLoad,BothApps,DispFrames,RF,0.14335711362638237,máximo
2,128,PeriodicLoad,BothApps,DispFrames,RT,0.1608575877350581,mínimo
2,128,PeriodicLoad,BothApps,DispFrames,RF,0.1261881412943666,mínimo
1,128,PeriodicLoad,BothApps,DispFrames,RT,0.10401174605301357,raw
1,128,PeriodicLoad,BothApps,DispFrames,RF,0.11802948216298743,raw
3,64,PeriodicLoad,BothApps,DispFrames,RT,0.0888695541042475,raw
3,64,PeriodicLoad,BothApps,DispFrames,RF,0.0888695541042475,raw
2,64,PeriodicLoad,BothApps,DispFrames,RT,0.10810040999530753,média
2,64,PeriodicLoad,BothApps,DispFrames,RF,0.08702558542153364,média
2,64,PeriodicLoad,BothApps,DispFrames,RT,0.10239182190600116,máximo
2,64,PeriodicLoad,BothApps,DispFrames,RF,0.09362105098773688,máximo
2,64,PeriodicLoad,BothApps,DispFrames,RT,0.12226282318439256,mínimo
2,64,PeriodicLoad,BothApps,DispFrames,RF,0.09526266455394779,mínimo
1,64,PeriodicLoad,BothApps,DispFrames,RT,0.13375277410476435,raw
1,64,PeriodicLoad,BothApps,DispFrames,RF,0.11814360306892302,raw
3,32,PeriodicLoad,BothApps,DispFrames,RT,0.0860947135670237,raw
3,32,PeriodicLoad,BothApps,DispFrames,RF,0.0860947135670237,raw
2,32,PeriodicLoad,BothApps,DispFrames,RT,0.09842742058179162,média
2,32,PeriodicLoad,BothApps,DispFrames,RF,0.09517964238562292,média
2,32,PeriodicLoad,BothApps,DispFrames,RT,0.12506307560451155,máximo
2,32,PeriodicLoad,BothApps,DispFrames,RF,0.09661843179044279,máximo
2,32,PeriodicLoad,BothApps,DispFrames,RT,0.11204984937925999,mínimo
2,32,PeriodicLoad,BothApps,DispFrames,RF,0.09117153637803609,mínimo
1,32,PeriodicLoad,BothApps,DispFrames,RT,0.19235946721895425,raw
1,32,PeriodicLoad,BothApps,DispFrames,RF,0.1477636397846439,raw
3,16,PeriodicLoad,BothApps,DispFrames,RT,0.09941704620044106,raw
3,16,PeriodicLoad,BothApps,DispFrames,RF,0.09941704620044106,raw
2,16,PeriodicLoad,BothApps,DispFrames,RT,0.10805825386391849,média
2,16,PeriodicLoad,BothApps,DispFrames,RF,0.10256852774245502,média
2,16,PeriodicLoad,BothApps,DispFrames,RT,0.12192039947455093,máximo
2,16,PeriodicLoad,BothApps,DispFrames,RF,0.1061445035483287,máximo
2,16,PeriodicLoad,BothApps,DispFrames,RT,0.10907963799377159,mínimo
2,16,PeriodicLoad,BothApps,DispFrames,RF,0.1055732467413405,mínimo
1,16,PeriodicLoad,BothApps,DispFrames,RT,0.13087394134896324,raw
1,16,PeriodicLoad,BothApps,DispFrames,RF,0.12268842305803677,raw
3,8,PeriodicLoad,BothApps,DispFrames,RT,0.11745638824907627,raw
3,8,PeriodicLoad,BothApps,DispFrames,RF,0.11745638824907627,raw
2,8,PeriodicLoad,BothApps,DispFrames,RT,0.11669214734627448,média
2,8,PeriodicLoad,BothApps,DispFrames,RF,0.10822439478901318,média
2,8,PeriodicLoad,BothApps,DispFrames,RT,0.12860759718716927,máximo
2,8,PeriodicLoad,BothApps,DispFrames,RF,0.1094298044985972,máximo
2,8,PeriodicLoad,BothApps,DispFrames,RT,0.12304619935559268,mínimo
2,8,PeriodicLoad,BothApps,DispFrames,RF,0.10697587907324539,mínimo
1,8,PeriodicLoad,BothApps,DispFrames,RT,0.12333015002234497,raw
1,8,PeriodicLoad,BothApps,DispFrames,RF,0.11583552987741742,raw
2,4,PeriodicLoad,BothApps,DispFrames,RT,0.11383228498993475,média
2,4,PeriodicLoad,BothApps,DispFrames,RF,0.10635515350388257,média
2,4,PeriodicLoad,BothApps,DispFrames,RT,0.12237913577238745,máximo
