experimento,período,carga,apps,feature,método,nmae,função
3,256,FlashcrowdLoad,BothApps,DispFrames,RT,0.06768657755499861,raw
3,256,FlashcrowdLoad,BothApps,DispFrames,RF,0.06212681588229833,raw
2,256,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.11570593149540516,média
2,256,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.09506956047526223,média
2,256,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.0810185185185185,máximo
2,256,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.1103583611807296,máximo
2,256,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.057661514898357004,mínimo
2,256,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.08392189965654877,mínimo
1,256,FlashcrowdLoad,BothApps,DispFrames,RT,0.13902463125923153,raw
1,256,FlashcrowdLoad,BothApps,DispFrames,RF,0.08821383930738454,raw
3,128,FlashcrowdLoad,BothApps,DispFrames,RT,0.13206965273516835,raw
3,128,FlashcrowdLoad,BothApps,DispFrames,RF,0.10223996993954615,raw
2,128,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.12215789982702556,média
2,128,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.10100948399920302,média
2,128,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.1715525368264342,máximo
2,128,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.11835549353737235,máximo
2,128,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.08980313256565024,mínimo
2,128,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.08749492280625541,mínimo
1,128,FlashcrowdLoad,BothApps,DispFrames,RT,0.1268609742747674,raw
1,128,FlashcrowdLoad,BothApps,DispFrames,RF,0.10434419627307558,raw
3,64,FlashcrowdLoad,BothApps,DispFrames,RT,0.14173474083792828,raw
3,64,FlashcrowdLoad,BothApps,DispFrames,RF,0.1392771024671349,raw
2,64,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.10030199606104523,média
2,64,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.11316275200878119,média
2,64,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.10269126655404344,máximo
2,64,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.12334355279619102,máximo
2,64,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.11203056263023847,mínimo
2,64,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.12321557773718768,mínimo
1,64,FlashcrowdLoad,BothApps,DispFrames,RT,0.06250805122194056,raw
1,64,FlashcrowdLoad,BothApps,DispFrames,RF,0.07494468569576697,raw
3,32,FlashcrowdLoad,BothApps,DispFrames,RT,0.09559317024198928,raw
3,32,FlashcrowdLoad,BothApps,DispFrames,RF,0.09457979801165393,raw
2,32,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.10766464942403209,média
2,32,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.10009475685189834,média
2,32,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.09605491586933751,máximo
2,32,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.0927882236213705,máximo
2,32,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.08459802398877163,mínimo
2,32,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.10439135430683845,mínimo
1,32,FlashcrowdLoad,BothApps,DispFrames,RT,0.10600493085539935,raw
1,32,FlashcrowdLoad,BothApps,DispFrames,RF,0.09605537718121719,raw
3,16,FlashcrowdLoad,BothApps,DispFrames,RT,0.07837160423414381,raw
3,16,FlashcrowdLoad,BothApps,DispFrames,RF,0.08279074285182803,raw
2,16,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.07725427325683905,média
2,16,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.08302761937671363,média
2,16,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.10234820715631938,máximo
2,16,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.08085664777511593,máximo
2,16,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.09608611096901304,mínimo
2,16,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.08205398017684201,mínimo
1,16,FlashcrowdLoad,BothApps,DispFrames,RT,0.10782253080998022,raw
1,16,FlashcrowdLoad,BothApps,DispFrames,RF,0.10439781576445932,raw
3,8,FlashcrowdLoad,BothApps,DispFrames,RT,0.09918740094153226,raw
3,8,FlashcrowdLoad,BothApps,DispFrames,RF,0.10149909283014026,raw
2,8,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.09562490580538308,média
2,8,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.10040105870130446,média
2,8,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.09878486552863937,máximo
2,8,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.09564301081251782,máximo
2,8,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.09568550983771638,mínimo
2,8,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.09236787787625796,mínimo
1,8,FlashcrowdLoad,BothApps,DispFrames,RT,0.08227629860142169,raw
1,8,FlashcrowdLoad,BothApps,DispFrames,RF,0.08316773507257796,raw
