experimento,período,Features,função
256,[['0_cpu16_.sys_mean', '5_i129_intr.s_mean', '5_orq6.s_mean', '5_omcpck6.s_mean', '5_omsg6.s_mean', '5_ogmbr6.s_mean', '0_cpu3_.sys_std', '0_cpu5_.sys_std', '0_cpu12_.sys_std', '5_cpu20_.sys_median', '4_totsck_25th', '0_cpu2_.sys_75th']],raw
2,16,mínimo,[['2_kbmemfree', '2_kbmemused', '2_X..memused', '2_kbactive', '2_file.nr', '3_i128_intr.s', '3_kbmemused', '3_X..memused', '3_kbactive', '3_file.nr', '3_runq.sz', '4_file.nr']],mínimo
1,16,[['2_kbcommit', '2_X..commit', '2_file.nr', '2_plist.sz', '2_totsck', '3_X..commit', '3_file.nr', '3_runq.sz', '3_ldavg.1', '4_file.nr', '4_ldavg.1', '4_totsck']],raw
8,[['2_file.nr_mean', '3_file.nr_mean', '4_file.nr_mean', '5_lo_txkB.s_mean', '5_estres.s_mean', '2_file.nr_median', '3_file.nr_median', '4_file.nr_median', '2_file.nr_25th', '3_file.nr_25th', '4_file.nr_25th', '2_file.nr_75th']],raw
2,8,média,[['2_X..memused', '2_file.nr', '3_file.nr', '3_runq.sz', '4_file.nr', '5_lo_rxpck.s', '5_lo_txpck.s', '5_lo_rxkB.s', '5_lo_txkB.s', '5_estres.s', '5_idgm.s', '5_odgm.s']],média
2,8,máximo,[['2_kbmemfree', '2_kbmemused', '2_X..memused', '2_file.nr', '3_kbcommit', '3_X..commit', '3_file.nr', '3_runq.sz', '3_plist.sz', '4_kbmemfree', '4_file.nr', '4_runq.sz']],máximo
2,8,mínimo,[['2_kbmemused', '2_X..memused', '2_kbactive', '2_file.nr', '3_kbcommit', '3_X..commit', '3_file.nr', '3_runq.sz', '3_plist.sz', '4_kbmemused', '4_X..memused', '4_file.nr']],mínimo
1,8,[['2_kbmemfree', '2_kbmemused', '2_X..memused', '2_kbactive', '2_file.nr', '3_kbcommit', '3_X..commit', '3_file.nr', '3_plist.sz', '3_ldavg.1', '3_totsck', '4_file.nr']],raw
2,4,média,[['2_file.nr', '3_file.nr', '3_runq.sz', '4_kbmemfree', '4_file.nr', '5_lo_rxpck.s', '5_lo_txpck.s', '5_lo_rxkB.s', '5_lo_txkB.s', '5_estres.s', '5_idgm.s', '5_odgm.s']],média
2,4,máximo,[['2_kbmemfree', '2_file.nr', '3_file.nr', '3_runq.sz', '3_plist.sz', '3_totsck', '4_kbmemfree', '4_kbmemused', '4_X..memused', '4_kbactive', '4_file.nr', '4_runq.sz']],máximo
2,4,mínimo,[['2_file.nr', '3_kbcommit', '3_X..commit', '3_file.nr', '3_runq.sz', '3_plist.sz', '3_totsck', '4_kbmemused', '4_X..memused', '4_X..commit', '4_kbactive', '4_file.nr']],mínimo
1,4,[['2_file.nr', '3_file.nr', '3_runq.sz', '3_plist.sz', '4_kbmemfree', '4_kbmemused', '4_X..memused', '4_kbcommit', '4_X..commit', '4_kbactive', '4_file.nr', '4_plist.sz']],raw
2,2,média,[['2_file.nr', '3_kbcommit', '3_X..commit', '3_file.nr', '3_runq.sz', '3_plist.sz', '3_totsck', '4_kbmemfree', '4_kbmemused', '4_X..memused', '4_kbactive', '4_file.nr']],média
2,2,máximo,[['2_file.nr', '3_X..commit', '3_file.nr', '3_runq.sz', '3_plist.sz', '3_totsck', '4_kbmemfree', '4_kbmemused', '4_X..memused', '4_kbactive', '4_kbswpfree', '4_file.nr']],máximo
2,2,mínimo,[['2_file.nr', '3_kbcommit', '3_X..commit', '3_file.nr', '3_runq.sz', '3_plist.sz', '3_totsck', '4_kbmemfree', '4_kbmemused', '4_X..memused', '4_kbactive', '4_file.nr']],mínimo
1,2,[['2_file.nr', '3_kbcommit', '3_X..commit', '3_file.nr', '3_runq.sz', '3_plist.sz', '3_totsck', '4_kbmemfree', '4_kbmemused', '4_X..memused', '4_kbactive', '4_file.nr']],raw
256,[['4_cpu5_.soft_mean', '4_cpu5_.soft_std', '0_cpu4_.idle_median', '0_cpu10_.idle_median', '1_all_..sys_median', '0_cpu4_.usr_75th', '0_cpu8_.sys_75th', '0_cpu15_.idle_75th', '1_all_..sys_75th', '5_cpu10_.usr_75th', '4_cpu5_.soft_range', '4_cpu8_.iowait_range']],raw
2,256,média,[['0_cpu0_.idle', '0_cpu2_.soft', '0_cpu4_.soft', '0_cpu10_.iowait', '1_all_..sys', '1_all_..idle', '1_cpu11_.sys', '1_cpu12_.soft', '1_cswch.s', '2_cpu15_.soft', '4_cpu5_.soft', '5_cpu0_.irq']],média
2,256,máximo,[['0_cpu16_.usr', '0_i130_intr.s', '0_dev8.0_.util', '0_dev8.5_.util', '0_dev252.0_.util', '2_cpu15_.soft', '4_all_..iowait', '4_cpu5_.soft', '4_cpu8_.iowait', '4_dev252.0_avgqu.sz', '5_cpu0_.irq', '5_cpu11_.sys']],máximo
2,256,mínimo,[['0_cpu6_.idle', '0_cpu8_.idle', '0_i126_intr.s', '0_ldavg.1', '1_cpu1_.idle', '1_cpu8_.idle', '2_i139_intr.s', '4_i119_intr.s', '4_i122_intr.s', '4_campg.s', '5_cpu11_.idle', '5_cpu17_.idle']],mínimo
1,256,[['0_cpu18_.sys', '1_cpu4_.sys', '1_cpu4_.soft', '1_cpu4_.idle', '1_cpu11_.usr', '1_cpu16_.usr', '3_cpu8_.sys', '3_i129_intr.s', '5_cpu8_.usr', '5_cpu20_.usr', '5_cpu20_.sys', '5_cpu20_.idle']],raw
128,[['0_cpu2_.soft_mean', '0_cpu2_.soft_std', '0_dev8.0_avgrq.sz_std', '0_dev8.5_avgrq.sz_std', '1_cpu1_.idle_median', '5_cpu16_.idle_median', '0_cpu8_.idle_25th', '0_cpu2_.sys_75th', '2_i142_intr.s_75th', '0_cpu2_.soft_range', '2_cpu7_.iowait_range', '5_cpu6_.sys_range']],raw
2,128,média,[['0_cpu2_.soft', '0_cpu8_.idle', '0_cpu10_.iowait', '0_cpu10_.idle', '0_i126_intr.s', '0_orq.s', '2_i142_intr.s', '3_i131_intr.s', '3_i132_intr.s', '4_eth1_rxpck.s', '5_cpu10_.usr', '5_cpu16_.sys']],média
2,128,máximo,[['0_cpu2_.soft', '0_i126_intr.s', '2_cpu7_.iowait', '2_i142_intr.s', '3_eth1_txpck.s', '3_eth1_txkB.s', '5_cpu6_.sys', '5_eth1_rxpck.s', '5_eth1_txpck.s', '5_eth1_rxkB.s', '5_eth1_txkB.s', '5_eth1_.ifutil']],máximo
2,128,mínimo,[['0_all_..usr', '1_pgfree.s', '1_eth1_txpck.s', '1_eth1_rxkB.s', '1_eth1_txkB.s', '1_eth1_.ifutil', '2_all_..soft', '2_i139_intr.s', '2_i142_intr.s', '3_i131_intr.s', '5_i135_intr.s', '5_active.s']],mínimo
1,128,[['0_cpu17_.idle', '1_cpu1_.usr', '1_cpu4_.soft', '1_cpu4_.idle', '1_cpu11_.usr', '2_cpu8_.soft', '3_cpu8_.sys', '3_i129_intr.s', '3_dev8.0_.util', '3_dev252.0_.util', '4_tcp.tw', '5_cpu8_.usr']],raw
64,[['5_cpu2_.soft_std', '5_cpu12_.idle_median', '5_cpu18_.sys_median', '3_i128_intr.s_25th', '5_lo_rxkB.s_25th', '5_lo_txkB.s_25th', '5_odgm.s_25th', '0_i116_intr.s_range', '0_tps_range', '0_dev8.0_tps_range', '0_dev8.5_tps_range', '2_dev252.0_avgqu.sz_range']],raw
2,64,média,[['2_dev252.0_avgqu.sz', '3_sum_intr.s', '3_i128_intr.s', '3_i132_intr.s', '3_runq.sz', '3_orq.s', '4_proc.s', '4_dev8.5_avgqu.sz', '4_dev252.0_tps', '5_cpu2_.soft', '5_cpu8_.soft', '5_cpu18_.sys']],média
2,64,máximo,[['0_i116_intr.s', '0_tps', '0_dev8.0_tps', '0_dev8.0_.util', '0_dev8.5_tps', '0_dev8.5_.util', '0_dev252.0_.util', '2_dev252.0_avgqu.sz', '3_sum_intr.s', '3_eth1_txpck.s', '4_dev8.5_avgqu.sz', '4_eth1_rxpck.s']],máximo
2,64,mínimo,[['2_all_..soft', '3_i128_intr.s', '3_i129_intr.s', '3_i131_intr.s', '3_runq.sz', '3_irec.s', '3_idel.s', '3_orq.s', '3_iseg.s', '4_all_..soft', '5_i135_intr.s', '5_i141_intr.s']],mínimo
1,64,[['1_cpu4_.soft', '2_cpu7_.soft', '2_kbmemused', '2_kbactive', '3_i129_intr.s', '3_ldavg.1', '3_ldavg.5', '4_kbmemfree', '4_kbmemused', '4_X..memused', '4_totsck', '5_dev252.0_avgrq.sz']],raw
32,[['3_orq.s_mean', '4_dev252.0_tps_mean', '5_cpu12_.sys_mean', '3_all_..soft_median', '3_ldavg.1_median', '3_orq.s_median', '5_cpu12_.soft_median', '3_i128_intr.s_25th', '3_orq.s_25th', '5_i138_intr.s_25th', '3_sum_intr.s_75th', '5_cpu12_.sys_75th']],raw
2,32,média,[['3_pgpgout.s', '3_bwrtn.s', '3_runq.sz', '3_ldavg.1', '3_dev8.0_wr_sec.s', '3_dev8.5_wr_sec.s', '3_dev252.0_wr_sec.s', '3_orq.s', '4_dev252.0_tps', '5_cpu12_.sys', '5_cpu12_.idle', '5_i138_intr.s']],média
2,32,máximo,[['2_dev252.0_avgqu.sz', '3_sum_intr.s', '3_X..commit', '3_kbdirty', '3_file.nr', '3_runq.sz', '3_plist.sz', '3_ldavg.1', '3_eth1_txpck.s', '3_orq.s', '5_i136_intr.s', '5_i138_intr.s']],máximo
2,32,mínimo,[['3_i128_intr.s', '3_i129_intr.s', '3_file.nr', '3_runq.sz', '3_ldavg.1', '3_irec.s', '3_idel.s', '3_orq.s', '3_iseg.s', '4_file.nr', '5_i136_intr.s', '5_i138_intr.s']],mínimo
1,32,[['2_kbmemfree', '2_kbmemused', '2_X..memused', '2_kbactive', '2_file.nr', '3_file.nr', '3_ldavg.1', '4_kbmemfree', '4_kbmemused', '4_X..memused', '4_file.nr', '5_i138_intr.s']],raw
16,[['3_runq.sz_mean', '3_ldavg.1_mean', '3_irec.s_mean', '3_idel.s_mean', '3_orq.s_mean', '3_iseg.s_mean', '3_ldavg.1_median', '3_orq.s_median', '3_ldavg.1_25th', '3_orq.s_25th', '3_ldavg.1_75th', '3_orq.s_75th']],raw
2,16,média,[['3_cpu13_.soft', '3_sum_intr.s', '3_kbdirty', '3_runq.sz', '3_ldavg.1', '3_irec.s', '3_idel.s', '3_orq.s', '3_iseg.s', '5_irec.s', '5_idel.s', '5_iseg.s']],média
2,16,máximo,[['2_file.nr', '3_sum_intr.s', '3_file.nr', '3_runq.sz', '3_ldavg.1', '3_orq.s', '3_iseg.s', '5_i138_intr.s', '5_irec.s', '5_idel.s', '5_orq.s', '5_iseg.s']],máximo
2,16,mínimo,[['2_file.nr', '3_i129_intr.s', '3_runq.sz', '3_ldavg.1', '3_irec.s', '3_idel.s', '3_orq.s', '3_iseg.s', '4_file.nr', '5_irec.s', '5_idel.s', '5_iseg.s']],mínimo
1,16,[['2_kbcommit', '2_file.nr', '3_file.nr', '3_runq.sz', '3_ldavg.1', '4_kbmemfree', '4_kbmemused', '4_X..memused', '4_kbcommit', '4_X..commit', '4_file.nr', '4_plist.sz']],raw
8,[['3_runq.sz_mean', '3_irec.s_mean', '3_idel.s_mean', '3_orq.s_mean', '3_iseg.s_mean', '3_runq.sz_median', '3_orq.s_median', '3_runq.sz_25th', '3_orq.s_25th', '3_runq.sz_75th', '3_idel.s_75th', '3_orq.s_75th']],raw
2,8,média,[['2_file.nr', '3_file.nr', '3_runq.sz', '3_ldavg.1', '3_irec.s', '3_idel.s', '3_orq.s', '3_iseg.s', '4_file.nr', '5_irec.s', '5_idel.s', '5_iseg.s']],média
2,8,máximo,[['3_sum_intr.s', '3_file.nr', '3_runq.sz', '3_ldavg.1', '3_irec.s', '3_idel.s', '3_orq.s', '3_iseg.s', '5_i142_intr.s', '5_irec.s', '5_idel.s', '5_iseg.s']],máximo
2,8,mínimo,[['2_file.nr', '3_i132_intr.s', '3_file.nr', '3_runq.sz', '3_ldavg.1', '3_irec.s', '3_idel.s', '3_orq.s', '3_iseg.s', '4_file.nr', '5_idel.s', '5_iseg.s']],mínimo
1,8,[['2_file.nr', '3_file.nr', '3_runq.sz', '3_ldavg.1', '3_orq.s', '4_kbmemfree', '4_kbmemused', '4_X..memused', '4_kbcommit', '4_X..commit', '4_file.nr', '4_plist.sz']],raw
2,4,média,[['2_file.nr', '3_file.nr', '3_runq.sz', '3_ldavg.1', '3_irec.s', '3_idel.s', '3_orq.s', '3_iseg.s', '4_kbcommit', '4_X..commit', '4_file.nr', '4_plist.sz']],média
2,4,máximo,[['2_file.nr', '3_sum_intr.s', '3_X..commit', '3_file.nr', '3_runq.sz', '3_ldavg.1', '3_totsck', '3_orq.s', '4_kbcommit', '4_X..commit', '4_file.nr', '4_plist.sz']],máximo
2,4,mínimo,[['2_file.nr', '3_file.nr', '3_runq.sz', '3_ldavg.1', '3_irec.s', '3_idel.s', '3_orq.s', '3_iseg.s', '4_kbcommit', '4_X..commit', '4_file.nr', '4_plist.sz']],mínimo
1,4,[['3_file.nr', '3_runq.sz', '3_ldavg.1', '3_totsck', '3_orq.s', '4_kbmemfree', '4_kbmemused', '4_X..memused', '4_kbcommit', '4_X..commit', '4_file.nr', '4_plist.sz']],raw
2,2,média,[['2_file.nr', '3_file.nr', '3_runq.sz', '3_ldavg.1', '3_totsck', '3_irec.s', '3_orq.s', '3_iseg.s', '4_kbcommit', '4_X..commit', '4_file.nr', '4_plist.sz']],média
2,2,máximo,[['2_file.nr', '3_kbcommit', '3_X..commit', '3_file.nr', '3_runq.sz', '3_ldavg.1', '3_totsck', '3_orq.s', '4_kbcommit', '4_X..commit', '4_file.nr', '4_plist.sz']],máximo
2,2,mínimo,[['3_file.nr', '3_runq.sz', '3_ldavg.1', '3_totsck', '3_irec.s', '3_idel.s', '3_orq.s', '3_iseg.s', '4_kbcommit', '4_X..commit', '4_file.nr', '4_plist.sz']],mínimo
1,2,[['2_file.nr', '3_kbcommit', '3_file.nr', '3_runq.sz', '3_plist.sz', '3_ldavg.1', '3_totsck', '3_orq.s', '4_kbcommit', '4_X..commit', '4_file.nr', '4_plist.sz']],raw
