experimento,período,Features,função
256,[['0_cpu16_.sys_mean', '5_i129_intr.s_mean', '5_orq6.s_mean', '5_omcpck6.s_mean', '5_omsg6.s_mean', '5_ogmbr6.s_mean', '0_cpu3_.sys_std', '0_cpu5_.sys_std', '0_cpu12_.sys_std', '5_cpu20_.sys_median', '4_totsck_25th', '0_cpu2_.sys_75th']],raw
2,16,máximo,[['2_sum_intr.s', '3_i132_intr.s', '3_X..commit', '3_file.nr', '3_runq.sz', '4_file.nr', '4_runq.sz', '4_ldavg.1', '4_tcp6sck', '5_i136_intr.s', '5_totsck', '5_tcpsck']],máximo
2,16,mínimo,[['2_fault.s', '2_runq.sz', '3_i132_intr.s', '3_file.nr', '3_runq.sz', '3_plist.sz', '4_runq.sz', '4_tcp6sck', '5_i136_intr.s', '5_i141_intr.s', '5_totsck', '5_tcpsck']],mínimo
1,16,[['2_kbcommit', '2_X..commit', '2_file.nr', '2_plist.sz', '3_kbcommit', '3_X..commit', '3_file.nr', '3_plist.sz', '4_kbcommit', '4_X..commit', '4_file.nr', '4_plist.sz']],raw
8,[['3_file.nr_mean', '5_lo_rxpck.s_mean', '5_lo_txpck.s_mean', '5_lo_rxkB.s_mean', '5_lo_txkB.s_mean', '5_estres.s_mean', '5_idgm.s_mean', '5_odgm.s_mean', '3_file.nr_median', '4_file.nr_median', '3_file.nr_75th', '4_file.nr_75th']],raw
2,8,média,[['2_file.nr', '3_file.nr', '4_file.nr', '4_tcp6sck', '5_lo_rxpck.s', '5_lo_txpck.s', '5_lo_rxkB.s', '5_lo_txkB.s', '5_tcpsck', '5_estres.s', '5_idgm.s', '5_odgm.s']],média
2,8,máximo,[['2_kbcommit', '2_X..commit', '2_file.nr', '3_kbcommit', '3_X..commit', '3_file.nr', '3_runq.sz', '4_file.nr', '4_ldavg.1', '4_tcp6sck', '5_totsck', '5_tcpsck']],máximo
2,8,mínimo,[['2_file.nr', '2_plist.sz', '3_file.nr', '3_plist.sz', '4_file.nr', '4_runq.sz', '4_plist.sz', '4_ldavg.1', '4_tcp6sck', '5_totsck', '5_tcpsck', '5_estres.s']],mínimo
1,8,[['2_kbcommit', '2_file.nr', '2_plist.sz', '2_ldavg.1', '3_file.nr', '3_plist.sz', '3_ldavg.1', '4_file.nr', '4_plist.sz', '4_ldavg.1', '4_tcp6sck', '5_tcpsck']],raw
2,4,média,[['2_file.nr', '2_plist.sz', '3_file.nr', '3_plist.sz', '3_ldavg.1', '4_file.nr', '4_runq.sz', '4_plist.sz', '4_ldavg.1', '4_tcp6sck', '5_totsck', '5_tcpsck']],média
2,4,máximo,[['2_kbcommit', '2_file.nr', '2_plist.sz', '3_kbcommit', '3_X..commit', '3_file.nr', '3_plist.sz', '4_file.nr', '4_plist.sz', '4_ldavg.1', '4_tcp6sck', '5_tcpsck']],máximo
2,4,mínimo,[['2_file.nr', '2_plist.sz', '2_ldavg.1', '3_file.nr', '3_plist.sz', '3_ldavg.1', '4_file.nr', '4_plist.sz', '4_ldavg.1', '4_tcp6sck', '5_totsck', '5_tcpsck']],mínimo
1,4,[['2_file.nr', '2_plist.sz', '2_ldavg.1', '3_file.nr', '3_plist.sz', '3_ldavg.1', '4_file.nr', '4_plist.sz', '4_ldavg.1', '4_tcp6sck', '5_totsck', '5_tcpsck']],raw
2,2,média,[['2_file.nr', '2_plist.sz', '2_ldavg.1', '3_file.nr', '3_plist.sz', '3_ldavg.1', '4_file.nr', '4_plist.sz', '4_ldavg.1', '4_tcp6sck', '5_totsck', '5_tcpsck']],média
2,2,máximo,[['2_file.nr', '2_plist.sz', '2_ldavg.1', '3_file.nr', '3_plist.sz', '3_ldavg.1', '4_file.nr', '4_plist.sz', '4_ldavg.1', '4_tcp6sck', '5_totsck', '5_tcpsck']],máximo
2,2,mínimo,[['2_file.nr', '2_plist.sz', '2_ldavg.1', '3_file.nr', '3_plist.sz', '3_ldavg.1', '4_file.nr', '4_plist.sz', '4_ldavg.1', '4_tcp6sck', '5_totsck', '5_tcpsck']],mínimo
1,2,[['2_file.nr', '2_plist.sz', '2_ldavg.1', '3_file.nr', '3_plist.sz', '3_ldavg.1', '4_file.nr', '4_plist.sz', '4_ldavg.1', '4_tcp6sck', '5_totsck', '5_tcpsck']],raw
256,[['2_all_..irq_mean', '2_all_..irq_std', '4_X..vmeff_std', '3_kbmemfree_25th', '4_kbmemfree_25th', '3_kbmemused_75th', '3_X..memused_75th', '4_kbmemused_75th', '4_X..memused_75th', '2_all_..irq_range', '2_dev8.0_svctm_range', '4_X..vmeff_range']],raw
2,256,média,[['2_all_..irq', '2_dev8.0_avgrq.sz', '2_dev8.5_avgrq.sz', '3_cpu13_.sys', '4_X..vmeff', '4_kbmemfree', '4_kbmemused', '4_X..memused', '4_X..commit', '4_runq.sz', '5_active.s', '5_passive.s']],média
2,256,máximo,[['2_all_..irq', '2_fault.s', '2_kbmemused', '2_X..memused', '2_kbactive', '2_dev8.0_svctm', '3_kbmemused', '3_X..memused', '4_fault.s', '4_X..vmeff', '4_kbmemused', '4_X..memused']],máximo
2,256,mínimo,[['2_kbmemfree', '3_all_..soft', '3_cpu13_.soft', '3_kbmemfree', '4_all_..idle', '4_cpu12_.idle', '4_cpu14_.idle', '4_cpu16_.idle', '4_cpu18_.idle', '4_cpu20_.idle', '4_cpu22_.idle', '4_kbmemfree']],mínimo
1,256,[['2_runq.sz', '3_cpu12_.sys', '3_i128_intr.s', '3_i133_intr.s', '3_irec.s', '3_idel.s', '3_orq.s', '3_iseg.s', '4_cpu2_.soft', '4_kbactive', '5_file.nr', '5_tcpsck']],raw
128,[['1_dev252.1_avgrq.sz_mean', '5_i136_intr.s_mean', '5_active.s_mean', '1_kbswpcad_std', '1_dev252.1_rd_sec.s_std', '1_dev252.1_avgrq.sz_std', '2_cpu6_.soft_std', '5_i136_intr.s_median', '5_estres.s_75th', '1_kbswpcad_range', '1_dev252.1_avgrq.sz_range', '2_dev8.0_svctm_range']],raw
2,128,média,[['1_pswpin.s', '1_majflt.s', '1_dev252.1_tps', '1_dev252.1_rd_sec.s', '1_dev252.1_avgrq.sz', '1_dev252.1_avgqu.sz', '1_dev252.1_.util', '3_cpu13_.sys', '3_estres.s', '4_ldavg.1', '5_i136_intr.s', '5_active.s']],média
2,128,máximo,[['1_pswpin.s', '1_majflt.s', '1_dev252.1_tps', '1_dev252.1_rd_sec.s', '1_dev252.1_avgrq.sz', '2_dev8.0_svctm', '3_kbmemused', '3_X..memused', '4_kbmemused', '4_X..memused', '4_ldavg.1', '5_i136_intr.s']],máximo
2,128,mínimo,[['2_all_..soft', '2_i140_intr.s', '3_cpu4_.sys', '3_cpu19_.sys', '3_fault.s', '3_kbmemfree', '3_kbdirty', '3_ldavg.1', '3_eth1_txpck.s', '4_kbmemfree', '4_ldavg.1', '5_i136_intr.s']],mínimo
1,128,[['3_cpu12_.sys', '3_i133_intr.s', '3_irec.s', '3_idel.s', '3_orq.s', '3_iseg.s', '4_cpu5_.sys', '4_cpu7_.sys', '4_cpu9_.sys', '4_kbactive', '4_runq.sz', '5_tcpsck']],raw
64,[['3_cpu13_.sys_mean', '3_proc.s_mean', '3_estres.s_mean', '4_estres.s_mean', '5_active.s_mean', '3_cpu13_.sys_median', '3_proc.s_median', '3_kbmemfree_25th', '3_cpu13_.sys_75th', '3_kbmemused_75th', '3_X..memused_75th', '4_ldavg.1_75th']],raw
2,64,média,[['3_cpu13_.sys', '3_proc.s', '3_kbcommit', '3_X..commit', '3_runq.sz', '3_ldavg.1', '3_estres.s', '4_ldavg.1', '4_estres.s', '5_i136_intr.s', '5_active.s', '5_orsts.s']],média
2,64,máximo,[['2_kbmemused', '3_kbmemused', '3_X..memused', '3_file.nr', '3_runq.sz', '3_ldavg.1', '4_fault.s', '4_kbmemused', '4_X..memused', '4_ldavg.1', '5_i136_intr.s', '5_tcpsck']],máximo
2,64,mínimo,[['2_kbmemfree', '2_ldavg.1', '3_cpu13_.soft', '3_kbmemfree', '3_kbdirty', '3_ldavg.1', '4_cpu22_.idle', '4_kbmemfree', '4_ldavg.1', '4_ldavg.5', '5_i135_intr.s', '5_i136_intr.s']],mínimo
1,64,[['2_ldavg.1', '3_i133_intr.s', '3_file.nr', '3_runq.sz', '3_plist.sz', '3_ldavg.1', '4_kbmemfree', '4_kbmemused', '4_X..memused', '4_runq.sz', '4_ldavg.1', '5_tcpsck']],raw
32,[['3_cpu13_.sys_mean', '3_cpu13_.soft_mean', '3_runq.sz_mean', '3_cpu13_.sys_median', '3_proc.s_median', '3_runq.sz_median', '4_kbmemfree_25th', '3_cpu13_.sys_75th', '3_cpu13_.soft_75th', '3_runq.sz_75th', '4_kbmemused_75th', '4_X..memused_75th']],raw
2,32,média,[['3_all_..soft', '3_cpu13_.sys', '3_cpu13_.soft', '3_i133_intr.s', '3_kbcommit', '3_X..commit', '3_runq.sz', '3_ldavg.1', '4_runq.sz', '4_ldavg.1', '5_tcpsck', '5_orsts.s']],média
2,32,máximo,[['2_runq.sz', '3_all_..soft', '3_cpu13_.soft', '3_kbcommit', '3_X..commit', '3_runq.sz', '3_plist.sz', '4_fault.s', '4_kbmemused', '4_X..memused', '4_ldavg.1', '5_tcpsck']],máximo
2,32,mínimo,[['2_kbmemfree', '2_runq.sz', '2_ldavg.1', '3_i133_intr.s', '3_kbmemfree', '3_runq.sz', '3_plist.sz', '3_ldavg.1', '3_ldavg.5', '4_kbmemfree', '4_ldavg.1', '5_tcpsck']],mínimo
1,32,[['2_kbcommit', '2_X..commit', '2_plist.sz', '2_ldavg.1', '3_kbcommit', '3_X..commit', '3_file.nr', '3_runq.sz', '3_plist.sz', '3_ldavg.1', '4_ldavg.1', '5_tcpsck']],raw
16,[['3_all_..soft_mean', '3_cpu13_.soft_mean', '3_runq.sz_mean', '3_ldavg.1_mean', '5_tcpsck_mean', '3_all_..soft_median', '3_cpu13_.soft_median', '3_runq.sz_25th', '3_ldavg.1_25th', '3_cpu13_.soft_75th', '3_runq.sz_75th', '3_ldavg.1_75th']],raw
2,16,média,[['3_all_..soft', '3_cpu13_.sys', '3_cpu13_.soft', '3_i133_intr.s', '3_runq.sz', '3_ldavg.1', '3_idel.s', '3_iseg.s', '4_runq.sz', '4_ldavg.1', '5_tcpsck', '5_estres.s']],média
2,16,máximo,[['2_ldavg.1', '3_all_..soft', '3_cpu13_.soft', '3_sum_intr.s', '3_kbcommit', '3_X..commit', '3_runq.sz', '3_ldavg.1', '3_ldavg.5', '4_ldavg.1', '4_ldavg.5', '5_tcpsck']],máximo
2,16,mínimo,[['2_ldavg.1', '3_i133_intr.s', '3_runq.sz', '3_ldavg.1', '3_ldavg.5', '3_idel.s', '3_orq.s', '3_iseg.s', '4_runq.sz', '4_ldavg.1', '4_ldavg.5', '5_tcpsck']],mínimo
1,16,[['2_plist.sz', '2_ldavg.1', '3_file.nr', '3_runq.sz', '3_plist.sz', '3_ldavg.1', '3_irec.s', '3_idel.s', '3_orq.s', '4_file.nr', '4_ldavg.1', '5_tcpsck']],raw
8,[['3_i133_intr.s_mean', '3_runq.sz_mean', '4_runq.sz_mean', '5_tcpsck_mean', '3_i133_intr.s_median', '3_runq.sz_median', '4_runq.sz_median', '3_i133_intr.s_25th', '4_runq.sz_25th', '5_tcpsck_25th', '3_runq.sz_75th', '4_runq.sz_75th']],raw
2,8,média,[['2_runq.sz', '3_cpu13_.soft', '3_i133_intr.s', '3_runq.sz', '3_ldavg.1', '3_irec.s', '3_idel.s', '3_orq.s', '3_iseg.s', '4_runq.sz', '4_ldavg.1', '5_tcpsck']],média
2,8,máximo,[['2_runq.sz', '2_plist.sz', '2_ldavg.1', '3_sum_intr.s', '3_file.nr', '3_runq.sz', '3_plist.sz', '3_ldavg.1', '3_orq.s', '4_pgfree.s', '4_ldavg.1', '5_tcpsck']],máximo
2,8,mínimo,[['3_i133_intr.s', '3_runq.sz', '3_plist.sz', '3_ldavg.1', '3_irec.s', '3_idel.s', '3_orq.s', '3_iseg.s', '4_runq.sz', '4_plist.sz', '4_ldavg.1', '5_tcpsck']],mínimo
1,8,[['2_file.nr', '2_plist.sz', '2_ldavg.1', '3_file.nr', '3_runq.sz', '3_plist.sz', '3_ldavg.1', '3_ldavg.5', '3_orq.s', '4_plist.sz', '4_ldavg.1', '5_tcpsck']],raw
2,4,média,[['2_ldavg.1', '3_cpu13_.soft', '3_i133_intr.s', '3_runq.sz', '3_ldavg.1', '3_irec.s', '3_idel.s', '3_orq.s', '3_iseg.s', '4_runq.sz', '4_ldavg.1', '5_tcpsck']],média
2,4,máximo,[['2_plist.sz', '2_ldavg.1', '3_file.nr', '3_runq.sz', '3_plist.sz', '3_ldavg.1', '3_ldavg.5', '3_irec.s', '3_idel.s', '3_orq.s', '4_ldavg.1', '5_tcpsck']],máximo
2,4,mínimo,[['2_runq.sz', '3_i133_intr.s', '3_runq.sz', '3_ldavg.1', '3_irec.s', '3_idel.s', '3_orq.s', '3_iseg.s', '4_runq.sz', '4_plist.sz', '4_ldavg.1', '5_tcpsck']],mínimo
1,4,[['2_file.nr', '2_plist.sz', '2_ldavg.1', '3_file.nr', '3_runq.sz', '3_plist.sz', '3_ldavg.1', '3_orq.s', '4_runq.sz', '4_plist.sz', '4_ldavg.1', '5_tcpsck']],raw
2,2,média,[['2_plist.sz', '2_ldavg.1', '3_file.nr', '3_runq.sz', '3_plist.sz', '3_ldavg.1', '3_irec.s', '3_idel.s', '3_orq.s', '4_runq.sz', '4_ldavg.1', '5_tcpsck']],média
2,2,máximo,[['2_file.nr', '2_plist.sz', '2_ldavg.1', '3_file.nr', '3_runq.sz', '3_plist.sz', '3_ldavg.1', '3_orq.s', '4_runq.sz', '4_plist.sz', '4_ldavg.1', '5_tcpsck']],máximo
2,2,mínimo,[['2_plist.sz', '2_ldavg.1', '3_i133_intr.s', '3_runq.sz', '3_ldavg.1', '3_irec.s', '3_idel.s', '3_orq.s', '3_iseg.s', '4_runq.sz', '4_ldavg.1', '5_tcpsck']],mínimo
1,2,[['2_file.nr', '2_plist.sz', '2_ldavg.1', '3_file.nr', '3_runq.sz', '3_plist.sz', '3_ldavg.1', '3_orq.s', '4_runq.sz', '4_plist.sz', '4_ldavg.1', '5_tcpsck']],raw
256,[['4_dev252.0_await_mean', '2_cpu5_.iowait_std', '0_cpu12_.idle_median', '3_frmpg.s_median', '4_cpu12_.soft_median', '2_proc.s_25th', '4_proc.s_25th', '5_active.s_25th', '2_cpu20_.soft_75th', '2_pgfree.s_75th', '4_i132_intr.s_range', '5_passive.s_range']],raw
