carga,apps,feature,método, mét. stepwise,nmae
FlashcrowdLoad,BothApps,DispFrames,RT,RT,0.04693529314136342,
FlashcrowdLoad,BothApps,DispFrames,RF,RT,0.054424790773846564,
FlashcrowdLoad,BothApps,DispFrames,RT,RF,0.04898767978140378,
FlashcrowdLoad,BothApps,DispFrames,RF,RF,0.05541531317286347,
FlashcrowdLoad,BothApps,noAudioPlayed,RT,RT,0.15527167417048465,
FlashcrowdLoad,BothApps,noAudioPlayed,RF,RT,0.16030900713463825,
FlashcrowdLoad,BothApps,noAudioPlayed,RT,RF,0.15374600357333862,
FlashcrowdLoad,BothApps,noAudioPlayed,RF,RF,0.15453855730385277,
PeriodicLoad,BothApps,DispFrames,RT,RT,0.06658049901979597,
PeriodicLoad,BothApps,DispFrames,RF,RT,0.07282178078257424,
PeriodicLoad,BothApps,DispFrames,RT,RF,0.06337601166578573,
PeriodicLoad,BothApps,DispFrames,RF,RF,0.07180762779464857,
PeriodicLoad,BothApps,noAudioPlayed,RT,RT,0.21599709765746147,
PeriodicLoad,BothApps,noAudioPlayed,RF,RT,0.2279201153942135,
PeriodicLoad,BothApps,noAudioPlayed,RT,RF,0.22180840223543688,
PeriodicLoad,BothApps,noAudioPlayed,RF,RF,0.23231501681387956,
