período,função,carga,apps,feature,método,nmae
32,máximo,PeriodicLoad,BothApps,DispFrames,RF,0.14648213950124278,
32,mínimo,PeriodicLoad,BothApps,DispFrames,RT,0.14802247752627437,
32,mínimo,PeriodicLoad,BothApps,DispFrames,RF,0.1438055350226328,
16,média,PeriodicLoad,BothApps,DispFrames,RT,0.15196819417817267,
16,média,PeriodicLoad,BothApps,DispFrames,RF,0.14256669875557307,
16,máximo,PeriodicLoad,BothApps,DispFrames,RT,0.1469726221618989,
16,máximo,PeriodicLoad,BothApps,DispFrames,RF,0.14257894416836323,
16,mínimo,PeriodicLoad,BothApps,DispFrames,RT,0.15212967216358528,
16,mínimo,PeriodicLoad,BothApps,DispFrames,RF,0.139563084424988,
8,média,PeriodicLoad,BothApps,DispFrames,RT,0.1610613778313181,
8,média,PeriodicLoad,BothApps,DispFrames,RF,0.14701754912265028,
8,máximo,PeriodicLoad,BothApps,DispFrames,RT,0.15706550334930544,
8,máximo,PeriodicLoad,BothApps,DispFrames,RF,0.14801510923224667,
8,mínimo,PeriodicLoad,BothApps,DispFrames,RT,0.16117242853269217,
8,mínimo,PeriodicLoad,BothApps,DispFrames,RF,0.14655447167647093,
4,média,PeriodicLoad,BothApps,DispFrames,RT,0.15027350736931197,
4,média,PeriodicLoad,BothApps,DispFrames,RF,0.14026323645233332,
4,máximo,PeriodicLoad,BothApps,DispFrames,RT,0.1469051861921349,
4,máximo,PeriodicLoad,BothApps,DispFrames,RF,0.1393967273535119,
4,mínimo,PeriodicLoad,BothApps,DispFrames,RT,0.1508355998854977,
4,mínimo,PeriodicLoad,BothApps,DispFrames,RF,0.13935351750407007,
2,média,PeriodicLoad,BothApps,DispFrames,RT,0.13925762928099852,
2,média,PeriodicLoad,BothApps,DispFrames,RF,0.1307882676503791,
2,máximo,PeriodicLoad,BothApps,DispFrames,RT,0.12765483062611058,
2,máximo,PeriodicLoad,BothApps,DispFrames,RF,0.12381892357922163,
2,mínimo,PeriodicLoad,BothApps,DispFrames,RT,0.14367228746978555,
2,mínimo,PeriodicLoad,BothApps,DispFrames,RF,0.1329776735391239,
256,média,FlashcrowdLoad,SingleApp,DispFrames,RT,0.11547109019893843,
