período,carga,apps,feature,método,nmae,
8,FlashcrowdLoad,SingleApp,noAudioPlayed,RT,0.32260287750117983,
8,FlashcrowdLoad,SingleApp,noAudioPlayed,RF,0.25447178440935164,
16,FlashcrowdLoad,SingleApp,noAudioPlayed,RT,0.3142712838239321,
16,FlashcrowdLoad,SingleApp,noAudioPlayed,RF,0.25308763888243024,
32,FlashcrowdLoad,SingleApp,noAudioPlayed,RT,0.34213746081545077,
32,FlashcrowdLoad,SingleApp,noAudioPlayed,RF,0.26969281717483157,
64,FlashcrowdLoad,SingleApp,noAudioPlayed,RT,0.30026622946101383,
64,FlashcrowdLoad,SingleApp,noAudioPlayed,RF,0.26783231998245693,
128,FlashcrowdLoad,SingleApp,noAudioPlayed,RT,0.3913506159542589,
128,FlashcrowdLoad,SingleApp,noAudioPlayed,RF,0.29117179468019594,
256,FlashcrowdLoad,SingleApp,noAudioPlayed,RT,0.32951897899012395,
256,FlashcrowdLoad,SingleApp,noAudioPlayed,RF,0.29623287406445226,
2,PeriodicLoad,SingleApp,DispFrames,RT,0.11602299986544362,
2,PeriodicLoad,SingleApp,DispFrames,RF,0.1088280226422552,
4,PeriodicLoad,SingleApp,DispFrames,RT,0.11762201870568346,
4,PeriodicLoad,SingleApp,DispFrames,RF,0.11020323808446672,
8,PeriodicLoad,SingleApp,DispFrames,RT,0.11810311252474767,
8,PeriodicLoad,SingleApp,DispFrames,RF,0.1112904864386757,
16,PeriodicLoad,SingleApp,DispFrames,RT,0.11346370116263074,
16,PeriodicLoad,SingleApp,DispFrames,RF,0.10883259035524123,
32,PeriodicLoad,SingleApp,DispFrames,RT,0.12016211642096826,
32,PeriodicLoad,SingleApp,DispFrames,RF,0.11297194543754026,
64,PeriodicLoad,SingleApp,DispFrames,RT,0.1304450410869742,
64,PeriodicLoad,SingleApp,DispFrames,RF,0.11900306457299376,
128,PeriodicLoad,SingleApp,DispFrames,RT,0.11955130282603059,
128,PeriodicLoad,SingleApp,DispFrames,RF,0.10858713324258921,
256,PeriodicLoad,SingleApp,DispFrames,RT,0.1116401280976846,
256,PeriodicLoad,SingleApp,DispFrames,RF,0.11292012653222618,
2,PeriodicLoad,SingleApp,noAudioPlayed,RT,0.3231110623528942,
2,PeriodicLoad,SingleApp,noAudioPlayed,RF,0.23283164259254663,
4,PeriodicLoad,SingleApp,noAudioPlayed,RT,0.3269874373106907,
4,PeriodicLoad,SingleApp,noAudioPlayed,RF,0.23908360663231812,
8,PeriodicLoad,SingleApp,noAudioPlayed,RT,0.31948589195312715,
8,PeriodicLoad,SingleApp,noAudioPlayed,RF,0.23494525919383058,
16,PeriodicLoad,SingleApp,noAudioPlayed,RT,0.3222453119219817,
16,PeriodicLoad,SingleApp,noAudioPlayed,RF,0.24477926060822736,
32,PeriodicLoad,SingleApp,noAudioPlayed,RT,0.33136712780252847,
32,PeriodicLoad,SingleApp,noAudioPlayed,RF,0.2557528547791841,
64,PeriodicLoad,SingleApp,noAudioPlayed,RT,0.3321551073480948,
64,PeriodicLoad,SingleApp,noAudioPlayed,RF,0.252229350530949,
128,PeriodicLoad,SingleApp,noAudioPlayed,RT,0.30125130863951344,
128,PeriodicLoad,SingleApp,noAudioPlayed,RF,0.25619136048656466,
256,PeriodicLoad,SingleApp,noAudioPlayed,RT,0.3270831361727774,
256,PeriodicLoad,SingleApp,noAudioPlayed,RF,0.27157069305878623,
2,FlashcrowdLoad,BothApps,ReadsAvg,RT,0.09293564727047499,
