período,carga,apps,feature,método,switch,nmae,
2,FlashcrowdLoad,BothApps,DispFrames,RT,SWC1,0.12855959836447386,
2,FlashcrowdLoad,BothApps,DispFrames,RF,SWC1,0.12496518324908418,
4,FlashcrowdLoad,BothApps,DispFrames,RT,SWC1,0.12722523671076977,
4,FlashcrowdLoad,BothApps,DispFrames,RF,SWC1,0.12273688783856852,
8,FlashcrowdLoad,BothApps,DispFrames,RT,SWC1,0.1332436978279829,
8,FlashcrowdLoad,BothApps,DispFrames,RF,SWC1,0.12917093564206972,
16,FlashcrowdLoad,BothApps,DispFrames,RT,SWC1,0.1359929417487283,
16,FlashcrowdLoad,BothApps,DispFrames,RF,SWC1,0.13211233880181067,
32,FlashcrowdLoad,BothApps,DispFrames,RT,SWC1,0.12612281645831608,
32,FlashcrowdLoad,BothApps,DispFrames,RF,SWC1,0.12330240844992688,
64,FlashcrowdLoad,BothApps,DispFrames,RT,SWC1,0.12462496035109431,
64,FlashcrowdLoad,BothApps,DispFrames,RF,SWC1,0.12346131913425856,
128,FlashcrowdLoad,BothApps,DispFrames,RT,SWC1,0.1321117514795958,
128,FlashcrowdLoad,BothApps,DispFrames,RF,SWC1,0.12762217972243042,
256,FlashcrowdLoad,BothApps,DispFrames,RT,SWC1,0.11304117390310311,
256,FlashcrowdLoad,BothApps,DispFrames,RF,SWC1,0.1114583982845939,
2,FlashcrowdLoad,BothApps,DispFrames,RT,SWC2,0.14181536275973364,
2,FlashcrowdLoad,BothApps,DispFrames,RF,SWC2,0.142016324000422,
4,FlashcrowdLoad,BothApps,DispFrames,RT,SWC2,0.14359319372361268,
4,FlashcrowdLoad,BothApps,DispFrames,RF,SWC2,0.14374074007781124,
8,FlashcrowdLoad,BothApps,DispFrames,RT,SWC2,0.1408765037739294,
8,FlashcrowdLoad,BothApps,DispFrames,RF,SWC2,0.1411889087109432,
16,FlashcrowdLoad,BothApps,DispFrames,RT,SWC2,0.1392172557715186,
16,FlashcrowdLoad,BothApps,DispFrames,RF,SWC2,0.13949605743557011,
32,FlashcrowdLoad,BothApps,DispFrames,RT,SWC2,0.14259173167798947,
32,FlashcrowdLoad,BothApps,DispFrames,RF,SWC2,0.14295403752163374,
64,FlashcrowdLoad,BothApps,DispFrames,RT,SWC2,0.14870771040175843,
64,FlashcrowdLoad,BothApps,DispFrames,RF,SWC2,0.14777948573582098,
128,FlashcrowdLoad,BothApps,DispFrames,RT,SWC2,0.134924466356583,
128,FlashcrowdLoad,BothApps,DispFrames,RF,SWC2,0.13300191826233232,
256,FlashcrowdLoad,BothApps,DispFrames,RT,SWC2,0.12506312867033154,
