período,carga,apps,feature,método,nmae,
8,FlashcrowdLoad,SingleApp,noAudioPlayed,RT,0.29033653452371205,
8,FlashcrowdLoad,SingleApp,noAudioPlayed,RF,0.24062508531957297,
16,FlashcrowdLoad,SingleApp,noAudioPlayed,RT,0.2991939283314497,
16,FlashcrowdLoad,SingleApp,noAudioPlayed,RF,0.25016305080062234,
32,FlashcrowdLoad,SingleApp,noAudioPlayed,RT,0.31301945465292597,
32,FlashcrowdLoad,SingleApp,noAudioPlayed,RF,0.25152707460615253,
64,FlashcrowdLoad,SingleApp,noAudioPlayed,RT,0.3251246217642688,
64,FlashcrowdLoad,SingleApp,noAudioPlayed,RF,0.25325008505215824,
128,FlashcrowdLoad,SingleApp,noAudioPlayed,RT,0.306978554310645,
128,FlashcrowdLoad,SingleApp,noAudioPlayed,RF,0.2474202742330828,
256,FlashcrowdLoad,SingleApp,noAudioPlayed,RT,0.27361761757666264,
256,FlashcrowdLoad,SingleApp,noAudioPlayed,RF,0.2608457098241379,
2,PeriodicLoad,SingleApp,DispFrames,RT,0.11318594776282993,
2,PeriodicLoad,SingleApp,DispFrames,RF,0.10554427926940489,
4,PeriodicLoad,SingleApp,DispFrames,RT,0.11353131570099288,
4,PeriodicLoad,SingleApp,DispFrames,RF,0.10762607501508971,
8,PeriodicLoad,SingleApp,DispFrames,RT,0.11239528138317696,
8,PeriodicLoad,SingleApp,DispFrames,RF,0.10822115410583398,
16,PeriodicLoad,SingleApp,DispFrames,RT,0.11331663290039423,
16,PeriodicLoad,SingleApp,DispFrames,RF,0.10780271564738537,
32,PeriodicLoad,SingleApp,DispFrames,RT,0.11714756333068271,
32,PeriodicLoad,SingleApp,DispFrames,RF,0.10836264558078143,
64,PeriodicLoad,SingleApp,DispFrames,RT,0.11065059030394374,
64,PeriodicLoad,SingleApp,DispFrames,RF,0.11113531883975768,
128,PeriodicLoad,SingleApp,DispFrames,RT,0.10953705841139473,
128,PeriodicLoad,SingleApp,DispFrames,RF,0.10363652072255228,
256,PeriodicLoad,SingleApp,DispFrames,RT,0.0949200730621717,
256,PeriodicLoad,SingleApp,DispFrames,RF,0.1038657003343958,
2,PeriodicLoad,SingleApp,noAudioPlayed,RT,0.31876277034460904,
2,PeriodicLoad,SingleApp,noAudioPlayed,RF,0.23446169749013093,
4,PeriodicLoad,SingleApp,noAudioPlayed,RT,0.3228184936014443,
4,PeriodicLoad,SingleApp,noAudioPlayed,RF,0.22971112750174466,
8,PeriodicLoad,SingleApp,noAudioPlayed,RT,0.31286151289514486,
8,PeriodicLoad,SingleApp,noAudioPlayed,RF,0.2318291470583144,
16,PeriodicLoad,SingleApp,noAudioPlayed,RT,0.31808215100704434,
