período,carga,apps,feature,método,nmae,
8,FlashcrowdLoad,SingleApp,noAudioPlayed,RT,0.29856615645229595,
8,FlashcrowdLoad,SingleApp,noAudioPlayed,RF,0.255573201309483,
16,FlashcrowdLoad,SingleApp,noAudioPlayed,RT,0.30474293539151004,
16,FlashcrowdLoad,SingleApp,noAudioPlayed,RF,0.2678392602735936,
32,FlashcrowdLoad,SingleApp,noAudioPlayed,RT,0.27806745967084895,
32,FlashcrowdLoad,SingleApp,noAudioPlayed,RF,0.2353436804084515,
64,FlashcrowdLoad,SingleApp,noAudioPlayed,RT,0.25139470013947,
64,FlashcrowdLoad,SingleApp,noAudioPlayed,RF,0.2671344723384473,
128,FlashcrowdLoad,SingleApp,noAudioPlayed,RT,0.2785118219749652,
128,FlashcrowdLoad,SingleApp,noAudioPlayed,RF,0.2760054473806212,
256,FlashcrowdLoad,SingleApp,noAudioPlayed,RT,0.19300605245460659,
256,FlashcrowdLoad,SingleApp,noAudioPlayed,RF,0.14020399013674062,
2,PeriodicLoad,SingleApp,DispFrames,RT,0.09952675882558262,
2,PeriodicLoad,SingleApp,DispFrames,RF,0.09448717324306848,
4,PeriodicLoad,SingleApp,DispFrames,RT,0.1005462891130075,
4,PeriodicLoad,SingleApp,DispFrames,RF,0.09753280967158003,
8,PeriodicLoad,SingleApp,DispFrames,RT,0.10448047587067062,
8,PeriodicLoad,SingleApp,DispFrames,RF,0.09523276514545824,
16,PeriodicLoad,SingleApp,DispFrames,RT,0.1012551212850361,
16,PeriodicLoad,SingleApp,DispFrames,RF,0.09524452103791375,
32,PeriodicLoad,SingleApp,DispFrames,RT,0.11197110423116614,
32,PeriodicLoad,SingleApp,DispFrames,RF,0.09760706914344686,
64,PeriodicLoad,SingleApp,DispFrames,RT,0.13131313131313133,
64,PeriodicLoad,SingleApp,DispFrames,RF,0.11366294524189259,
128,PeriodicLoad,SingleApp,DispFrames,RT,0.07781124497991969,
128,PeriodicLoad,SingleApp,DispFrames,RF,0.06641984605087013,
256,PeriodicLoad,SingleApp,DispFrames,RT,0.11318795430944963,
256,PeriodicLoad,SingleApp,DispFrames,RF,0.11249567324333679,
2,PeriodicLoad,SingleApp,noAudioPlayed,RT,0.2836357140021438,
2,PeriodicLoad,SingleApp,noAudioPlayed,RF,0.2156561809387696,
4,PeriodicLoad,SingleApp,noAudioPlayed,RT,0.3229160418291244,
4,PeriodicLoad,SingleApp,noAudioPlayed,RF,0.23537796839488404,
8,PeriodicLoad,SingleApp,noAudioPlayed,RT,0.2941532014345006,
8,PeriodicLoad,SingleApp,noAudioPlayed,RF,0.22955014036077417,
16,PeriodicLoad,SingleApp,noAudioPlayed,RT,0.29714637651406284,
16,PeriodicLoad,SingleApp,noAudioPlayed,RF,0.24650893040443442,
32,PeriodicLoad,SingleApp,noAudioPlayed,RT,0.29392433472266755,
32,PeriodicLoad,SingleApp,noAudioPlayed,RF,0.2464004221438495,
64,PeriodicLoad,SingleApp,noAudioPlayed,RT,0.3165009322560597,
64,PeriodicLoad,SingleApp,noAudioPlayed,RF,0.25168582970789316,
128,PeriodicLoad,SingleApp,noAudioPlayed,RT,0.2400238237045861,
128,PeriodicLoad,SingleApp,noAudioPlayed,RF,0.20217639467937262,
256,PeriodicLoad,SingleApp,noAudioPlayed,RT,0.37894736842105264,
256,PeriodicLoad,SingleApp,noAudioPlayed,RF,0.33646381578947365,
2,FlashcrowdLoad,BothApps,ReadsAvg,RT,0.052945236186322416,
2,FlashcrowdLoad,BothApps,ReadsAvg,RF,0.03772070364139418,
4,FlashcrowdLoad,BothApps,ReadsAvg,RT,0.0547084721383341,
4,FlashcrowdLoad,BothApps,ReadsAvg,RF,0.040292616445587355,
8,FlashcrowdLoad,BothApps,ReadsAvg,RT,0.06088537510141679,
8,FlashcrowdLoad,BothApps,ReadsAvg,RF,0.04744661643838328,
16,FlashcrowdLoad,BothApps,ReadsAvg,RT,0.07894719151689285,
16,FlashcrowdLoad,BothApps,ReadsAvg,RF,0.06547990401478522,
32,FlashcrowdLoad,BothApps,ReadsAvg,RT,0.08649221566548901,
32,FlashcrowdLoad,BothApps,ReadsAvg,RF,0.08094501989608859,
64,FlashcrowdLoad,BothApps,ReadsAvg,RT,0.04665820131307925,
64,FlashcrowdLoad,BothApps,ReadsAvg,RF,0.040420373280942494,
128,FlashcrowdLoad,BothApps,ReadsAvg,RT,0.05210498039334109,
128,FlashcrowdLoad,BothApps,ReadsAvg,RF,0.034684616511819207,
256,FlashcrowdLoad,BothApps,ReadsAvg,RT,0.04406206097897256,
256,FlashcrowdLoad,BothApps,ReadsAvg,RF,0.04096497552598464,
2,FlashcrowdLoad,BothApps,WritesAvg,RT,0.050744460500011045,
2,FlashcrowdLoad,BothApps,WritesAvg,RF,0.037426502542425834,
4,FlashcrowdLoad,BothApps,WritesAvg,RT,0.051948588832634035,
4,FlashcrowdLoad,BothApps,WritesAvg,RF,0.038863150970783,
8,FlashcrowdLoad,BothApps,WritesAvg,RT,0.062016823140099764,
8,FlashcrowdLoad,BothApps,WritesAvg,RF,0.036185389169415424,
16,FlashcrowdLoad,BothApps,WritesAvg,RT,0.05195657058707042,
16,FlashcrowdLoad,BothApps,WritesAvg,RF,0.03867110914248807,
32,FlashcrowdLoad,BothApps,WritesAvg,RT,0.05499539019252175,
32,FlashcrowdLoad,BothApps,WritesAvg,RF,0.04618508058207859,
64,FlashcrowdLoad,BothApps,WritesAvg,RT,0.04711884782940537,
64,FlashcrowdLoad,BothApps,WritesAvg,RF,0.030824167752159418,
128,FlashcrowdLoad,BothApps,WritesAvg,RT,0.04938651878029852,
128,FlashcrowdLoad,BothApps,WritesAvg,RF,0.03492819889859736,
256,FlashcrowdLoad,BothApps,WritesAvg,RT,0.04535223819752623,
256,FlashcrowdLoad,BothApps,WritesAvg,RF,0.04143027641745419,
2,PeriodicLoad,BothApps,ReadsAvg,RT,0.057919391207638435,
2,PeriodicLoad,BothApps,ReadsAvg,RF,0.04173460726095014,
4,PeriodicLoad,BothApps,ReadsAvg,RT,0.0627006414025484,
4,PeriodicLoad,BothApps,ReadsAvg,RF,0.04365148559294991,
8,PeriodicLoad,BothApps,ReadsAvg,RT,0.05721073083142411,
8,PeriodicLoad,BothApps,ReadsAvg,RF,0.04316444788279962,
16,PeriodicLoad,BothApps,ReadsAvg,RT,0.05897156113421135,
16,PeriodicLoad,BothApps,ReadsAvg,RF,0.04231590326032962,
32,PeriodicLoad,BothApps,ReadsAvg,RT,0.060796652791175215,
32,PeriodicLoad,BothApps,ReadsAvg,RF,0.0458288693200538,
64,PeriodicLoad,BothApps,ReadsAvg,RT,0.07347610856584676,
