período,função,carga,apps,feature,método,nmae
16,média,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.15073500097277195,
16,média,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.11730728749716941,
16,máximo,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.2878596107139192,
16,máximo,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.23904976111472193,
16,mínimo,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.36420335049677277,
16,mínimo,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.33383373220199675,
32,média,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.1507029218345706,
32,média,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.12698001598981518,
32,máximo,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.29319537895137743,
32,máximo,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.24878126190173924,
32,mínimo,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.360489098408957,
32,mínimo,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.3523006285602043,
64,média,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.1279807579267111,
64,média,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.10337843061870554,
64,máximo,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.3484565014031805,
64,máximo,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.28515259588400377,
64,mínimo,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.40262652146060224,
64,mínimo,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.41227578475336324,
128,média,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.12960352283347326,
128,média,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.10455096017276246,
128,máximo,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.35437198574124557,
128,máximo,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.2547843712867827,
128,mínimo,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.5572457966373098,
128,mínimo,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.5848945823325329,
256,média,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.1305401279677807,
256,média,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.09846917730358248,
256,máximo,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.25820071451770055,
256,máximo,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.19266536754357477,
256,mínimo,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.6528468767274738,
256,mínimo,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.7197879649372187,
2,média,PeriodicLoad,BothApps,DispFrames,RT,0.12428375843009988,
2,média,PeriodicLoad,BothApps,DispFrames,RF,0.11539973369241661,
2,máximo,PeriodicLoad,BothApps,DispFrames,RT,0.10240996835616288,
2,máximo,PeriodicLoad,BothApps,DispFrames,RF,0.1056132225251563,
