período,função,carga,apps,feature,método,nmae,
16,média,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.10567555228896781,
16,média,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.08668934750629484,
16,máximo,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.2623334595655317,
16,máximo,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.22501090187167921,
16,mínimo,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.15162060730126237,
16,mínimo,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.1784356874786762,
32,média,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.10492729871244359,
32,média,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.08206817177312425,
32,máximo,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.2511084481725584,
32,máximo,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.20937138006790493,
32,mínimo,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.2228090208392806,
32,mínimo,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.24628651631934534,
64,média,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.09279461407891977,
64,média,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.08836896610912975,
64,máximo,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.20787321063394684,
64,máximo,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.18992416496250855,
64,mínimo,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.26713947990543735,
64,mínimo,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.3596673421141507,
128,média,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.07602754290288687,
128,média,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.08350727452010472,
128,máximo,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.27094440213252097,
128,máximo,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.1951288398070576,
128,mínimo,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.2886435331230284,
128,mínimo,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.41083727655099894,
256,média,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.16670963162846134,
256,média,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.08782096779413424,
256,máximo,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.2045303131245836,
256,máximo,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.16629191650011105,
256,mínimo,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.6042857142857142,
256,mínimo,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.6170595238095238,
2,média,PeriodicLoad,BothApps,DispFrames,RT,0.12580576450936648,
2,média,PeriodicLoad,BothApps,DispFrames,RF,0.11416305123634637,
2,máximo,PeriodicLoad,BothApps,DispFrames,RT,0.11436465912968813,
2,máximo,PeriodicLoad,BothApps,DispFrames,RF,0.11014740040290176,
