,trace_family,y_metric,regression_method,load_pattern,exp_type,random_state,nmae,training_time,nmae_original,training_time_original,delta_to_original_nmae
0,KV,ReadsAvg,random_forest,FlashcrowdLoad,BothApps,8.5,0.07049760214784506,153.24260624249777,0.04,3,0.03049760214784506
1,KV,ReadsAvg,random_forest,FlashcrowdLoad,BothApps,8.5,0.07049760214784506,153.24260624249777,0.04,2400,0.03049760214784506
2,KV,ReadsAvg,random_forest,FlashcrowdLoad,BothApps,8.5,0.07049760214784506,153.24260624249777,0.07,5,0.0004976021478450554
3,KV,ReadsAvg,random_forest,FlashcrowdLoad,BothApps,8.5,0.07049760214784506,153.24260624249777,0.07,9000,0.0004976021478450554
4,KV,ReadsAvg,random_forest,PeriodicLoad,BothApps,8.5,0.062360919418163324,150.30806675222186,0.04,7,0.022360919418163323
5,KV,ReadsAvg,random_forest,PeriodicLoad,BothApps,8.5,0.062360919418163324,150.30806675222186,0.04,5900,0.022360919418163323
6,KV,ReadsAvg,random_forest,PeriodicLoad,BothApps,8.5,0.062360919418163324,150.30806675222186,0.06,45,0.0023609194181633264
7,KV,ReadsAvg,random_forest,PeriodicLoad,BothApps,8.5,0.062360919418163324,150.30806675222186,0.06,4800,0.0023609194181633264
8,VoD,DispFrames,reg_tree,FlashcrowdLoad,SingleApp,8.5,0.11663140104115281,1.6359670956929524,0.12,22,-0.0033685989588471826
9,VoD,DispFrames,reg_tree,FlashcrowdLoad,SingleApp,8.5,0.11663140104115281,1.6359670956929524,0.11,1100,0.006631401041152812
10,VoD,DispFrames,reg_tree,FlashcrowdLoad,SingleApp,8.5,0.11663140104115281,1.6359670956929524,0.11,3,0.006631401041152812
11,VoD,DispFrames,reg_tree,FlashcrowdLoad,SingleApp,8.5,0.11663140104115281,1.6359670956929524,0.1,480,0.016631401041152807
12,VoD,DispFrames,reg_tree,PeriodicLoad,SingleApp,8.5,0.11463732542347099,1.6553273995717366,0.12,5,-0.005362674576529003
13,VoD,DispFrames,reg_tree,PeriodicLoad,SingleApp,8.5,0.11463732542347099,1.6553273995717366,0.11,1200,0.004637325423470992
14,VoD,DispFrames,reg_tree,PeriodicLoad,SingleApp,8.5,0.11463732542347099,1.6553273995717366,0.15,3,-0.035362674576529
15,VoD,DispFrames,reg_tree,PeriodicLoad,SingleApp,8.5,0.11463732542347099,1.6553273995717366,0.14,790,-0.02536267457652902
