,k_best,LoadPattern,ExpType,RegressionMethod,ReadsAvgNmae,ReadsAvgTrainingTime,DispFramesNmae,DispFramesTrainingTime
50,10,BothApps,PeriodicLoad,RegTree,0.057592463572429746,0.1563422679901123,0.1206882419309733,0.08801555633544922
51,10,BothApps,PeriodicLoad,RandomForest,0.04261911438452797,1.7931842803955078,0.12066672533004175,1.037813663482666
52,11,BothApps,PeriodicLoad,RegTree,0.057760833939975935,0.1636347770690918,0.12346551075709507,0.11226987838745117
53,11,BothApps,PeriodicLoad,RandomForest,0.042259996467836146,1.9010448455810547,0.1210558925351257,1.1657893657684326
54,12,BothApps,PeriodicLoad,RegTree,0.05744532411662272,0.1991274356842041,0.12773266858889673,0.12244081497192383
55,12,BothApps,PeriodicLoad,RandomForest,0.04198301938157114,2.088358163833618,0.12175593544778637,1.2873053550720215
56,13,BothApps,PeriodicLoad,RegTree,0.05777660349944474,0.18578052520751953,0.1272625579803084,0.12732386589050293
57,13,BothApps,PeriodicLoad,RandomForest,0.04183244333699989,2.217627763748169,0.1220371781148645,1.3736133575439453
58,14,BothApps,PeriodicLoad,RegTree,0.05716571354410858,0.20407915115356445,0.12699254573332433,0.13772964477539062
59,14,BothApps,PeriodicLoad,RandomForest,0.041931761922201445,2.538515090942383,0.12233294599433617,1.5141983032226562
60,15,BothApps,PeriodicLoad,RegTree,0.0583657473516691,0.22143149375915527,0.12595348074716245,0.18209457397460938
61,15,BothApps,PeriodicLoad,RandomForest,0.041926042553725715,2.4929730892181396,0.12248314030672104,1.9346091747283936
62,16,BothApps,PeriodicLoad,RegTree,0.057752554602295086,0.23645949363708496,0.11989267013182382,0.15844273567199707
63,16,BothApps,PeriodicLoad,RandomForest,0.04205232248037996,2.829637289047241,0.11928751321934958,1.865086317062378
64,1,SingleApp,FlashcrowdLoad,RegTree,0.019944797364828813,0.0067141056060791016,0.10698176214231571,0.0061800479888916016
65,1,SingleApp,FlashcrowdLoad,RandomForest,0.0199860776541023,0.3652517795562744,0.10682285952932856,0.3566322326660156
66,2,SingleApp,FlashcrowdLoad,RegTree,0.026186264571672373,0.016674518585205078,0.11023636412797073,0.01605820655822754
67,2,SingleApp,FlashcrowdLoad,RandomForest,0.02203731924610975,0.4590129852294922,0.1082383959966222,0.4461524486541748
68,3,SingleApp,FlashcrowdLoad,RegTree,0.028044640513604717,0.02648639678955078,0.10903521805638279,0.023094892501831055
69,3,SingleApp,FlashcrowdLoad,RandomForest,0.021082849632732693,0.5780184268951416,0.10551556797685782,0.49120259284973145
70,4,SingleApp,FlashcrowdLoad,RegTree,0.02746081174193004,0.05599665641784668,0.10927229111895974,0.04644417762756348
71,4,SingleApp,FlashcrowdLoad,RandomForest,0.020193639154257797,0.6401510238647461,0.10201067825666175,0.6914021968841553
72,5,SingleApp,FlashcrowdLoad,RegTree,0.02737935221727882,0.056647539138793945,0.10814810880668489,0.058976173400878906
73,5,SingleApp,FlashcrowdLoad,RandomForest,0.020168053678754155,0.6588096618652344,0.10191611121438245,0.739013671875
74,6,SingleApp,FlashcrowdLoad,RegTree,0.027073753445452865,0.06584715843200684,0.10870046295066875,0.06823182106018066
75,6,SingleApp,FlashcrowdLoad,RandomForest,0.02004785545574433,0.7205367088317871,0.10142884752134028,0.8567225933074951
76,7,SingleApp,FlashcrowdLoad,RegTree,0.027236722902712385,0.07652807235717773,0.10768073222331394,0.07694292068481445
77,7,SingleApp,FlashcrowdLoad,RandomForest,0.019827002984708113,0.8535635471343994,0.10144765765845513,0.9262676239013672
78,8,SingleApp,FlashcrowdLoad,RegTree,0.026941360071733637,0.09074020385742188,0.10459498455355801,0.09708094596862793
79,8,SingleApp,FlashcrowdLoad,RandomForest,0.019526119349690597,0.9097855091094971,0.09990007760103627,1.1854381561279297
80,9,SingleApp,FlashcrowdLoad,RegTree,0.027162064196186567,0.10057258605957031,0.10380894211788867,0.110748291015625
81,9,SingleApp,FlashcrowdLoad,RandomForest,0.01956549899894862,1.1322026252746582,0.09986487682679626,1.3144538402557373
82,10,SingleApp,FlashcrowdLoad,RegTree,0.027261148018465835,0.11059069633483887,0.10471891016278513,0.12062811851501465
83,10,SingleApp,FlashcrowdLoad,RandomForest,0.01971355075664459,1.1141486167907715,0.09955911989212571,1.3665053844451904
84,11,SingleApp,FlashcrowdLoad,RegTree,0.027548372557924923,0.1094672679901123,0.10715670393286772,0.12852835655212402
85,11,SingleApp,FlashcrowdLoad,RandomForest,0.01957151005805407,1.2262005805969238,0.10102471725782132,1.4573726654052734
86,12,SingleApp,FlashcrowdLoad,RegTree,0.027738089355029368,0.12439918518066406,0.10461622894371123,0.1349797248840332
87,12,SingleApp,FlashcrowdLoad,RandomForest,0.01958782200092311,1.3172862529754639,0.10026179284949233,1.6358652114868164
88,13,SingleApp,FlashcrowdLoad,RegTree,0.027700334061179235,0.15022850036621094,0.10320347699852175,0.14330744743347168
89,13,SingleApp,FlashcrowdLoad,RandomForest,0.019586529953432994,1.4907867908477783,0.10011061835928396,1.6475543975830078
90,14,SingleApp,FlashcrowdLoad,RegTree,0.02774143024546201,0.1620776653289795,0.10483221357693569,0.1438605785369873
91,14,SingleApp,FlashcrowdLoad,RandomForest,0.019606397438401868,1.625168800354004,0.0999002103784747,1.7394068241119385
92,15,SingleApp,FlashcrowdLoad,RegTree,0.027749796237304964,0.15530943870544434,0.10416832638464738,0.1635277271270752
93,15,SingleApp,FlashcrowdLoad,RandomForest,0.019524597323100603,1.7982492446899414,0.09950229114846584,2.164285898208618
94,16,SingleApp,FlashcrowdLoad,RegTree,0.027718555274140758,0.16415095329284668,0.1041647856529552,0.18993139266967773
95,16,SingleApp,FlashcrowdLoad,RandomForest,0.01956641783691937,1.8361961841583252,0.0994481917188187,2.24126935005188
96,1,SingleApp,PeriodicLoad,RegTree,0.026661297651570628,0.008276939392089844,0.08282696389151707,0.034897565841674805
97,1,SingleApp,PeriodicLoad,RandomForest,0.026605945612930608,0.38391661643981934,0.08562180990860738,0.5104703903198242
98,2,SingleApp,PeriodicLoad,RegTree,0.03529445755809098,0.0244753360748291,0.10090705311994995,0.162520170211792
99,2,SingleApp,PeriodicLoad,RandomForest,0.028520603129313708,0.522169828414917,0.09780236552039712,0.7134761810302734
100,3,SingleApp,PeriodicLoad,RegTree,0.03515344935968009,0.03991508483886719,0.08605014856904551,0.08541512489318848
101,3,SingleApp,PeriodicLoad,RandomForest,0.026265008332915216,0.6473896503448486,0.08515010396937102,0.7837905883789062
102,4,SingleApp,PeriodicLoad,RegTree,0.03459705946620558,0.05203843116760254,0.08431423656362405,0.07601785659790039
103,4,SingleApp,PeriodicLoad,RandomForest,0.025532084982850412,0.7479462623596191,0.08499703151517259,0.8810024261474609
104,5,SingleApp,PeriodicLoad,RegTree,0.03387235276554643,0.07048916816711426,0.09160888981563538,0.09537124633789062
105,5,SingleApp,PeriodicLoad,RandomForest,0.0242665941301989,0.9046251773834229,0.08602697990697782,1.136669635772705
106,6,SingleApp,PeriodicLoad,RegTree,0.033812180509801865,0.08466219902038574,0.09074527793706233,0.11626458168029785
107,6,SingleApp,PeriodicLoad,RandomForest,0.024239821206642136,1.1363465785980225,0.08609744160049117,1.192671537399292
108,7,SingleApp,PeriodicLoad,RegTree,0.03404518164172513,0.11786699295043945,0.08913100140749623,0.1210627555847168
109,7,SingleApp,PeriodicLoad,RandomForest,0.024238306115798067,1.3110780715942383,0.08618613413496905,1.3053643703460693
110,8,SingleApp,PeriodicLoad,RegTree,0.03383923847499608,0.10916829109191895,0.09356548332725156,0.1386401653289795
111,8,SingleApp,PeriodicLoad,RandomForest,0.024047925292847685,1.3518483638763428,0.08873943653813852,1.439042091369629
112,9,SingleApp,PeriodicLoad,RegTree,0.03387008245848376,0.13928794860839844,0.09203461398112912,0.14711833000183105
113,9,SingleApp,PeriodicLoad,RandomForest,0.023886546418735808,1.5136892795562744,0.08877213331248154,1.5642104148864746
114,10,SingleApp,PeriodicLoad,RegTree,0.03356114511016124,0.14757943153381348,0.09231437557559646,0.14057421684265137
115,10,SingleApp,PeriodicLoad,RandomForest,0.023902738136405813,1.7917914390563965,0.088763734672482,1.6040804386138916
116,11,SingleApp,PeriodicLoad,RegTree,0.03389038333296901,0.16045069694519043,0.09366974230655617,0.16710615158081055
117,11,SingleApp,PeriodicLoad,RandomForest,0.023868385358655157,2.200378894805908,0.08886832670130383,1.641448736190796
118,12,SingleApp,PeriodicLoad,RegTree,0.03395140233950636,0.17565155029296875,0.09039774800604702,0.1652522087097168
119,12,SingleApp,PeriodicLoad,RandomForest,0.023780143049088664,2.000852584838867,0.0885567661181486,1.8444457054138184
120,13,SingleApp,PeriodicLoad,RegTree,0.03331093831224844,0.1959388256072998,0.0927852786321222,0.20009994506835938
121,13,SingleApp,PeriodicLoad,RandomForest,0.02368860575475342,2.348788261413574,0.08873009667124247,1.8984870910644531
122,14,SingleApp,PeriodicLoad,RegTree,0.033126943267905246,0.2103729248046875,0.09313454621279259,0.23970460891723633
123,14,SingleApp,PeriodicLoad,RandomForest,0.023693642901452705,2.7666022777557373,0.08892196215399051,2.434117078781128
124,15,SingleApp,PeriodicLoad,RegTree,0.03306672114628317,0.23273015022277832,0.09255069592868687,0.2431795597076416
125,15,SingleApp,PeriodicLoad,RandomForest,0.02370406309752791,3.0421547889709473,0.08878121253192932,2.1896369457244873
126,16,SingleApp,PeriodicLoad,RegTree,0.033182750144913786,0.27260875701904297,0.09226398373559924,0.2167978286743164
127,16,SingleApp,PeriodicLoad,RandomForest,0.023530094450525417,2.7561097145080566,0.08895102434447168,2.191023588180542
