,random_state,load_pattern,exp_type,regression_method,trace_family,y_metric,nmae,training_time
50,7,FlashcrowdLoad,BothApps,reg_tree,VoD,noAudioPlayed,0.29056238453886596,0.8638815879821777
51,7,FlashcrowdLoad,BothApps,random_forest,VoD,noAudioPlayed,0.2325685138189678,0.8638815879821777
52,8,FlashcrowdLoad,BothApps,reg_tree,VoD,noAudioPlayed,0.27678807134294464,0.8337700366973877
53,8,FlashcrowdLoad,BothApps,random_forest,VoD,noAudioPlayed,0.22758983625817367,0.8337700366973877
54,9,FlashcrowdLoad,BothApps,reg_tree,VoD,noAudioPlayed,0.28625763131656495,0.795604944229126
55,9,FlashcrowdLoad,BothApps,random_forest,VoD,noAudioPlayed,0.22561180540851333,0.795604944229126
56,10,FlashcrowdLoad,BothApps,reg_tree,VoD,noAudioPlayed,0.2753609130654922,0.8681182861328125
57,10,FlashcrowdLoad,BothApps,random_forest,VoD,noAudioPlayed,0.22305390689025878,0.8681182861328125
58,11,FlashcrowdLoad,BothApps,reg_tree,VoD,noAudioPlayed,0.2849982167284149,0.8052966594696045
59,11,FlashcrowdLoad,BothApps,random_forest,VoD,noAudioPlayed,0.2322615220225199,0.8052966594696045
60,12,FlashcrowdLoad,BothApps,reg_tree,VoD,noAudioPlayed,0.2790618166336608,0.9693202972412109
61,12,FlashcrowdLoad,BothApps,random_forest,VoD,noAudioPlayed,0.22772561888746182,0.9693202972412109
62,13,FlashcrowdLoad,BothApps,reg_tree,VoD,noAudioPlayed,0.27706063628177513,0.8661363124847412
63,13,FlashcrowdLoad,BothApps,random_forest,VoD,noAudioPlayed,0.22419134898819948,0.8661363124847412
64,14,FlashcrowdLoad,BothApps,reg_tree,VoD,noAudioPlayed,0.27804096980798626,0.9968724250793457
65,14,FlashcrowdLoad,BothApps,random_forest,VoD,noAudioPlayed,0.22652613183023576,0.9968724250793457
66,15,FlashcrowdLoad,BothApps,reg_tree,VoD,noAudioPlayed,0.286137061117498,0.8023250102996826
67,15,FlashcrowdLoad,BothApps,random_forest,VoD,noAudioPlayed,0.23021532841734912,0.8023250102996826
68,16,FlashcrowdLoad,BothApps,reg_tree,VoD,noAudioPlayed,0.2796696122096744,0.7738947868347168
69,16,FlashcrowdLoad,BothApps,random_forest,VoD,noAudioPlayed,0.2249321124613413,0.7738947868347168
70,17,FlashcrowdLoad,BothApps,reg_tree,VoD,noAudioPlayed,0.28103120188126607,0.8415858745574951
71,17,FlashcrowdLoad,BothApps,random_forest,VoD,noAudioPlayed,0.22871001747752984,0.8415858745574951
72,0,PeriodicLoad,BothApps,reg_tree,VoD,DispFrames,0.1534418318854959,0.6818995475769043
73,0,PeriodicLoad,BothApps,random_forest,VoD,DispFrames,0.14701777615128772,0.6818995475769043
74,1,PeriodicLoad,BothApps,reg_tree,VoD,DispFrames,0.15371515049712955,0.5658259391784668
75,1,PeriodicLoad,BothApps,random_forest,VoD,DispFrames,0.14645832045359866,0.5658259391784668
76,2,PeriodicLoad,BothApps,reg_tree,VoD,DispFrames,0.15705779196246822,0.5852100849151611
77,2,PeriodicLoad,BothApps,random_forest,VoD,DispFrames,0.14622888721104768,0.5852100849151611
78,3,PeriodicLoad,BothApps,reg_tree,VoD,DispFrames,0.16076990979566594,0.6668097972869873
79,3,PeriodicLoad,BothApps,random_forest,VoD,DispFrames,0.14809684904369336,0.6668097972869873
80,4,PeriodicLoad,BothApps,reg_tree,VoD,DispFrames,0.15763769062701588,0.7570686340332031
81,4,PeriodicLoad,BothApps,random_forest,VoD,DispFrames,0.14749413869533193,0.7570686340332031
82,5,PeriodicLoad,BothApps,reg_tree,VoD,DispFrames,0.1571692691176443,0.635800838470459
83,5,PeriodicLoad,BothApps,random_forest,VoD,DispFrames,0.1471150181822353,0.635800838470459
84,6,PeriodicLoad,BothApps,reg_tree,VoD,DispFrames,0.15492390431760894,0.5988483428955078
85,6,PeriodicLoad,BothApps,random_forest,VoD,DispFrames,0.14459916336242332,0.5988483428955078
86,7,PeriodicLoad,BothApps,reg_tree,VoD,DispFrames,0.15519407003531618,0.5834519863128662
87,7,PeriodicLoad,BothApps,random_forest,VoD,DispFrames,0.14710413263575997,0.5834519863128662
88,8,PeriodicLoad,BothApps,reg_tree,VoD,DispFrames,0.15342656382164677,0.5889372825622559
89,8,PeriodicLoad,BothApps,random_forest,VoD,DispFrames,0.14434481343161074,0.5889372825622559
90,9,PeriodicLoad,BothApps,reg_tree,VoD,DispFrames,0.15535751496685607,0.5617899894714355
91,9,PeriodicLoad,BothApps,random_forest,VoD,DispFrames,0.14404413885611111,0.5617899894714355
92,10,PeriodicLoad,BothApps,reg_tree,VoD,DispFrames,0.15511160525797282,0.6367568969726562
93,10,PeriodicLoad,BothApps,random_forest,VoD,DispFrames,0.14479986518488053,0.6367568969726562
94,11,PeriodicLoad,BothApps,reg_tree,VoD,DispFrames,0.1526047040535509,0.7712070941925049
95,11,PeriodicLoad,BothApps,random_forest,VoD,DispFrames,0.14319366342501297,0.7712070941925049
96,12,PeriodicLoad,BothApps,reg_tree,VoD,DispFrames,0.15373254866626698,0.6368429660797119
97,12,PeriodicLoad,BothApps,random_forest,VoD,DispFrames,0.14240773545334418,0.6368429660797119
98,13,PeriodicLoad,BothApps,reg_tree,VoD,DispFrames,0.15285096741832035,0.5681812763214111
99,13,PeriodicLoad,BothApps,random_forest,VoD,DispFrames,0.14514651292910932,0.5681812763214111
100,14,PeriodicLoad,BothApps,reg_tree,VoD,DispFrames,0.15509464041134335,0.6611757278442383
101,14,PeriodicLoad,BothApps,random_forest,VoD,DispFrames,0.14497824963386458,0.6611757278442383
102,15,PeriodicLoad,BothApps,reg_tree,VoD,DispFrames,0.15770276879764275,0.5790326595306396
103,15,PeriodicLoad,BothApps,random_forest,VoD,DispFrames,0.14537004847103208,0.5790326595306396
104,16,PeriodicLoad,BothApps,reg_tree,VoD,DispFrames,0.15811822910161835,0.6518816947937012
105,16,PeriodicLoad,BothApps,random_forest,VoD,DispFrames,0.14730554217238548,0.6518816947937012
106,17,PeriodicLoad,BothApps,reg_tree,VoD,DispFrames,0.15143740517359044,0.584510326385498
107,17,PeriodicLoad,BothApps,random_forest,VoD,DispFrames,0.144227982776654,0.584510326385498
108,0,PeriodicLoad,BothApps,reg_tree,VoD,noAudioPlayed,0.43519260096459955,0.983360767364502
109,0,PeriodicLoad,BothApps,random_forest,VoD,noAudioPlayed,0.342938808026814,0.983360767364502
