,trace_family,y_metric,regression_method,load_pattern,exp_type,random_state,nmae,training_time,nmae_original,training_time_original,delta_to_original_nmae
0,KV,ReadsAvg,random_forest,FlashcrowdLoad,BothApps,8.5,0.07049760214784506,5.452906635072496,0.04,3,0.03049760214784506
1,KV,ReadsAvg,random_forest,FlashcrowdLoad,BothApps,8.5,0.07049760214784506,5.452906635072496,0.04,2400,0.03049760214784506
2,KV,ReadsAvg,random_forest,FlashcrowdLoad,BothApps,8.5,0.07049760214784506,5.452906635072496,0.07,5,0.0004976021478450554
3,KV,ReadsAvg,random_forest,FlashcrowdLoad,BothApps,8.5,0.07049760214784506,5.452906635072496,0.07,9000,0.0004976021478450554
4,KV,ReadsAvg,random_forest,PeriodicLoad,BothApps,8.5,0.062360919418163324,8.155268245273167,0.04,7,0.022360919418163323
5,KV,ReadsAvg,random_forest,PeriodicLoad,BothApps,8.5,0.062360919418163324,8.155268245273167,0.04,5900,0.022360919418163323
6,KV,ReadsAvg,random_forest,PeriodicLoad,BothApps,8.5,0.062360919418163324,8.155268245273167,0.06,45,0.0023609194181633264
7,KV,ReadsAvg,random_forest,PeriodicLoad,BothApps,8.5,0.062360919418163324,8.155268245273167,0.06,4800,0.0023609194181633264
8,VoD,DispFrames,reg_tree,FlashcrowdLoad,SingleApp,8.5,0.11626497619475945,0.8442654344770644,0.12,22,-0.003735023805240545
9,VoD,DispFrames,reg_tree,FlashcrowdLoad,SingleApp,8.5,0.11626497619475945,0.8442654344770644,0.11,1100,0.00626497619475945
10,VoD,DispFrames,reg_tree,FlashcrowdLoad,SingleApp,8.5,0.11626497619475945,0.8442654344770644,0.11,3,0.00626497619475945
11,VoD,DispFrames,reg_tree,FlashcrowdLoad,SingleApp,8.5,0.11626497619475945,0.8442654344770644,0.1,480,0.016264976194759445
12,VoD,DispFrames,reg_tree,PeriodicLoad,SingleApp,8.5,0.11443688961147809,0.8051601913240221,0.12,5,-0.005563110388521905
13,VoD,DispFrames,reg_tree,PeriodicLoad,SingleApp,8.5,0.11443688961147809,0.8051601913240221,0.11,1200,0.00443688961147809
14,VoD,DispFrames,reg_tree,PeriodicLoad,SingleApp,8.5,0.11443688961147809,0.8051601913240221,0.15,3,-0.035563110388521904
15,VoD,DispFrames,reg_tree,PeriodicLoad,SingleApp,8.5,0.11443688961147809,0.8051601913240221,0.14,790,-0.025563110388521923
