switch,regression_tree_noAudioPlayed_nmae,time_to_train_regression_tree_s,random_forest_noAudioPlayed_nmae,time_to_train_random_forest_s,
SWC1,0.3499116738305328,0.041811466217041016,0.3260182205346031,0.4926426410675049,
SWC2,0.33000141302580704,0.002393484115600586,0.32976272002473206,0.16912245750427246,
SWC3,0.33000141302580704,0.002383708953857422,0.32976272002473206,0.1796126365661621,
SWC4,0.33029735293793955,0.002680540084838867,0.33008831582981174,0.21047425270080566,
SWA1,0.35194119087053655,0.0420680046081543,0.32927602727415073,0.508037805557251,
SWA2,0.368564374450029,0.040036916732788086,0.3446663397471193,0.5281240940093994,
SWA3,0.33000141302580704,0.002422809600830078,0.32976272002473206,0.17903757095336914,
SWA4,0.33000489938302585,0.0024635791778564453,0.329766233831953,0.19259023666381836,
SWA5,0.33633028473886983,0.038845062255859375,0.31183852338221824,0.4846370220184326,
SWA6,0.33000141302580704,0.0024824142456054688,0.32976272002473206,0.16557550430297852,
SWB1,0.3154641001720945,0.0395655632019043,0.2915498028960071,0.4792060852050781,
SWB2,0.3622012513425357,0.04186606407165527,0.3408810505867775,0.5217602252960205,
SWB3,0.35276104738737585,0.04223275184631348,0.3261292639172571,0.4920356273651123,
SWB4,0.36800163052387747,0.035581350326538086,0.3451625791899603,0.4865102767944336,
