período,carga,apps,feature,método,nmae
256,FlashcrowdLoad,BothApps,DispFrames,RT,0.10127319272535949,
256,FlashcrowdLoad,BothApps,DispFrames,RF,0.0987242167286581,
128,FlashcrowdLoad,BothApps,DispFrames,RT,0.1346645305260837,
128,FlashcrowdLoad,BothApps,DispFrames,RF,0.1147909962869383,
64,FlashcrowdLoad,BothApps,DispFrames,RT,0.10700892676052076,
64,FlashcrowdLoad,BothApps,DispFrames,RF,0.10453436580703858,
32,FlashcrowdLoad,BothApps,DispFrames,RT,0.1044174860833168,
32,FlashcrowdLoad,BothApps,DispFrames,RF,0.10038973862687202,
16,FlashcrowdLoad,BothApps,DispFrames,RT,0.11399436702817323,
16,FlashcrowdLoad,BothApps,DispFrames,RF,0.10885048281163524,
8,FlashcrowdLoad,BothApps,DispFrames,RT,0.10925135224221628,
8,FlashcrowdLoad,BothApps,DispFrames,RF,0.10555068379293216,
4,FlashcrowdLoad,BothApps,DispFrames,RT,0.1106545133420024,
4,FlashcrowdLoad,BothApps,DispFrames,RF,0.10356087893743,
2,FlashcrowdLoad,BothApps,DispFrames,RT,0.10525987906400147,
2,FlashcrowdLoad,BothApps,DispFrames,RF,0.10072546584622998,
256,PeriodicLoad,BothApps,DispFrames,RT,0.1779522347046867,
256,PeriodicLoad,BothApps,DispFrames,RF,0.14125402287004266,
128,PeriodicLoad,BothApps,DispFrames,RT,0.12712859565833692,
128,PeriodicLoad,BothApps,DispFrames,RF,0.12470835983277107,
64,PeriodicLoad,BothApps,DispFrames,RT,0.17542062142611567,
64,PeriodicLoad,BothApps,DispFrames,RF,0.16435139378625105,
32,PeriodicLoad,BothApps,DispFrames,RT,0.15525685117351784,
32,PeriodicLoad,BothApps,DispFrames,RF,0.15218691982874674,
16,PeriodicLoad,BothApps,DispFrames,RT,0.16388306592328006,
16,PeriodicLoad,BothApps,DispFrames,RF,0.14750497861185716,
8,PeriodicLoad,BothApps,DispFrames,RT,0.16023001646142424,
8,PeriodicLoad,BothApps,DispFrames,RF,0.1416764410451372,
4,PeriodicLoad,BothApps,DispFrames,RT,0.14643237902293085,
4,PeriodicLoad,BothApps,DispFrames,RF,0.13855918989114102,
2,PeriodicLoad,BothApps,DispFrames,RT,0.1399757050782959,
2,PeriodicLoad,BothApps,DispFrames,RF,0.12957721235533842,
256,FlashcrowdLoad,SingleApp,DispFrames,RT,0.07641625742440405,
256,FlashcrowdLoad,SingleApp,DispFrames,RF,0.07994312542360439,
128,FlashcrowdLoad,SingleApp,DispFrames,RT,0.1147853998509563,
128,FlashcrowdLoad,SingleApp,DispFrames,RF,0.11010993100574551,
64,FlashcrowdLoad,SingleApp,DispFrames,RT,0.10146564602280722,
64,FlashcrowdLoad,SingleApp,DispFrames,RF,0.10339915456738213,
32,FlashcrowdLoad,SingleApp,DispFrames,RT,0.12119930876417463,
32,FlashcrowdLoad,SingleApp,DispFrames,RF,0.10696364444488031,
16,FlashcrowdLoad,SingleApp,DispFrames,RT,0.11992763239790034,
16,FlashcrowdLoad,SingleApp,DispFrames,RF,0.10590767791736404,
8,FlashcrowdLoad,SingleApp,DispFrames,RT,0.10872203471739751,
8,FlashcrowdLoad,SingleApp,DispFrames,RF,0.1062883551982536,
4,FlashcrowdLoad,SingleApp,DispFrames,RT,0.11115329778561796,
4,FlashcrowdLoad,SingleApp,DispFrames,RF,0.10440417339615037,
2,FlashcrowdLoad,SingleApp,DispFrames,RT,0.1088902890319185,
2,FlashcrowdLoad,SingleApp,DispFrames,RF,0.101517312960768,
256,PeriodicLoad,SingleApp,DispFrames,RT,0.1042077179319512,
256,PeriodicLoad,SingleApp,DispFrames,RF,0.09254061944447027,
128,PeriodicLoad,SingleApp,DispFrames,RT,0.08770745674983164,
128,PeriodicLoad,SingleApp,DispFrames,RF,0.08246795746994502,
64,PeriodicLoad,SingleApp,DispFrames,RT,0.09743408109844638,
64,PeriodicLoad,SingleApp,DispFrames,RF,0.09286102588839341,
32,PeriodicLoad,SingleApp,DispFrames,RT,0.10356976076069617,
32,PeriodicLoad,SingleApp,DispFrames,RF,0.09796317764108675,
16,PeriodicLoad,SingleApp,DispFrames,RT,0.10615063066155882,
16,PeriodicLoad,SingleApp,DispFrames,RF,0.0996642918822455,
8,PeriodicLoad,SingleApp,DispFrames,RT,0.11125200020660603,
8,PeriodicLoad,SingleApp,DispFrames,RF,0.10147745234948523,
4,PeriodicLoad,SingleApp,DispFrames,RT,0.10673644592176429,
4,PeriodicLoad,SingleApp,DispFrames,RF,0.10028114254663378,
2,PeriodicLoad,SingleApp,DispFrames,RT,0.09912004063078457,
2,PeriodicLoad,SingleApp,DispFrames,RF,0.09178014505765415,
