período,função,carga,apps,feature,método,nmae
256,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.2250372578241431,
256,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.22384500745156485,
256,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.26229508196721313,
256,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.22148534525583705,
256,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.2235469448584203,
256,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.22165921510183803,
128,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.08090185676392574,
128,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.08942307692307691,
128,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.06697612732095491,
128,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.07158488063660479,
128,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.08753315649867374,
128,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.08726237842617152,
64,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.1121751025991792,
64,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.121047081623347,
64,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.11833105335157318,
64,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.12478340173278615,
64,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.12038303693570453,
64,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.12851687186502508,
32,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.12518828451882846,
32,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.12441701534170153,
32,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.11163179916317992,
32,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.1151589958158996,
32,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.11029288702928869,
32,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.11144490934449094,
16,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.10331092855364699,
16,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.10005946947694519,
16,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.09766824329931124,
16,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.0974172267861588,
16,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.100655547257489,
16,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.10268580754017646,
8,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.08175943297894517,
8,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.08403342366757,
8,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.07542213883677298,
8,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.08498506010701132,
8,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.0782989368355222,
8,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.08575429087624209,
4,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.06372344856309871,
4,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.075013188949049,
4,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.06453561016243232,
4,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.07655299875052061,
4,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.06184922948771345,
4,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.07655421352214355,
2,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.044499870096128866,
2,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.0625492335671603,
2,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.04271239282930631,
2,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.06257322248202996,
2,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.04272278513899714,
2,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.06231618602234346,
256,média,PeriodicLoad,BothApps,DispFrames,RT,0.1337295690936107,
256,média,PeriodicLoad,BothApps,DispFrames,RF,0.16948984645864287,
256,máximo,PeriodicLoad,BothApps,DispFrames,RT,0.16344725111441308,
256,máximo,PeriodicLoad,BothApps,DispFrames,RF,0.17600297176820207,
256,mínimo,PeriodicLoad,BothApps,DispFrames,RT,0.1887072808320951,
256,mínimo,PeriodicLoad,BothApps,DispFrames,RF,0.19363546310054483,
128,média,PeriodicLoad,BothApps,DispFrames,RT,0.17899408284023668,
128,média,PeriodicLoad,BothApps,DispFrames,RF,0.1693663708086785,
128,máximo,PeriodicLoad,BothApps,DispFrames,RT,0.15310650887573965,
128,máximo,PeriodicLoad,BothApps,DispFrames,RF,0.1537043885601578,
128,mínimo,PeriodicLoad,BothApps,DispFrames,RT,0.1804733727810651,
128,mínimo,PeriodicLoad,BothApps,DispFrames,RF,0.16597016765285996,
64,média,PeriodicLoad,BothApps,DispFrames,RT,0.12272565108811986,
64,média,PeriodicLoad,BothApps,DispFrames,RF,0.11714532048995124,
64,máximo,PeriodicLoad,BothApps,DispFrames,RT,0.1177310024973243,
64,máximo,PeriodicLoad,BothApps,DispFrames,RF,0.11855155190866927,
64,mínimo,PeriodicLoad,BothApps,DispFrames,RT,0.11309311452015697,
