período,função,Features,
8,[['2_kbcommit_mean', '2_X..commit_mean', '2_file.nr_mean', '2_plist.sz_mean', '2_ldavg.1_mean', '3_all_..usr_mean', '3_cpu6_.usr_mean', '3_cpu8_.usr_mean', '3_cpu10_.usr_mean', '3_cpu14_.usr_mean', '3_cpu15_.usr_mean', '3_cpu15_.idle_mean', '3_cpu16_.usr_mean', '3_cpu17_.usr_mean', '3_cpu18_.usr_mean', '3_cpu19_.usr_mean', '3_cpu20_.usr_mean', '3_cpu21_.usr_mean', '3_cpu22_.usr_mean', '3_cpu23_.usr_mean', '3_kbcommit_mean', '3_X..commit_mean', '3_file.nr_mean', '3_runq.sz_mean', '3_plist.sz_mean', '3_ldavg.1_mean', '3_orq.s_mean', '4_kbcommit_mean', '4_X..commit_mean', '4_file.nr_mean', '4_runq.sz_mean', '4_plist.sz_mean', '4_ldavg.1_mean', '5_tcpsck_mean', '2_kbcommit_median', '2_X..commit_median', '2_file.nr_median', '2_plist.sz_median', '2_ldavg.1_median', '3_kbcommit_median', '3_X..commit_median', '3_runq.sz_median', '3_plist.sz_median', '3_ldavg.1_median', '3_orq.s_median', '4_kbcommit_median', '4_X..commit_median', '4_file.nr_median', '4_runq.sz_median', '4_plist.sz_median', '4_ldavg.1_median', '5_tcpsck_median', '2_kbcommit_25th', '2_X..commit_25th', '2_file.nr_25th', '2_runq.sz_25th', '2_plist.sz_25th', '2_ldavg.1_25th', '3_all_..usr_25th', '3_cpu6_.usr_25th', '3_cpu14_.usr_25th', '3_cpu15_.usr_25th', '3_cpu17_.usr_25th', '3_cpu19_.usr_25th', '3_cpu20_.usr_25th', '3_cpu21_.usr_25th', '3_cpu23_.usr_25th', '3_kbcommit_25th', '3_X..commit_25th', '3_file.nr_25th', '3_runq.sz_25th', '3_plist.sz_25th', '3_ldavg.1_25th', '3_orq.s_25th', '4_kbcommit_25th', '4_X..commit_25th', '4_file.nr_25th', '4_runq.sz_25th', '4_plist.sz_25th', '4_ldavg.1_25th', '5_tcpsck_25th', '2_kbcommit_75th', '2_X..commit_75th', '2_file.nr_75th', '2_plist.sz_75th', '2_ldavg.1_75th', '3_cpu15_.idle_75th', '3_cpu17_.idle_75th', '3_runq.sz_75th', '3_ldavg.1_75th', '3_orq.s_75th', '4_kbcommit_75th', '4_X..commit_75th', '4_file.nr_75th', '4_ldavg.1_75th', '5_tcpsck_75th']],
256,[['0_orq.s_mean', '1_i126_intr.s_mean', '1_i127_intr.s_mean', '1_pgfree.s_mean', '1_eth1_rxpck.s_mean', '1_eth1_txpck.s_mean', '1_eth1_rxkB.s_mean', '1_eth1_txkB.s_mean', '1_eth1_.ifutil_mean', '1_irec.s_mean', '1_idel.s_mean', '1_iseg.s_mean', '1_oseg.s_mean', '3_proc.s_mean', '3_eth1_rxkB.s_mean', '3_eth1_.ifutil_mean', '4_proc.s_mean', '4_pgpgin.s_mean', '4_rtps_mean', '4_bread.s_mean', '4_dev8.0_rd_sec.s_mean', '4_dev8.5_rd_sec.s_mean', '0_cpu4_.sys_std', '0_orq.s_std', '1_file.nr_std', '2_cpu2_.iowait_std', '2_cpu19_.soft_std', '5_dev8.0_.util_std', '5_dev252.0_.util_std', '5_tcp.tw_std', '0_fault.s_median', '0_eth1_rxkB.s_median', '1_i127_intr.s_median', '1_eth1_rxpck.s_median', '1_eth1_rxkB.s_median', '1_irec.s_median', '1_idel.s_median', '1_orq.s_median', '1_iseg.s_median', '3_proc.s_median', '4_proc.s_median', '1_i127_intr.s_25th', '1_pgfree.s_25th', '1_frmpg.s_25th', '1_eth1_rxpck.s_25th', '1_eth1_txpck.s_25th', '1_eth1_txkB.s_25th', '1_eth1_.ifutil_25th', '1_irec.s_25th', '1_idel.s_25th', '1_orq.s_25th', '1_iseg.s_25th', '1_oseg.s_25th', '2_frmpg.s_25th', '3_i127_intr.s_25th', '3_i131_intr.s_25th', '3_fault.s_25th', '3_frmpg.s_25th', '3_campg.s_25th', '3_eth1_rxpck.s_25th', '3_eth1_rxkB.s_25th', '3_eth1_.ifutil_25th', '4_cpu12_.sys_25th', '4_cpu14_.sys_25th', '4_cpu16_.sys_25th', '4_cpu18_.sys_25th', '4_cpu20_.sys_25th', '4_cpu22_.sys_25th', '4_frmpg.s_25th', '0_eth1_rxkB.s_75th', '0_orq.s_75th', '1_i127_intr.s_75th', '1_eth1_rxpck.s_75th', '1_eth1_rxkB.s_75th', '1_irec.s_75th', '1_idel.s_75th', '1_orq.s_75th', '1_iseg.s_75th', '4_cpu12_.soft_75th', '5_active.s_75th', '1_cpu20_.usr_range', '2_cpu3_.iowait_range', '2_cpu19_.soft_range', '2_X.dev.mapper.cloud..7.root_Ifree_range', '2_X.dev.mapper.cloud..7.root_Iused_range', '3_X.dev.mapper.cloud..8.root_Ifree_range', '3_X.dev.mapper.cloud..8.root_Iused_range', '4_cpu22_.soft_range', '4_kbbuffers_range', '4_X.dev.mapper.cloud..9.root_Ifree_range', '4_X.dev.mapper.cloud..9.root_Iused_range', '5_dev8.0_.util_range', '5_dev8.5_.util_range', '5_dev252.0_.util_range', '5_tcp.tw_range', '5_passive.s_range']],
128,[['0_sum_intr.s_mean', '0_i133_intr.s_mean', '0_pgfree.s_mean', '0_eth1_rxpck.s_mean', '0_eth1_rxkB.s_mean', '0_eth1_.ifutil_mean', '0_irec.s_mean', '0_idel.s_mean', '0_orq.s_mean', '0_iseg.s_mean', '0_oseg.s_mean', '2_proc.s_mean', '3_proc.s_mean', '3_eth1_rxkB.s_mean', '3_eth1_.ifutil_mean', '4_proc.s_mean', '4_pgpgin.s_mean', '4_rtps_mean', '4_bread.s_mean', '4_bufpg.s_mean', '4_dev8.0_rd_sec.s_mean', '4_dev8.0_svctm_mean', '4_dev8.5_rd_sec.s_mean', '4_dev8.5_svctm_mean', '4_dev252.0_rd_sec.s_mean', '4_dev252.0_svctm_mean', '5_active.s_mean', '5_passive.s_mean', '2_X.dev.mapper.cloud..7.root_Ifree_std', '2_X.dev.mapper.cloud..7.root_Iused_std', '3_X.dev.mapper.cloud..8.root_Ifree_std', '3_X.dev.mapper.cloud..8.root_Iused_std', '4_pgpgin.s_std', '4_rtps_std', '4_bread.s_std', '4_dev8.0_rd_sec.s_std', '4_dev8.5_rd_sec.s_std', '4_dev252.0_rd_sec.s_std', '4_X.dev.mapper.cloud..9.root_Ifree_std', '4_X.dev.mapper.cloud..9.root_Iused_std', '0_sum_intr.s_median', '0_i133_intr.s_median', '0_pgfree.s_median', '0_eth1_rxpck.s_median', '0_eth1_txpck.s_median', '0_eth1_rxkB.s_median', '0_eth1_txkB.s_median', '0_eth1_.ifutil_median', '0_irec.s_median', '0_idel.s_median', '0_orq.s_median', '0_iseg.s_median', '0_oseg.s_median', '2_proc.s_median', '3_proc.s_median', '3_eth1_rxkB.s_median', '3_eth1_.ifutil_median', '4_proc.s_median', '4_frmpg.s_median', '5_passive.s_median', '0_i133_intr.s_25th', '0_eth1_rxpck.s_25th', '0_eth1_txpck.s_25th', '0_eth1_txkB.s_25th', '0_eth1_.ifutil_25th', '0_irec.s_25th', '0_idel.s_25th', '0_orq.s_25th', '0_iseg.s_25th', '2_frmpg.s_25th', '3_frmpg.s_25th', '3_eth1_rxkB.s_25th', '3_eth1_.ifutil_25th', '4_frmpg.s_25th', '5_passive.s_25th', '0_sum_intr.s_75th', '0_i133_intr.s_75th', '0_eth1_rxpck.s_75th', '0_eth1_rxkB.s_75th', '0_irec.s_75th', '0_idel.s_75th', '0_orq.s_75th', '0_iseg.s_75th', '3_eth1_rxkB.s_75th', '3_eth1_.ifutil_75th', '4_dev8.0_await_75th', '4_dev8.0_svctm_75th', '4_dev8.5_svctm_75th', '5_active.s_75th', '2_X.dev.mapper.cloud..7.root_Ifree_range', '2_X.dev.mapper.cloud..7.root_Iused_range', '3_X.dev.mapper.cloud..8.root_Ifree_range', '3_X.dev.mapper.cloud..8.root_Iused_range', '4_kbbuffers_range', '4_X.dev.mapper.cloud..9.root_Ifree_range', '4_X.dev.mapper.cloud..9.root_Iused_range']],
64,[['2_proc.s_mean', '2_sum_intr.s_mean', '2_kbcommit_mean', '2_X..commit_mean', '2_file.nr_mean', '2_runq.sz_mean', '2_plist.sz_mean', '2_totsck_mean', '2_tcpsck_mean', '3_proc.s_mean', '3_kbcommit_mean', '3_X..commit_mean', '3_file.nr_mean', '3_runq.sz_mean', '3_plist.sz_mean', '3_totsck_mean', '3_tcpsck_mean', '4_proc.s_mean', '4_kbcommit_mean', '4_X..commit_mean', '4_file.nr_mean', '4_runq.sz_mean', '4_plist.sz_mean', '4_totsck_mean', '4_tcpsck_mean', '5_inode.nr_mean', '5_totsck_mean', '5_tcpsck_mean', '5_active.s_mean', '5_passive.s_mean', '2_sum_intr.s_median', '2_kbcommit_median', '2_X..commit_median', '2_file.nr_median', '2_runq.sz_median', '2_plist.sz_median', '2_totsck_median', '2_tcpsck_median', '3_kbcommit_median', '3_X..commit_median', '3_file.nr_median', '3_runq.sz_median', '3_plist.sz_median', '3_totsck_median', '3_tcpsck_median', '4_kbcommit_median', '4_X..commit_median', '4_file.nr_median', '4_plist.sz_median', '4_tcpsck_median', '5_inode.nr_median', '5_totsck_median', '5_tcpsck_median', '5_passive.s_median', '2_sum_intr.s_25th', '2_kbcommit_25th', '2_X..commit_25th', '2_file.nr_25th', '2_plist.sz_25th', '2_totsck_25th', '2_tcpsck_25th', '3_fault.s_25th', '3_kbcommit_25th', '3_X..commit_25th', '3_file.nr_25th', '3_runq.sz_25th', '3_plist.sz_25th', '3_totsck_25th', '3_tcpsck_25th', '3_idel.s_25th', '4_kbcommit_25th', '4_X..commit_25th', '4_file.nr_25th', '4_plist.sz_25th', '4_totsck_25th', '4_tcpsck_25th', '5_inode.nr_25th', '5_totsck_25th', '5_tcpsck_25th', '5_passive.s_25th', '2_kbcommit_75th', '2_X..commit_75th', '2_file.nr_75th', '2_plist.sz_75th', '2_totsck_75th', '2_tcpsck_75th', '3_kbcommit_75th', '3_X..commit_75th', '3_plist.sz_75th', '3_totsck_75th', '3_tcpsck_75th', '4_tcpsck_75th', '5_inode.nr_75th', '5_totsck_75th', '5_tcpsck_75th', '5_passive.s_75th']],
32,[['2_sum_intr.s_mean', '2_kbcommit_mean', '2_X..commit_mean', '2_file.nr_mean', '2_runq.sz_mean', '2_plist.sz_mean', '2_totsck_mean', '2_tcpsck_mean', '3_kbcommit_mean', '3_X..commit_mean', '3_file.nr_mean', '3_runq.sz_mean', '3_plist.sz_mean', '3_totsck_mean', '3_tcpsck_mean', '4_sum_intr.s_mean', '4_kbcommit_mean', '4_X..commit_mean', '4_file.nr_mean', '4_plist.sz_mean', '4_totsck_mean', '4_tcpsck_mean', '5_inode.nr_mean', '5_totsck_mean', '5_tcpsck_mean', '2_sum_intr.s_median', '2_kbcommit_median', '2_X..commit_median', '2_file.nr_median', '2_runq.sz_median', '2_plist.sz_median', '2_totsck_median', '2_tcpsck_median', '3_kbcommit_median', '3_X..commit_median', '3_file.nr_median', '3_runq.sz_median', '3_plist.sz_median', '3_totsck_median', '3_tcpsck_median', '4_sum_intr.s_median', '4_kbcommit_median', '4_X..commit_median', '4_file.nr_median', '4_plist.sz_median', '4_tcpsck_median', '5_inode.nr_median', '5_totsck_median', '5_tcpsck_median', '2_sum_intr.s_25th', '2_kbcommit_25th', '2_X..commit_25th', '2_file.nr_25th', '2_runq.sz_25th', '2_plist.sz_25th', '2_totsck_25th', '2_tcpsck_25th', '3_kbcommit_25th', '3_X..commit_25th', '3_file.nr_25th', '3_runq.sz_25th', '3_plist.sz_25th', '3_totsck_25th', '3_tcpsck_25th', '3_orq.s_25th', '4_kbcommit_25th', '4_X..commit_25th', '4_file.nr_25th', '4_plist.sz_25th', '4_totsck_25th', '4_tcpsck_25th', '5_inode.nr_25th', '5_totsck_25th', '5_tcpsck_25th', '2_kbcommit_75th', '2_X..commit_75th', '2_file.nr_75th', '2_runq.sz_75th', '2_plist.sz_75th', '2_totsck_75th', '2_tcpsck_75th', '3_kbcommit_75th', '3_X..commit_75th', '3_file.nr_75th', '3_runq.sz_75th', '3_plist.sz_75th', '3_totsck_75th', '3_tcpsck_75th', '4_kbcommit_75th', '4_X..commit_75th', '4_file.nr_75th', '4_plist.sz_75th', '4_tcpsck_75th', '5_inode.nr_75th', '5_totsck_75th', '5_tcpsck_75th']],
16,[['2_kbcommit_mean', '2_X..commit_mean', '2_file.nr_mean', '2_runq.sz_mean', '2_plist.sz_mean', '2_totsck_mean', '2_tcpsck_mean', '3_kbcommit_mean', '3_X..commit_mean', '3_file.nr_mean', '3_runq.sz_mean', '3_plist.sz_mean', '3_totsck_mean', '3_tcpsck_mean', '4_sum_intr.s_mean', '4_kbcommit_mean', '4_X..commit_mean', '4_file.nr_mean', '4_runq.sz_mean', '4_plist.sz_mean', '4_totsck_mean', '4_tcpsck_mean', '5_inode.nr_mean', '5_totsck_mean', '5_tcpsck_mean', '2_kbcommit_median', '2_X..commit_median', '2_file.nr_median', '2_runq.sz_median', '2_plist.sz_median', '2_totsck_median', '2_tcpsck_median', '3_kbcommit_median', '3_X..commit_median', '3_file.nr_median', '3_runq.sz_median', '3_plist.sz_median', '3_totsck_median', '3_tcpsck_median', '4_sum_intr.s_median', '4_kbcommit_median', '4_X..commit_median', '4_file.nr_median', '4_runq.sz_median', '4_plist.sz_median', '4_totsck_median', '4_tcpsck_median', '5_inode.nr_median', '5_totsck_median', '5_tcpsck_median', '2_kbcommit_25th', '2_X..commit_25th', '2_file.nr_25th', '2_plist.sz_25th', '2_totsck_25th', '2_tcpsck_25th', '3_kbcommit_25th', '3_X..commit_25th', '3_file.nr_25th', '3_runq.sz_25th', '3_plist.sz_25th', '3_totsck_25th', '3_tcpsck_25th', '4_kbcommit_25th', '4_X..commit_25th', '4_file.nr_25th', '4_runq.sz_25th', '4_plist.sz_25th', '4_totsck_25th', '4_tcpsck_25th', '5_inode.nr_25th', '5_totsck_25th', '5_tcpsck_25th', '2_kbcommit_75th', '2_X..commit_75th', '2_file.nr_75th', '2_runq.sz_75th', '2_plist.sz_75th', '2_totsck_75th', '2_tcpsck_75th', '3_kbcommit_75th', '3_X..commit_75th', '3_file.nr_75th', '3_runq.sz_75th', '3_plist.sz_75th', '3_totsck_75th', '3_tcpsck_75th', '4_kbcommit_75th', '4_X..commit_75th', '4_file.nr_75th', '4_plist.sz_75th', '4_totsck_75th', '4_tcpsck_75th', '5_inode.nr_75th', '5_totsck_75th', '5_tcpsck_75th']],
8,[['2_kbcommit_mean', '2_X..commit_mean', '2_file.nr_mean', '2_runq.sz_mean', '2_plist.sz_mean', '2_totsck_mean', '2_tcpsck_mean', '3_kbcommit_mean', '3_X..commit_mean', '3_file.nr_mean', '3_runq.sz_mean', '3_plist.sz_mean', '3_totsck_mean', '3_tcpsck_mean', '4_kbcommit_mean', '4_X..commit_mean', '4_file.nr_mean', '4_runq.sz_mean', '4_plist.sz_mean', '4_totsck_mean', '4_tcpsck_mean', '5_inode.nr_mean', '5_lo_rxkB.s_mean', '5_lo_txkB.s_mean', '5_totsck_mean', '5_tcpsck_mean', '2_kbcommit_median', '2_X..commit_median', '2_file.nr_median', '2_runq.sz_median', '2_plist.sz_median', '2_totsck_median', '2_tcpsck_median', '3_kbcommit_median', '3_X..commit_median', '3_file.nr_median', '3_runq.sz_median', '3_plist.sz_median', '3_totsck_median', '3_tcpsck_median', '4_kbcommit_median', '4_X..commit_median', '4_file.nr_median', '4_runq.sz_median', '4_plist.sz_median', '4_totsck_median', '4_tcpsck_median', '5_inode.nr_median', '5_totsck_median', '5_tcpsck_median', '2_kbcommit_25th', '2_X..commit_25th', '2_file.nr_25th', '2_plist.sz_25th', '2_totsck_25th', '2_tcpsck_25th', '3_kbcommit_25th', '3_X..commit_25th', '3_file.nr_25th', '3_runq.sz_25th', '3_plist.sz_25th', '3_totsck_25th', '3_tcpsck_25th', '4_kbcommit_25th', '4_X..commit_25th', '4_file.nr_25th', '4_plist.sz_25th', '4_totsck_25th', '4_tcpsck_25th', '5_inode.nr_25th', '5_totsck_25th', '5_tcpsck_25th', '2_kbcommit_75th', '2_X..commit_75th', '2_file.nr_75th', '2_runq.sz_75th', '2_plist.sz_75th', '2_totsck_75th', '2_tcpsck_75th', '3_kbcommit_75th', '3_X..commit_75th', '3_file.nr_75th', '3_runq.sz_75th', '3_plist.sz_75th', '3_totsck_75th', '3_tcpsck_75th', '4_kbcommit_75th', '4_X..commit_75th', '4_file.nr_75th', '4_runq.sz_75th', '4_plist.sz_75th', '4_totsck_75th', '4_tcpsck_75th', '5_inode.nr_75th', '5_totsck_75th', '5_tcpsck_75th']],
256,[['2_pgfree.s_mean', '2_runq.sz_mean', '2_ldavg.1_mean', '3_cpu13_.sys_mean', '3_i127_intr.s_mean', '3_i128_intr.s_mean', '3_i131_intr.s_mean', '3_i133_intr.s_mean', '3_runq.sz_mean', '3_ldavg.1_mean', '3_irec.s_mean', '3_idel.s_mean', '3_orq.s_mean', '3_iseg.s_mean', '4_fault.s_mean', '4_pgfree.s_mean', '4_kbmemfree_mean', '4_kbmemused_mean', '4_X..memused_mean', '4_dev8.5_avgrq.sz_mean', '5_cpu0_.sys_mean', '5_cpu10_.usr_mean', '5_cswch.s_mean', '3_all_..sys_std', '3_i133_intr.s_std', '3_blocked_std', '4_cpu18_.sys_std', '5_cpu10_.usr_std', '5_eth1_rxkB.s_std', '2_cpu12_.sys_median', '2_cpu18_.sys_median', '2_cpu22_.sys_median', '2_pgfree.s_median', '2_runq.sz_median', '2_ldavg.1_median', '3_cpu13_.sys_median', '3_cpu13_.soft_median', '3_i126_intr.s_median', '3_i127_intr.s_median', '3_i128_intr.s_median', '3_i130_intr.s_median', '3_i133_intr.s_median', '3_pgfree.s_median', '3_irec.s_median', '3_idel.s_median', '3_iseg.s_median', '3_estres.s_median', '4_fault.s_median', '4_pgfree.s_median', '4_kbmemfree_median', '4_kbmemused_median', '4_X..memused_median', '4_kbactive_median', '2_cpu12_.sys_25th', '2_cpu14_.sys_25th', '2_cpu16_.sys_25th', '2_cpu18_.sys_25th', '2_cpu20_.sys_25th', '2_cpu22_.sys_25th', '2_pgfree.s_25th', '2_ldavg.1_25th', '3_i127_intr.s_25th', '3_i128_intr.s_25th', '3_i130_intr.s_25th', '3_i131_intr.s_25th', '3_runq.sz_25th', '3_ldavg.1_25th', '3_eth1_rxpck.s_25th', '3_irec.s_25th', '3_idel.s_25th', '3_orq.s_25th', '3_iseg.s_25th', '4_fault.s_25th', '4_pgfree.s_25th', '4_kbmemfree_25th', '5_cswch.s_25th', '2_pgfree.s_75th', '2_runq.sz_75th', '2_ldavg.1_75th', '3_all_..soft_75th', '3_cpu13_.sys_75th', '3_cpu13_.soft_75th', '3_i126_intr.s_75th', '3_i128_intr.s_75th', '3_i133_intr.s_75th', '4_fault.s_75th', '4_pgfree.s_75th', '4_kbmemused_75th', '4_X..memused_75th', '5_estres.s_75th', '3_all_..sys_range', '3_sum_intr.s_range', '3_i133_intr.s_range', '3_blocked_range', '5_tcp.tw_range', '5_estres.s_range']],
128,[['3_cpu13_.soft_mean', '3_proc.s_mean', '3_i128_intr.s_mean', '3_kbcommit_mean', '3_X..commit_mean', '3_kbdirty_mean', '3_runq.sz_mean', '3_plist.sz_mean', '3_eth1_rxpck.s_mean', '3_tcpsck_mean', '3_irec.s_mean', '3_idel.s_mean', '3_orq.s_mean', '3_iseg.s_mean', '4_pgfree.s_mean', '4_kbcommit_mean', '4_X..commit_mean', '4_runq.sz_mean', '4_plist.sz_mean', '3_X.dev.mapper.cloud..8.root_MBfsfree_std', '3_X.dev.mapper.cloud..8.root_MBfsused_std', '2_proc.s_median', '3_all_..soft_median', '3_cpu13_.soft_median', '3_proc.s_median', '3_i128_intr.s_median', '3_i133_intr.s_median', '3_fault.s_median', '3_pgfree.s_median', '3_kbcommit_median', '3_X..commit_median', '3_kbdirty_median', '3_file.nr_median', '3_runq.sz_median', '3_plist.sz_median', '3_tcpsck_median', '3_irec.s_median', '3_idel.s_median', '3_orq.s_median', '3_iseg.s_median', '4_proc.s_median', '4_pgfree.s_median', '4_runq.sz_median', '4_plist.sz_median', '0_sum_intr.s_25th', '3_i127_intr.s_25th', '3_i128_intr.s_25th', '3_i131_intr.s_25th', '3_fault.s_25th', '3_kbdirty_25th', '3_file.nr_25th', '3_runq.sz_25th', '3_irec.s_25th', '3_idel.s_25th', '3_orq.s_25th', '3_iseg.s_25th', '3_oseg.s_25th', '4_sum_intr.s_25th', '4_pgfree.s_25th', '4_plist.sz_25th', '4_tcpsck_25th', '5_inode.nr_25th', '5_tcpsck_25th', '3_all_..soft_75th', '3_i128_intr.s_75th', '3_i132_intr.s_75th', '3_kbdirty_75th', '3_runq.sz_75th', '3_plist.sz_75th', '3_orq.s_75th', '4_pgfree.s_75th', '4_kbcommit_75th', '4_X..commit_75th', '4_runq.sz_75th', '4_plist.sz_75th', '3_all_..usr_range', '3_all_..idle_range', '3_cpu0_.idle_range', '3_cpu1_.idle_range', '3_cpu3_.idle_range', '3_cpu4_.usr_range', '3_cpu5_.idle_range', '3_cpu8_.idle_range', '3_cpu11_.idle_range', '3_cpu12_.idle_range', '3_cpu13_.idle_range', '3_cpu14_.idle_range', '3_cpu15_.idle_range', '3_cpu18_.usr_range', '3_cpu18_.idle_range', '3_cpu19_.usr_range', '3_cpu19_.idle_range', '3_cpu20_.idle_range', '3_cpu22_.idle_range', '3_X.dev.mapper.cloud..8.root_MBfsfree_range', '3_X.dev.mapper.cloud..8.root_MBfsused_range']],
64,[['3_all_..soft_mean', '3_cpu13_.soft_mean', '3_i128_intr.s_mean', '3_kbcommit_mean', '3_X..commit_mean', '3_kbdirty_mean', '3_file.nr_mean', '3_runq.sz_mean', '3_plist.sz_mean', '3_totsck_mean', '3_tcpsck_mean', '3_irec.s_mean', '3_idel.s_mean', '3_orq.s_mean', '3_iseg.s_mean', '4_pgfree.s_mean', '4_kbcommit_mean', '4_X..commit_mean', '4_file.nr_mean', '4_runq.sz_mean', '4_plist.sz_mean', '5_totsck_mean', '5_tcpsck_mean', '2_file.nr_median', '2_tcpsck_median', '3_all_..soft_median', '3_cpu13_.soft_median', '3_i128_intr.s_median', '3_kbcommit_median', '3_X..commit_median', '3_kbdirty_median', '3_file.nr_median', '3_runq.sz_median', '3_plist.sz_median', '3_totsck_median', '3_tcpsck_median', '3_irec.s_median', '3_idel.s_median', '3_orq.s_median', '3_iseg.s_median', '4_proc.s_median', '4_pgfree.s_median', '4_kbcommit_median', '4_X..commit_median', '4_file.nr_median', '4_runq.sz_median', '4_plist.sz_median', '4_tcpsck_median', '5_inode.nr_median', '5_totsck_median', '5_tcpsck_median', '2_plist.sz_25th', '3_cpu13_.soft_25th', '3_i128_intr.s_25th', '3_i131_intr.s_25th', '3_fault.s_25th', '3_kbcommit_25th', '3_X..commit_25th', '3_kbdirty_25th', '3_file.nr_25th', '3_runq.sz_25th', '3_plist.sz_25th', '3_totsck_25th', '3_tcpsck_25th', '3_irec.s_25th', '3_idel.s_25th', '3_orq.s_25th', '3_iseg.s_25th', '4_sum_intr.s_25th', '5_inode.nr_25th', '5_totsck_25th', '5_tcpsck_25th', '3_all_..soft_75th', '3_cpu13_.soft_75th', '3_sum_intr.s_75th', '3_i128_intr.s_75th', '3_kbcommit_75th', '3_X..commit_75th', '3_kbdirty_75th', '3_file.nr_75th', '3_runq.sz_75th', '3_plist.sz_75th', '3_totsck_75th', '3_tcpsck_75th', '3_irec.s_75th', '3_idel.s_75th', '3_orq.s_75th', '3_iseg.s_75th', '4_pgfree.s_75th', '4_kbcommit_75th', '4_X..commit_75th', '4_file.nr_75th', '4_runq.sz_75th', '4_plist.sz_75th', '5_totsck_75th', '5_tcpsck_75th']],
32,[['2_kbcommit_mean', '2_X..commit_mean', '2_file.nr_mean', '2_plist.sz_mean', '2_totsck_mean', '2_tcpsck_mean', '3_all_..soft_mean', '3_cpu13_.soft_mean', '3_sum_intr.s_mean', '3_kbcommit_mean', '3_X..commit_mean', '3_kbdirty_mean', '3_file.nr_mean', '3_runq.sz_mean', '3_plist.sz_mean', '3_ldavg.1_mean', '3_totsck_mean', '3_tcpsck_mean', '3_irec.s_mean', '3_idel.s_mean', '3_orq.s_mean', '3_iseg.s_mean', '4_file.nr_mean', '4_runq.sz_mean', '4_tcpsck_mean', '5_inode.nr_mean', '5_totsck_mean', '5_tcpsck_mean', '2_kbcommit_median', '2_X..commit_median', '2_file.nr_median', '2_plist.sz_median', '2_totsck_median', '2_tcpsck_median', '3_sum_intr.s_median', '3_kbcommit_median', '3_X..commit_median', '3_kbdirty_median', '3_file.nr_median', '3_runq.sz_median', '3_plist.sz_median', '3_ldavg.1_median', '3_totsck_median', '3_tcpsck_median', '3_irec.s_median', '3_idel.s_median', '3_orq.s_median', '3_iseg.s_median', '4_file.nr_median', '4_runq.sz_median', '4_tcpsck_median', '5_inode.nr_median', '5_totsck_median', '5_tcpsck_median', '2_kbcommit_25th', '2_X..commit_25th', '2_file.nr_25th', '2_plist.sz_25th', '2_totsck_25th', '2_tcpsck_25th', '3_kbcommit_25th', '3_X..commit_25th', '3_kbdirty_25th', '3_file.nr_25th', '3_runq.sz_25th', '3_plist.sz_25th', '3_ldavg.1_25th', '3_totsck_25th', '3_tcpsck_25th', '3_irec.s_25th', '3_idel.s_25th', '3_orq.s_25th', '3_iseg.s_25th', '4_file.nr_25th', '4_tcpsck_25th', '5_inode.nr_25th', '5_totsck_25th', '5_tcpsck_25th', '2_kbcommit_75th', '2_X..commit_75th', '2_file.nr_75th', '2_runq.sz_75th', '2_plist.sz_75th', '2_totsck_75th', '2_tcpsck_75th', '3_sum_intr.s_75th', '3_kbdirty_75th', '3_runq.sz_75th', '3_ldavg.1_75th', '3_tcpsck_75th', '3_orq.s_75th', '4_pgfree.s_75th', '4_runq.sz_75th', '5_inode.nr_75th', '5_totsck_75th', '5_tcpsck_75th']],
