,trace_family,y_metric,regression_method,load_pattern,exp_type,random_state,nmae,training_time,nmae_original,training_time_original,delta_to_original_nmae
0,KV,ReadsAvg,random_forest,FlashcrowdLoad,BothApps,8.5,0.030764184259061925,55.11295832528008,0.02,15,0.010764184259061924
1,KV,ReadsAvg,random_forest,FlashcrowdLoad,BothApps,8.5,0.030764184259061925,55.11295832528008,0.02,2400,0.010764184259061924
2,KV,ReadsAvg,random_forest,FlashcrowdLoad,BothApps,8.5,0.030764184259061925,55.11295832528008,0.04,10,-0.009235815740938076
3,KV,ReadsAvg,random_forest,FlashcrowdLoad,BothApps,8.5,0.030764184259061925,55.11295832528008,0.03,7600,0.0007641842590619258
4,KV,ReadsAvg,random_forest,PeriodicLoad,BothApps,8.5,0.0441060542827513,71.94556028313107,0.03,17,0.014106054282751301
5,KV,ReadsAvg,random_forest,PeriodicLoad,BothApps,8.5,0.0441060542827513,71.94556028313107,0.02,4600,0.0241060542827513
6,KV,ReadsAvg,random_forest,PeriodicLoad,BothApps,8.5,0.0441060542827513,71.94556028313107,0.05,13,-0.0058939457172487025
7,KV,ReadsAvg,random_forest,PeriodicLoad,BothApps,8.5,0.0441060542827513,71.94556028313107,0.04,3900,0.004106054282751299
8,VoD,DispFrames,reg_tree,FlashcrowdLoad,SingleApp,8.5,0.10689097258987033,7.410282717810737,0.11,85,-0.0031090274101296667
9,VoD,DispFrames,reg_tree,FlashcrowdLoad,SingleApp,8.5,0.10689097258987033,7.410282717810737,0.1,3800,0.006890972589870328
10,VoD,DispFrames,reg_tree,FlashcrowdLoad,SingleApp,8.5,0.10689097258987033,7.410282717810737,0.11,15,-0.0031090274101296667
11,VoD,DispFrames,reg_tree,FlashcrowdLoad,SingleApp,8.5,0.10689097258987033,7.410282717810737,0.1,3100,0.006890972589870328
12,VoD,DispFrames,reg_tree,PeriodicLoad,SingleApp,8.5,0.11169930278883451,6.674754460652669,0.11,16,0.0016993027888345114
13,VoD,DispFrames,reg_tree,PeriodicLoad,SingleApp,8.5,0.11169930278883451,6.674754460652669,0.11,4200,0.0016993027888345114
14,VoD,DispFrames,reg_tree,PeriodicLoad,SingleApp,8.5,0.11169930278883451,6.674754460652669,0.15,14,-0.03830069721116548
15,VoD,DispFrames,reg_tree,PeriodicLoad,SingleApp,8.5,0.11169930278883451,6.674754460652669,0.14,3400,-0.0283006972111655
