,random_state,load_pattern,exp_type,regression_method,trace_family,y_metric,nmae,training_time
0,0,FlashcrowdLoad,BothApps,reg_tree,VoD,DispFrames,0.10417130807371677,13.182959079742432
1,0,FlashcrowdLoad,BothApps,random_forest,VoD,DispFrames,0.10242376434950358,187.05847096443176
2,1,FlashcrowdLoad,BothApps,reg_tree,VoD,DispFrames,0.10422763635985592,12.293528318405151
3,1,FlashcrowdLoad,BothApps,random_forest,VoD,DispFrames,0.10291952780218008,172.22182631492615
4,2,FlashcrowdLoad,BothApps,reg_tree,VoD,DispFrames,0.10883274213288527,13.858556747436523
5,2,FlashcrowdLoad,BothApps,random_forest,VoD,DispFrames,0.10335216704351372,179.48182368278503
6,3,FlashcrowdLoad,BothApps,reg_tree,VoD,DispFrames,0.10463296858161321,6.802933216094971
7,3,FlashcrowdLoad,BothApps,random_forest,VoD,DispFrames,0.10119386243057282,176.12563133239746
8,4,FlashcrowdLoad,BothApps,reg_tree,VoD,DispFrames,0.10762944895834953,10.901060342788696
9,4,FlashcrowdLoad,BothApps,random_forest,VoD,DispFrames,0.10185540486189867,179.22626185417175
10,5,FlashcrowdLoad,BothApps,reg_tree,VoD,DispFrames,0.10390978375364025,13.212663173675537
11,5,FlashcrowdLoad,BothApps,random_forest,VoD,DispFrames,0.10002271929281038,180.78820157051086
12,6,FlashcrowdLoad,BothApps,reg_tree,VoD,DispFrames,0.10542299798917888,12.241090297698975
13,6,FlashcrowdLoad,BothApps,random_forest,VoD,DispFrames,0.10122368139195809,174.65982031822205
14,7,FlashcrowdLoad,BothApps,reg_tree,VoD,DispFrames,0.10738352518843994,13.951310634613037
15,7,FlashcrowdLoad,BothApps,random_forest,VoD,DispFrames,0.1016226411505427,174.41722798347473
16,8,FlashcrowdLoad,BothApps,reg_tree,VoD,DispFrames,0.106081105599013,10.244214057922363
17,8,FlashcrowdLoad,BothApps,random_forest,VoD,DispFrames,0.10235793387901376,175.9948935508728
18,9,FlashcrowdLoad,BothApps,reg_tree,VoD,DispFrames,0.1054856245220231,11.581151008605957
19,9,FlashcrowdLoad,BothApps,random_forest,VoD,DispFrames,0.10126095471362727,182.6256537437439
20,10,FlashcrowdLoad,BothApps,reg_tree,VoD,DispFrames,0.10614074545144328,14.058907747268677
21,10,FlashcrowdLoad,BothApps,random_forest,VoD,DispFrames,0.09965135056416409,178.74542021751404
22,11,FlashcrowdLoad,BothApps,reg_tree,VoD,DispFrames,0.10781909255294826,14.147944688796997
23,11,FlashcrowdLoad,BothApps,random_forest,VoD,DispFrames,0.10217006491661991,180.27437567710876
24,12,FlashcrowdLoad,BothApps,reg_tree,VoD,DispFrames,0.10663934977520476,10.445117950439453
25,12,FlashcrowdLoad,BothApps,random_forest,VoD,DispFrames,0.10065821809019747,173.53481245040894
26,13,FlashcrowdLoad,BothApps,reg_tree,VoD,DispFrames,0.10508332644115458,7.6354920864105225
27,13,FlashcrowdLoad,BothApps,random_forest,VoD,DispFrames,0.09969476263336367,178.88154578208923
28,14,FlashcrowdLoad,BothApps,reg_tree,VoD,DispFrames,0.10617129375730798,14.20836877822876
29,14,FlashcrowdLoad,BothApps,random_forest,VoD,DispFrames,0.10098832276156083,174.34402346611023
30,15,FlashcrowdLoad,BothApps,reg_tree,VoD,DispFrames,0.1054168454020642,12.226139068603516
31,15,FlashcrowdLoad,BothApps,random_forest,VoD,DispFrames,0.1014003810724813,182.63373136520386
32,16,FlashcrowdLoad,BothApps,reg_tree,VoD,DispFrames,0.10333642021615078,15.052408933639526
33,16,FlashcrowdLoad,BothApps,random_forest,VoD,DispFrames,0.10135982361655052,177.0700604915619
34,17,FlashcrowdLoad,BothApps,reg_tree,VoD,DispFrames,0.10571958779987145,14.160622835159302
35,17,FlashcrowdLoad,BothApps,random_forest,VoD,DispFrames,0.101567564812319,168.64262795448303
36,0,FlashcrowdLoad,BothApps,reg_tree,VoD,noAudioPlayed,0.28599379607517394,12.588543176651001
37,0,FlashcrowdLoad,BothApps,random_forest,VoD,noAudioPlayed,0.2381147142041325,245.6997194290161
38,1,FlashcrowdLoad,BothApps,reg_tree,VoD,noAudioPlayed,0.3000071106284502,17.561920404434204
39,1,FlashcrowdLoad,BothApps,random_forest,VoD,noAudioPlayed,0.2442757555581412,245.3529622554779
40,2,FlashcrowdLoad,BothApps,reg_tree,VoD,noAudioPlayed,0.28583350719799705,19.047204971313477
41,2,FlashcrowdLoad,BothApps,random_forest,VoD,noAudioPlayed,0.24047034194832742,275.36644649505615
42,3,FlashcrowdLoad,BothApps,reg_tree,VoD,noAudioPlayed,0.2861043747869213,14.903437852859497
43,3,FlashcrowdLoad,BothApps,random_forest,VoD,noAudioPlayed,0.23908865574417262,254.1754231452942
44,4,FlashcrowdLoad,BothApps,reg_tree,VoD,noAudioPlayed,0.28728215487349057,19.56513261795044
45,4,FlashcrowdLoad,BothApps,random_forest,VoD,noAudioPlayed,0.2378132177068121,250.8668065071106
46,5,FlashcrowdLoad,BothApps,reg_tree,VoD,noAudioPlayed,0.2827788398619433,18.628093719482422
47,5,FlashcrowdLoad,BothApps,random_forest,VoD,noAudioPlayed,0.2341681742559352,252.742577791214
48,6,FlashcrowdLoad,BothApps,reg_tree,VoD,noAudioPlayed,0.2940243378108999,8.85312271118164
49,6,FlashcrowdLoad,BothApps,random_forest,VoD,noAudioPlayed,0.23790302442032665,253.8636507987976
50,7,FlashcrowdLoad,BothApps,reg_tree,VoD,noAudioPlayed,0.29614892709961627,19.064522981643677
51,7,FlashcrowdLoad,BothApps,random_forest,VoD,noAudioPlayed,0.24095005404334663,247.23584532737732
