k,regression_tree_WritesAvg_minimal_univariate_nmae,regression_tree_WritesAvg_minimal_univariate_training_time,random_forest_WritesAvg_minimal_univariate_nmae,random_forest_WritesAvg_minimal_univariate_training_time,
1,0.021375688607945316,0.01201319694519043, 0.02133754421796642,0.01201319694519043,
2,0.02715621747256901,0.03824472427368164, 0.024064612944278575,0.03824472427368164,
3,0.030710287055496763,0.0791618824005127, 0.02295975788653183,0.0791618824005127,
4,0.02946566192869529,0.09125542640686035, 0.02125308810473748,0.09125542640686035,
5,0.030039530711533244,0.11337876319885254, 0.021267665904391296,0.11337876319885254,
6,0.029777842313528004,0.13844609260559082, 0.021270410633182364,0.13844609260559082,
7,0.02983812803177293,0.1742994785308838, 0.021050335217639313,0.1742994785308838,
8,0.029538559961028762,0.19244384765625, 0.02096059357592926,0.19244384765625,
9,0.02979204984691892,0.21689152717590332, 0.020980192075530993,0.21689152717590332,
10,0.02972297010420971,0.22675561904907227, 0.020888780738638313,0.22675561904907227,
11,0.029195286914039765,0.26165103912353516, 0.020733473262248097,0.26165103912353516,
12,0.0292406885459918,0.2876932621002197, 0.02072892451030531,0.2876932621002197,
13,0.028490622634081645,0.3191835880279541, 0.020612555964842124,0.3191835880279541,
14,0.028635945328859352,0.33999133110046387, 0.020696018049421398,0.33999133110046387,
15,0.029143704330758757,0.3612837791442871, 0.02049163003345062,0.3612837791442871,
16,0.028973918711449463,0.4031543731689453, 0.02069476055983712,0.4031543731689453,
