k,regression_tree_WritesAvg_minimal_univariate_nmae,regression_tree_WritesAvg_minimal_univariate_training_time,random_forest_WritesAvg_minimal_univariate_nmae,random_forest_WritesAvg_minimal_univariate_training_time,
1,0.04686327258124925,0.012308120727539062, 0.0467418791901781,0.012308120727539062,
2,0.06019831015731158,0.040392398834228516, 0.05331933199704958,0.040392398834228516,
3,0.06560304542717893,0.07839584350585938, 0.05127278673600671,0.07839584350585938,
4,0.06172121865268402,0.11192607879638672, 0.04778209164425688,0.11192607879638672,
5,0.06166916790291522,0.15557503700256348, 0.044545226057287196,0.15557503700256348,
6,0.06268518559699292,0.23062872886657715, 0.04435949884504592,0.23062872886657715,
7,0.06230706010981693,0.2745497226715088, 0.044369627998243004,0.2745497226715088,
8,0.056731257298430086,0.2927665710449219, 0.04193474340750098,0.2927665710449219,
9,0.056436331041199515,0.33526015281677246, 0.041846436732074166,0.33526015281677246,
10,0.056976847272093734,0.3670017719268799, 0.041773780425894656,0.3670017719268799,
11,0.05601103623262336,0.41034984588623047, 0.04152004152865329,0.41034984588623047,
12,0.05604160613601751,0.4310948848724365, 0.041337397921840255,0.4310948848724365,
13,0.056164307292062184,0.4712069034576416, 0.041051955443898565,0.4712069034576416,
14,0.056395222019244455,0.5203464031219482, 0.04103386657119824,0.5203464031219482,
15,0.056511211239125225,0.5653324127197266, 0.041128912465180856,0.5653324127197266,
16,0.05683686376583322,0.7008562088012695, 0.041044511449399954,0.7008562088012695,
