k,regression_tree_DispFrames_minimal_univariate_nmae,regression_tree_DispFrames_minimal_univariate_training_time,random_forest_DispFrames_minimal_univariate_nmae,random_forest_DispFrames_minimal_univariate_training_time,
1,0.10655744901807121,0.011615753173828125, 0.10648584453083929,0.011615753173828125,
2,0.1068353076490336,0.03431200981140137, 0.10651708130446964,0.03431200981140137,
3,0.10791146350889869,0.048198699951171875, 0.10434234317276829,0.048198699951171875,
4,0.10741453503258364,0.11228203773498535, 0.10040313144411499,0.11228203773498535,
5,0.10842632131028386,0.13964080810546875, 0.10032697215729354,0.13964080810546875,
6,0.107976179660205,0.16650772094726562, 0.09913172218413684,0.16650772094726562,
7,0.107972049920296,0.1777496337890625, 0.098532531337843,0.1777496337890625,
8,0.10259512855880336,0.2328047752380371, 0.0969296416211707,0.2328047752380371,
9,0.10133142814665531,0.26073384284973145, 0.09697131757975216,0.26073384284973145,
10,0.0985975403269102,0.32277536392211914, 0.09623236945203857,0.32277536392211914,
11,0.10314438396669777,0.31607842445373535, 0.09820091322315187,0.31607842445373535,
12,0.10050135042495022,0.3434479236602783, 0.09635010145394374,0.3434479236602783,
13,0.09894856821917355,0.39395618438720703, 0.09632449706650809,0.39395618438720703,
14,0.10185177537518686,0.3744843006134033, 0.0959057758542367,0.3744843006134033,
15,0.10260338803862132,0.4294760227203369, 0.09607475104551248,0.4294760227203369,
16,0.10193849991327546,0.46689772605895996, 0.09597150754778795,0.46689772605895996,
