k,regression_tree_ReadsAvg_minimal_univariate_nmae,regression_tree_ReadsAvg_minimal_univariate_training_time,random_forest_ReadsAvg_minimal_univariate_nmae,random_forest_ReadsAvg_minimal_univariate_training_time,
1,0.04840557291572511,0.011620759963989258, 0.04831603422367042,0.011620759963989258,
2,0.06248867670144371,0.046164751052856445, 0.05537361727971003,0.046164751052856445,
3,0.06440236009588224,0.07843995094299316, 0.05139133285079389,0.07843995094299316,
4,0.06651234544569998,0.11059832572937012, 0.04959194482069101,0.11059832572937012,
5,0.06080062352314107,0.16420197486877441, 0.045455646115543494,0.16420197486877441,
6,0.06011644171115962,0.23880887031555176, 0.045456860136562104,0.23880887031555176,
7,0.061036780870941866,0.2356860637664795, 0.04542767044882683,0.2356860637664795,
8,0.05784534528008844,0.2939720153808594, 0.04301026660946722,0.2939720153808594,
9,0.0589578617811043,0.3313109874725342, 0.04302506668566477,0.3313109874725342,
10,0.058324541112050356,0.4063260555267334, 0.04297531217534875,0.4063260555267334,
11,0.059075086116287534,0.41193413734436035, 0.04285608788195065,0.41193413734436035,
12,0.05774352969671362,0.43835878372192383, 0.04272966924464344,0.43835878372192383,
13,0.05759448379889079,0.4615767002105713, 0.04220543821116523,0.4615767002105713,
14,0.05722869399004517,0.5158851146697998, 0.04210092691257722,0.5158851146697998,
15,0.05725096899503811,0.6279702186584473, 0.042018527396452156,0.6279702186584473,
16,0.05792210559237981,0.6168930530548096, 0.042062492623507496,0.6168930530548096,
