k,regression_tree_DispFrames_minimal_univariate_nmae,regression_tree_DispFrames_minimal_univariate_training_time,random_forest_DispFrames_minimal_univariate_nmae,random_forest_DispFrames_minimal_univariate_training_time,
1,0.1057012123195625,0.009315013885498047, 0.1057475557404635,0.009315013885498047,
2,0.10469430290023628,0.023882150650024414, 0.1040119806003331,0.023882150650024414,
3,0.10640487970579138,0.04123973846435547, 0.10184417825930012,0.04123973846435547,
4,0.10208551827738145,0.07261466979980469, 0.09630858014094715,0.07261466979980469,
5,0.10252146869775602,0.09398579597473145, 0.09695599334856743,0.09398579597473145,
6,0.1018244499132945,0.17338323593139648, 0.09719202240151743,0.17338323593139648,
7,0.09855352377392189,0.15603899955749512, 0.09505731043338907,0.15603899955749512,
8,0.09711016271559558,0.1988973617553711, 0.09478572837813984,0.1988973617553711,
9,0.10074452509267624,0.24808192253112793, 0.09480299159943095,0.24808192253112793,
10,0.0983095023000322,0.2674393653869629, 0.09398192856574214,0.2674393653869629,
11,0.09886504054910025,0.29338979721069336, 0.09396791031085913,0.29338979721069336,
12,0.09844449290260947,0.3421940803527832, 0.09400516252522417,0.3421940803527832,
13,0.09749436673831553,0.33936524391174316, 0.09371575478783978,0.33936524391174316,
14,0.09544354796839144,0.3546407222747803, 0.09316138472667865,0.3546407222747803,
15,0.09854313988141596,0.39311885833740234, 0.09449792149085007,0.39311885833740234,
16,0.09733860835072637,0.389801025390625, 0.09532132090035274,0.389801025390625,
