k,regression_tree_noAudioPlayed_minimal_univariate_nmae,regression_tree_noAudioPlayed_minimal_univariate_training_time,random_forest_noAudioPlayed_minimal_univariate_nmae,random_forest_noAudioPlayed_minimal_univariate_training_time,
1,0.3416503371773086,0.009805440902709961, 0.34171152200376864,0.009805440902709961,
2,0.31963396537909433,0.07554984092712402, 0.29250884056832266,0.07554984092712402,
3,0.3220048026763302,0.08117794990539551, 0.2857285788142068,0.08117794990539551,
4,0.32874670481695856,0.11232805252075195, 0.28717819745232176,0.11232805252075195,
5,0.3528442059244305,0.1360607147216797, 0.287192562056663,0.1360607147216797,
6,0.3468783814206143,0.15685296058654785, 0.28551167703323466,0.15685296058654785,
7,0.350783581818578,0.2365567684173584, 0.28836257089636247,0.2365567684173584,
8,0.3510631731069491,0.26095056533813477, 0.2886495150725122,0.26095056533813477,
9,0.35268988605747237,0.360595703125, 0.28813133316630485,0.360595703125,
10,0.3557690212852485,0.312821626663208, 0.2860106453475283,0.312821626663208,
11,0.3558725063725028,0.38503003120422363, 0.2873078868950359,0.38503003120422363,
12,0.3590024763799827,0.4265408515930176, 0.287461117445286,0.4265408515930176,
13,0.3370636378820778,0.42886781692504883, 0.27099624669876526,0.42886781692504883,
14,0.33430040449960424,0.46124744415283203, 0.27251272685020456,0.46124744415283203,
15,0.3386104676073522,0.5111498832702637, 0.2735937223888474,0.5111498832702637,
16,0.3380113434179854,0.5477859973907471, 0.27763278770669786,0.5477859973907471,
