k,regression_tree_noAudioPlayed_minimal_univariate_nmae,regression_tree_noAudioPlayed_minimal_univariate_training_time,random_forest_noAudioPlayed_minimal_univariate_nmae,random_forest_noAudioPlayed_minimal_univariate_training_time,
1,0.19710330501153936,0.05780029296875, 0.19877403614335848,0.05780029296875,
2,0.16945154140991914,0.10391783714294434, 0.16878809075981077,0.10391783714294434,
3,0.24102670079375355,0.20907807350158691, 0.19096457379200021,0.20907807350158691,
4,0.24010795844993973,0.22533226013183594, 0.18791043333164187,0.22533226013183594,
5,0.2364130705414853,0.30251121520996094, 0.1876815076337778,0.30251121520996094,
6,0.2401652242328875,0.3906385898590088, 0.18813757979862358,0.3906385898590088,
7,0.24956179226961725,0.45180463790893555, 0.1916444450530663,0.45180463790893555,
8,0.2478961049308329,0.4572014808654785, 0.19119486715998232,0.4572014808654785,
9,0.24714915993586228,0.47958970069885254, 0.1910701273458222,0.47958970069885254,
10,0.25078927187801886,0.4972419738769531, 0.1901186646615343,0.4972419738769531,
11,0.251979404236672,0.5984551906585693, 0.18844515514877483,0.5984551906585693,
12,0.2502390223983906,0.5749423503875732, 0.18979390957649878,0.5749423503875732,
13,0.25335129321076794,0.6259205341339111, 0.189489965208962,0.6259205341339111,
14,0.2548850202671075,0.7116739749908447, 0.18940460599481454,0.7116739749908447,
15,0.2599816749494567,0.8191854953765869, 0.19000357288689257,0.8191854953765869,
16,0.25743210269995714,0.8862297534942627, 0.1899525523940417,0.8862297534942627,
