k,regression_tree_ReadsAvg_minimal_univariate_nmae,regression_tree_ReadsAvg_minimal_univariate_training_time,random_forest_ReadsAvg_minimal_univariate_nmae,random_forest_ReadsAvg_minimal_univariate_training_time,
1,0.019548535720194885,0.009974241256713867, 0.019478699268965876,0.009974241256713867,
2,0.024768554014183278,0.03365182876586914, 0.021653888556569658,0.03365182876586914,
3,0.02811787080775731,0.06243777275085449, 0.020696518342497805,0.06243777275085449,
4,0.027259756355909538,0.09055423736572266, 0.01963525217716474,0.09055423736572266,
5,0.027444280793725066,0.11430072784423828, 0.019600946960730174,0.11430072784423828,
6,0.027107897605348836,0.13518500328063965, 0.01955578166916776,0.13518500328063965,
7,0.02725903331357539,0.16078805923461914, 0.019452643303171636,0.16078805923461914,
8,0.02681748656572448,0.20512056350708008, 0.019277748366953344,0.20512056350708008,
9,0.027008351743460002,0.2250840663909912, 0.019196914763092533,0.2250840663909912,
10,0.027284311245959408,0.24797749519348145, 0.01914745113962503,0.24797749519348145,
11,0.0265126193341962,0.2989482879638672, 0.01926201578034867,0.2989482879638672,
12,0.027522140350687126,0.30811476707458496, 0.019264971792564884,0.30811476707458496,
13,0.027494032312686194,0.33378005027770996, 0.019205864767812938,0.33378005027770996,
14,0.027959184375676044,0.4255356788635254, 0.019210370418013708,0.4255356788635254,
15,0.02738908411431877,0.40926194190979004, 0.019151370215267256,0.40926194190979004,
16,0.027158379924609066,0.45011425018310547, 0.019201059582585108,0.45011425018310547,
