período,carga,apps,feature,método,switch,nmae,
4,FlashcrowdLoad,BothApps,DispFrames,RT,SWA1,0.13435889978394547,
4,FlashcrowdLoad,BothApps,DispFrames,RF,SWA1,0.13011480492770483,
8,FlashcrowdLoad,BothApps,DispFrames,RT,SWA1,0.13339941353818197,
8,FlashcrowdLoad,BothApps,DispFrames,RF,SWA1,0.13089043076033535,
16,FlashcrowdLoad,BothApps,DispFrames,RT,SWA1,0.1342685370741483,
16,FlashcrowdLoad,BothApps,DispFrames,RF,SWA1,0.13006707860164773,
32,FlashcrowdLoad,BothApps,DispFrames,RT,SWA1,0.11613418530351437,
32,FlashcrowdLoad,BothApps,DispFrames,RF,SWA1,0.11287007454739086,
64,FlashcrowdLoad,BothApps,DispFrames,RT,SWA1,0.13151041666666666,
64,FlashcrowdLoad,BothApps,DispFrames,RF,SWA1,0.11797960069444442,
128,FlashcrowdLoad,BothApps,DispFrames,RT,SWA1,0.10990502035278155,
128,FlashcrowdLoad,BothApps,DispFrames,RF,SWA1,0.11125056535504294,
256,FlashcrowdLoad,BothApps,DispFrames,RT,SWA1,0.07124352331606218,
256,FlashcrowdLoad,BothApps,DispFrames,RF,SWA1,0.08269645941278067,
2,FlashcrowdLoad,BothApps,DispFrames,RT,SWA2,0.12690215125489868,
2,FlashcrowdLoad,BothApps,DispFrames,RF,SWA2,0.12590258152407685,
4,FlashcrowdLoad,BothApps,DispFrames,RT,SWA2,0.1252990492833219,
4,FlashcrowdLoad,BothApps,DispFrames,RF,SWA2,0.12467668005020557,
8,FlashcrowdLoad,BothApps,DispFrames,RT,SWA2,0.1279508774841306,
8,FlashcrowdLoad,BothApps,DispFrames,RF,SWA2,0.12619314331549322,
16,FlashcrowdLoad,BothApps,DispFrames,RT,SWA2,0.12746386333771353,
16,FlashcrowdLoad,BothApps,DispFrames,RF,SWA2,0.12446479413053,
32,FlashcrowdLoad,BothApps,DispFrames,RT,SWA2,0.11668554782327237,
32,FlashcrowdLoad,BothApps,DispFrames,RF,SWA2,0.11376975778173383,
64,FlashcrowdLoad,BothApps,DispFrames,RT,SWA2,0.12808041504539558,
64,FlashcrowdLoad,BothApps,DispFrames,RF,SWA2,0.12394076956333763,
128,FlashcrowdLoad,BothApps,DispFrames,RT,SWA2,0.16146540027137044,
128,FlashcrowdLoad,BothApps,DispFrames,RF,SWA2,0.14660786974219808,
256,FlashcrowdLoad,BothApps,DispFrames,RT,SWA2,0.12532637075718014,
256,FlashcrowdLoad,BothApps,DispFrames,RF,SWA2,0.12482593559617057,
2,FlashcrowdLoad,BothApps,DispFrames,RT,SWA3,0.1456724306049362,
2,FlashcrowdLoad,BothApps,DispFrames,RF,SWA3,0.14541832009972386,
4,FlashcrowdLoad,BothApps,DispFrames,RT,SWA3,0.13901639218014453,
4,FlashcrowdLoad,BothApps,DispFrames,RF,SWA3,0.13908274446516453,
8,FlashcrowdLoad,BothApps,DispFrames,RT,SWA3,0.1411571058399991,
8,FlashcrowdLoad,BothApps,DispFrames,RF,SWA3,0.14089893009658142,
16,FlashcrowdLoad,BothApps,DispFrames,RT,SWA3,0.1476965068020577,
16,FlashcrowdLoad,BothApps,DispFrames,RF,SWA3,0.14725575235420915,
32,FlashcrowdLoad,BothApps,DispFrames,RT,SWA3,0.1364305823255008,
32,FlashcrowdLoad,BothApps,DispFrames,RF,SWA3,0.13670491774699625,
64,FlashcrowdLoad,BothApps,DispFrames,RT,SWA3,0.14155746003679046,
64,FlashcrowdLoad,BothApps,DispFrames,RF,SWA3,0.14078736910652576,
128,FlashcrowdLoad,BothApps,DispFrames,RT,SWA3,0.16041076326706416,
128,FlashcrowdLoad,BothApps,DispFrames,RF,SWA3,0.15966642486341898,
256,FlashcrowdLoad,BothApps,DispFrames,RT,SWA3,0.10795698924731185,
