período,Features,
64,[['2_kbcommit', '2_X..commit', '2_file.nr', '2_plist.sz', '2_ldavg.1', '3_file.nr', '3_plist.sz', '4_kbcommit', '4_X..commit', '4_file.nr', '4_plist.sz', '5_tcpsck']],
128,[['2_kbcommit', '2_X..commit', '2_file.nr', '2_plist.sz', '2_ldavg.1', '3_file.nr', '3_plist.sz', '4_kbcommit', '4_X..commit', '4_file.nr', '4_plist.sz', '5_tcpsck']],
256,[['2_kbcommit', '2_X..commit', '2_file.nr', '2_runq.sz', '2_plist.sz', '2_ldavg.1', '3_kbcommit', '3_X..commit', '3_file.nr', '3_plist.sz', '3_ldavg.1', '4_ldavg.1']],
2,[['2_file.nr', '2_plist.sz', '3_kbcommit', '3_X..commit', '3_file.nr', '3_plist.sz', '3_totsck', '3_tcpsck', '4_kbcommit', '4_X..commit', '4_file.nr', '4_plist.sz']],
4,[['2_file.nr', '2_plist.sz', '3_kbcommit', '3_X..commit', '3_file.nr', '3_plist.sz', '3_totsck', '3_tcpsck', '4_kbcommit', '4_X..commit', '4_file.nr', '4_plist.sz']],
8,[['2_kbcommit', '2_file.nr', '2_plist.sz', '3_kbcommit', '3_X..commit', '3_file.nr', '3_plist.sz', '3_totsck', '4_kbcommit', '4_X..commit', '4_file.nr', '4_plist.sz']],
16,[['2_file.nr', '2_plist.sz', '3_kbcommit', '3_X..commit', '3_file.nr', '3_runq.sz', '3_plist.sz', '3_totsck', '4_kbcommit', '4_X..commit', '4_file.nr', '4_plist.sz']],
32,[['2_file.nr', '2_plist.sz', '3_kbcommit', '3_X..commit', '3_file.nr', '3_runq.sz', '3_plist.sz', '3_totsck', '4_kbcommit', '4_X..commit', '4_file.nr', '4_plist.sz']],
64,[['2_kbcommit', '2_X..commit', '2_file.nr', '2_plist.sz', '2_totsck', '3_kbcommit', '3_X..commit', '3_file.nr', '3_runq.sz', '3_plist.sz', '3_totsck', '4_file.nr']],
128,[['2_file.nr', '2_plist.sz', '3_kbcommit', '3_X..commit', '3_file.nr', '3_runq.sz', '3_plist.sz', '3_totsck', '4_kbcommit', '4_X..commit', '4_file.nr', '4_plist.sz']],
256,[['2_file.nr', '2_tcpsck', '3_kbcommit', '3_X..commit', '3_file.nr', '3_plist.sz', '3_totsck', '4_kbcommit', '4_X..commit', '4_file.nr', '4_plist.sz', '5_inode.nr']],
2,[['2_file.nr', '2_plist.sz', '3_kbcommit', '3_X..commit', '3_file.nr', '3_plist.sz', '3_totsck', '3_tcpsck', '4_kbcommit', '4_X..commit', '4_file.nr', '4_plist.sz']],
4,[['2_file.nr', '2_plist.sz', '3_kbcommit', '3_X..commit', '3_file.nr', '3_plist.sz', '3_totsck', '3_tcpsck', '4_kbcommit', '4_X..commit', '4_file.nr', '4_plist.sz']],
8,[['2_kbcommit', '2_file.nr', '2_plist.sz', '2_totsck', '3_kbcommit', '3_X..commit', '3_file.nr', '3_plist.sz', '3_totsck', '4_kbcommit', '4_X..commit', '4_file.nr']],
16,[['2_file.nr', '2_plist.sz', '3_kbcommit', '3_X..commit', '3_file.nr', '3_runq.sz', '3_plist.sz', '3_totsck', '4_kbcommit', '4_X..commit', '4_file.nr', '4_plist.sz']],
32,[['2_file.nr', '3_kbcommit', '3_X..commit', '3_file.nr', '3_runq.sz', '3_plist.sz', '3_totsck', '4_kbcommit', '4_X..commit', '4_file.nr', '4_plist.sz', '5_inode.nr']],
64,[['2_file.nr', '2_plist.sz', '2_totsck', '2_tcpsck', '3_file.nr', '3_totsck', '4_kbcommit', '4_X..commit', '4_file.nr', '4_plist.sz', '5_inode.nr', '5_tcpsck']],
128,[['2_file.nr', '2_totsck', '3_kbcommit', '3_X..commit', '3_file.nr', '3_plist.sz', '3_totsck', '4_kbcommit', '4_X..commit', '4_file.nr', '4_plist.sz', '5_inode.nr']],
256,[['2_file.nr', '2_totsck', '3_kbcommit', '3_X..commit', '3_file.nr', '3_plist.sz', '3_totsck', '4_kbcommit', '4_X..commit', '4_file.nr', '4_plist.sz', '5_inode.nr']],
2,[['2_file.nr', '3_file.nr', '3_runq.sz', '3_plist.sz', '3_ldavg.1', '3_totsck', '3_orq.s', '4_kbcommit', '4_X..commit', '4_file.nr', '4_plist.sz', '4_ldavg.1']],
4,[['3_kbcommit', '3_X..commit', '3_file.nr', '3_runq.sz', '3_ldavg.1', '3_totsck', '3_orq.s', '4_kbcommit', '4_X..commit', '4_file.nr', '4_plist.sz', '4_ldavg.1']],
8,[['3_kbcommit', '3_X..commit', '3_file.nr', '3_runq.sz', '3_plist.sz', '3_ldavg.1', '3_totsck', '3_orq.s', '4_kbcommit', '4_X..commit', '4_plist.sz', '4_ldavg.1']],
16,[['2_X..commit', '2_file.nr', '2_plist.sz', '2_totsck', '3_file.nr', '3_ldavg.1', '3_orq.s', '4_kbcommit', '4_X..commit', '4_file.nr', '4_plist.sz', '4_ldavg.1']],
32,[['2_kbcommit', '2_X..commit', '2_file.nr', '2_plist.sz', '2_totsck', '3_file.nr', '3_ldavg.1', '4_pgfree.s', '4_kbcommit', '4_X..commit', '4_plist.sz', '4_ldavg.1']],
64,[['2_kbcommit', '2_X..commit', '2_file.nr', '2_plist.sz', '2_totsck', '3_kbcommit', '3_X..commit', '3_file.nr', '3_plist.sz', '4_pgfree.s', '4_runq.sz', '4_ldavg.1']],
128,[['2_kbcommit', '2_X..commit', '2_file.nr', '2_plist.sz', '2_totsck', '3_file.nr', '4_all_..sys', '4_cpu12_.sys', '4_cpu22_.sys', '4_pgfree.s', '4_runq.sz', '4_ldavg.1']],
256,[['2_file.nr', '2_plist.sz', '3_i128_intr.s', '3_kbcommit', '3_X..commit', '3_file.nr', '3_runq.sz', '3_plist.sz', '3_ldavg.1', '3_totsck', '4_runq.sz', '4_ldavg.1']],
2,[['3_file.nr', '3_runq.sz', '3_ldavg.1', '3_totsck', '3_orq.s', '4_kbcommit', '4_X..commit', '4_file.nr', '4_plist.sz', '4_ldavg.1', '5_totsck', '5_tcpsck']],
4,[['3_file.nr', '3_runq.sz', '3_ldavg.1', '3_totsck', '3_orq.s', '4_kbcommit', '4_X..commit', '4_file.nr', '4_plist.sz', '4_ldavg.1', '5_totsck', '5_tcpsck']],
8,[['2_file.nr', '3_file.nr', '3_ldavg.1', '3_totsck', '3_orq.s', '4_kbcommit', '4_X..commit', '4_file.nr', '4_plist.sz', '4_ldavg.1', '5_totsck', '5_tcpsck']],
16,[['2_kbcommit', '2_file.nr', '2_plist.sz', '2_totsck', '3_file.nr', '3_ldavg.1', '3_orq.s', '4_kbcommit', '4_X..commit', '4_file.nr', '4_plist.sz', '4_ldavg.1']],
32,[['2_kbcommit', '2_X..commit', '2_file.nr', '2_plist.sz', '2_totsck', '2_tcpsck', '3_file.nr', '3_ldavg.1', '3_totsck', '3_orq.s', '4_pgfree.s', '4_ldavg.1']],
64,[['2_kbcommit', '2_X..commit', '2_file.nr', '2_runq.sz', '2_plist.sz', '2_totsck', '2_tcpsck', '3_ldavg.1', '3_totsck', '3_orq.s', '4_pgfree.s', '4_ldavg.1']],
128,[['2_kbcommit', '2_X..commit', '2_file.nr', '2_plist.sz', '2_totsck', '2_tcpsck', '3_file.nr', '3_ldavg.1', '3_totsck', '3_orq.s', '4_tcpsck', '5_tcpsck']],
256,[['2_kbcommit', '2_X..commit', '2_file.nr', '2_plist.sz', '2_totsck', '3_kbcommit', '3_X..commit', '3_file.nr', '3_plist.sz', '3_ldavg.1', '3_totsck', '4_ldavg.1']],
2,[['0_i127_intr.s', '0_i131_intr.s', '1_i129_intr.s', '1_i132_intr.s', '2_irec.s', '2_idel.s', '2_iseg.s', '4_i128_intr.s', '4_eth1_rxpck.s', '4_irec.s', '4_idel.s', '4_iseg.s']],
4,[['1_i129_intr.s', '1_i132_intr.s', '2_blocked', '2_irec.s', '2_idel.s', '2_iseg.s', '3_dev252.0_avgqu.sz', '4_i128_intr.s', '4_eth1_rxpck.s', '4_irec.s', '4_idel.s', '4_iseg.s']],
8,[['2_blocked', '2_irec.s', '2_idel.s', '3_dev252.0_avgqu.sz', '3_dev252.0_await', '4_dev8.0_avgqu.sz', '4_dev8.5_avgqu.sz', '4_dev252.1_await', '4_eth1_rxpck.s', '4_irec.s', '4_idel.s', '4_iseg.s']],
16,[['2_cpu13_.soft', '2_blocked', '3_dev252.0_avgqu.sz', '4_pswpout.s', '4_dev8.0_avgqu.sz', '4_dev8.5_avgqu.sz', '4_dev8.5_await', '4_dev252.1_tps', '4_dev252.1_wr_sec.s', '4_dev252.1_avgqu.sz', '4_dev252.1_await', '4_dev252.1_.util']],
32,[['2_blocked', '2_dev252.1_await', '3_dev8.0_avgqu.sz', '3_dev8.5_avgqu.sz', '3_dev252.0_avgqu.sz', '3_dev252.0_await', '3_dev252.1_await', '3_dev252.1_.util', '4_dev252.1_tps', '4_dev252.1_wr_sec.s', '4_dev252.1_await', '4_dev252.1_.util']],
64,[['0_i127_intr.s', '2_irec.s', '2_idel.s', '2_iseg.s', '3_i130_intr.s', '3_i132_intr.s', '4_i127_intr.s', '4_i132_intr.s', '4_irec.s', '4_idel.s', '4_iseg.s', '5_all_..soft']],
128,[['0_i127_intr.s', '0_i131_intr.s', '0_eth1_rxkB.s', '2_irec.s', '2_idel.s', '2_iseg.s', '3_i130_intr.s', '4_i132_intr.s', '4_irec.s', '4_idel.s', '4_iseg.s', '5_all_..soft']],
256,[['0_orq.s', '2_irec.s', '2_idel.s', '2_iseg.s', '4_i127_intr.s', '4_i128_intr.s', '4_i132_intr.s', '4_eth1_rxpck.s', '4_irec.s', '4_idel.s', '4_iseg.s', '5_all_..soft']],
2,[['0_i127_intr.s', '0_i131_intr.s', '1_i129_intr.s', '1_i132_intr.s', '2_irec.s', '2_idel.s', '2_iseg.s', '4_i128_intr.s', '4_eth1_rxpck.s', '4_irec.s', '4_idel.s', '4_iseg.s']],
4,[['0_i127_intr.s', '0_i131_intr.s', '1_i129_intr.s', '1_i132_intr.s', '2_irec.s', '2_idel.s', '2_iseg.s', '4_i128_intr.s', '4_eth1_rxpck.s', '4_irec.s', '4_idel.s', '4_iseg.s']],
8,[['1_i129_intr.s', '2_irec.s', '2_idel.s', '2_iseg.s', '3_i130_intr.s', '4_i127_intr.s', '4_i128_intr.s', '4_i131_intr.s', '4_eth1_rxpck.s', '4_irec.s', '4_idel.s', '4_iseg.s']],
16,[['0_i127_intr.s', '1_i129_intr.s', '2_irec.s', '2_idel.s', '2_iseg.s', '3_i130_intr.s', '4_i127_intr.s', '4_i128_intr.s', '4_eth1_rxpck.s', '4_irec.s', '4_idel.s', '4_iseg.s']],
