período,carga,apps,feature,método,nmae
64,FlashcrowdLoad,SingleApp,DispFrames,RT,0.07852437417654808,
64,FlashcrowdLoad,SingleApp,DispFrames,RF,0.09494949494949494,
128,FlashcrowdLoad,SingleApp,DispFrames,RT,0.10196292257360959,
128,FlashcrowdLoad,SingleApp,DispFrames,RF,0.09762359142130136,
256,FlashcrowdLoad,SingleApp,DispFrames,RT,0.09169363538295576,
256,FlashcrowdLoad,SingleApp,DispFrames,RF,0.08450197770586121,
2,FlashcrowdLoad,SingleApp,noAudioPlayed,RT,0.29987573429733394,
2,FlashcrowdLoad,SingleApp,noAudioPlayed,RF,0.24438754638568239,
4,FlashcrowdLoad,SingleApp,noAudioPlayed,RT,0.30881779965138934,
4,FlashcrowdLoad,SingleApp,noAudioPlayed,RF,0.2499389076865238,
8,FlashcrowdLoad,SingleApp,noAudioPlayed,RT,0.314322443732528,
8,FlashcrowdLoad,SingleApp,noAudioPlayed,RF,0.25713265451874223,
16,FlashcrowdLoad,SingleApp,noAudioPlayed,RT,0.32034291394019715,
16,FlashcrowdLoad,SingleApp,noAudioPlayed,RF,0.24365388332090893,
32,FlashcrowdLoad,SingleApp,noAudioPlayed,RT,0.31464224941252733,
32,FlashcrowdLoad,SingleApp,noAudioPlayed,RF,0.2594272479269643,
64,FlashcrowdLoad,SingleApp,noAudioPlayed,RT,0.32650954756580075,
64,FlashcrowdLoad,SingleApp,noAudioPlayed,RF,0.31626956820918634,
128,FlashcrowdLoad,SingleApp,noAudioPlayed,RT,0.3198867657466384,
128,FlashcrowdLoad,SingleApp,noAudioPlayed,RF,0.2714584807737674,
256,FlashcrowdLoad,SingleApp,noAudioPlayed,RT,0.2608991825613079,
256,FlashcrowdLoad,SingleApp,noAudioPlayed,RF,0.20739100817438694,
2,PeriodicLoad,SingleApp,DispFrames,RT,0.09778044391121775,
2,PeriodicLoad,SingleApp,DispFrames,RF,0.09513448661619026,
4,PeriodicLoad,SingleApp,DispFrames,RT,0.10232965322698312,
4,PeriodicLoad,SingleApp,DispFrames,RF,0.09934787542758944,
8,PeriodicLoad,SingleApp,DispFrames,RT,0.10223497919824556,
8,PeriodicLoad,SingleApp,DispFrames,RF,0.10071838617086465,
16,PeriodicLoad,SingleApp,DispFrames,RT,0.10335816019861492,
16,PeriodicLoad,SingleApp,DispFrames,RF,0.10337721590661612,
32,PeriodicLoad,SingleApp,DispFrames,RT,0.11494252873563218,
32,PeriodicLoad,SingleApp,DispFrames,RF,0.09915730337078653,
64,PeriodicLoad,SingleApp,DispFrames,RT,0.09292149292149292,
64,PeriodicLoad,SingleApp,DispFrames,RF,0.08636422136422135,
128,PeriodicLoad,SingleApp,DispFrames,RT,0.12147505422993495,
128,PeriodicLoad,SingleApp,DispFrames,RF,0.1122107736804049,
256,PeriodicLoad,SingleApp,DispFrames,RT,0.08275862068965519,
256,PeriodicLoad,SingleApp,DispFrames,RF,0.06333333333333334,
2,PeriodicLoad,SingleApp,noAudioPlayed,RT,0.284997483718914,
2,PeriodicLoad,SingleApp,noAudioPlayed,RF,0.21326619928614018,
4,PeriodicLoad,SingleApp,noAudioPlayed,RT,0.30019957701587685,
4,PeriodicLoad,SingleApp,noAudioPlayed,RF,0.22458802074541853,
8,PeriodicLoad,SingleApp,noAudioPlayed,RT,0.32221825255051406,
8,PeriodicLoad,SingleApp,noAudioPlayed,RF,0.2413980522144152,
16,PeriodicLoad,SingleApp,noAudioPlayed,RT,0.32440113682501015,
16,PeriodicLoad,SingleApp,noAudioPlayed,RF,0.22977229665719315,
32,PeriodicLoad,SingleApp,noAudioPlayed,RT,0.297,
32,PeriodicLoad,SingleApp,noAudioPlayed,RF,0.22394166666666665,
64,PeriodicLoad,SingleApp,noAudioPlayed,RT,0.373250894890986,
64,PeriodicLoad,SingleApp,noAudioPlayed,RF,0.23527226380301552,
128,PeriodicLoad,SingleApp,noAudioPlayed,RT,0.30456852791878175,
128,PeriodicLoad,SingleApp,noAudioPlayed,RF,0.2886156937394247,
256,PeriodicLoad,SingleApp,noAudioPlayed,RT,0.3468708388814914,
256,PeriodicLoad,SingleApp,noAudioPlayed,RF,0.25667443408788276,
2,FlashcrowdLoad,BothApps,ReadsAvg,RT,0.05281797738700718,
2,FlashcrowdLoad,BothApps,ReadsAvg,RF,0.038687823242902965,
4,FlashcrowdLoad,BothApps,ReadsAvg,RT,0.049179550606384306,
4,FlashcrowdLoad,BothApps,ReadsAvg,RF,0.03981952451571498,
8,FlashcrowdLoad,BothApps,ReadsAvg,RT,0.06545690073088696,
8,FlashcrowdLoad,BothApps,ReadsAvg,RF,0.046733812326426566,
16,FlashcrowdLoad,BothApps,ReadsAvg,RT,0.08567269890258485,
16,FlashcrowdLoad,BothApps,ReadsAvg,RF,0.06675500312880174,
32,FlashcrowdLoad,BothApps,ReadsAvg,RT,0.111585612673257,
32,FlashcrowdLoad,BothApps,ReadsAvg,RF,0.08618952849571229,
64,FlashcrowdLoad,BothApps,ReadsAvg,RT,0.05476205736030933,
64,FlashcrowdLoad,BothApps,ReadsAvg,RF,0.04132595083052747,
128,FlashcrowdLoad,BothApps,ReadsAvg,RT,0.05258393261846829,
128,FlashcrowdLoad,BothApps,ReadsAvg,RF,0.036119502033851926,
256,FlashcrowdLoad,BothApps,ReadsAvg,RT,0.05920009440628614,
256,FlashcrowdLoad,BothApps,ReadsAvg,RF,0.036039186771601985,
2,FlashcrowdLoad,BothApps,WritesAvg,RT,0.049824069594654186,
2,FlashcrowdLoad,BothApps,WritesAvg,RF,0.037501847409586335,
4,FlashcrowdLoad,BothApps,WritesAvg,RT,0.04994236244077731,
