período,função,Features,
256,média,[['2_fault.s', '2_kbcommit', '2_X..commit', '2_file.nr', '2_runq.sz', '2_plist.sz', '3_kbcommit', '3_X..commit', '3_file.nr', '3_plist.sz', '4_file.nr', '5_tcpsck']],
256,máximo,[['2_fault.s', '2_file.nr', '2_ldavg.1', '3_cpu20_.sys', '3_file.nr', '3_plist.sz', '3_irec.s', '3_idel.s', '3_orq.s', '3_iseg.s', '4_fault.s', '5_tcpsck']],
256,mínimo,[['2_all_..idle', '2_cpu18_.idle', '2_cpu20_.idle', '2_cpu22_.idle', '2_ldavg.1', '3_kbmemfree', '3_ldavg.1', '4_cpu12_.idle', '4_cpu14_.idle', '4_cpu16_.idle', '4_cpu18_.idle', '4_cpu22_.idle']],
128,média,[['2_fault.s', '2_kbcommit', '2_X..commit', '2_file.nr', '2_runq.sz', '2_plist.sz', '2_ldavg.1', '3_X..commit', '3_file.nr', '3_plist.sz', '4_file.nr', '5_tcpsck']],
128,máximo,[['3_cpu2_.idle', '3_cpu8_.idle', '3_cpu10_.idle', '3_cpu12_.idle', '3_cpu15_.idle', '3_cpu17_.idle', '3_cpu18_.idle', '3_cpu19_.idle', '3_cpu22_.idle', '3_cpu23_.idle', '3_orq.s', '5_tcpsck']],
128,mínimo,[['2_ldavg.1', '3_all_..usr', '3_cpu2_.usr', '3_cpu4_.usr', '3_cpu8_.usr', '3_cpu9_.usr', '3_cpu17_.usr', '3_cpu22_.usr', '3_cpu23_.usr', '3_fault.s', '3_ldavg.1', '4_ldavg.1']],
64,média,[['2_kbcommit', '2_X..commit', '2_runq.sz', '2_ldavg.1', '3_kbcommit', '3_X..commit', '3_file.nr', '3_runq.sz', '3_plist.sz', '3_orq.s', '4_fault.s', '5_tcpsck']],
64,máximo,[['2_ldavg.1', '3_cpu2_.idle', '3_cpu3_.idle', '3_cpu12_.idle', '3_cpu13_.idle', '3_cpu17_.idle', '3_cpu18_.idle', '3_cpu19_.idle', '3_cpu21_.idle', '3_cpu23_.idle', '3_orq.s', '5_tcpsck']],
64,mínimo,[['2_ldavg.1', '3_all_..usr', '3_cpu0_.usr', '3_cpu2_.usr', '3_cpu3_.usr', '3_cpu8_.usr', '3_cpu17_.usr', '3_cpu21_.usr', '3_fault.s', '3_runq.sz', '3_ldavg.1', '4_ldavg.1']],
32,média,[['2_kbcommit', '2_X..commit', '2_file.nr', '2_plist.sz', '2_ldavg.1', '3_file.nr', '3_plist.sz', '4_kbcommit', '4_X..commit', '4_file.nr', '4_plist.sz', '5_tcpsck']],
32,máximo,[['2_file.nr', '2_ldavg.1', '3_cpu9_.idle', '3_cpu11_.idle', '3_cpu12_.idle', '3_cpu18_.idle', '3_cpu23_.idle', '3_file.nr', '3_runq.sz', '3_ldavg.1', '3_orq.s', '5_tcpsck']],
32,mínimo,[['2_file.nr', '2_plist.sz', '2_ldavg.1', '3_fault.s', '3_file.nr', '3_runq.sz', '3_plist.sz', '3_ldavg.1', '4_file.nr', '4_plist.sz', '4_ldavg.1', '5_tcpsck']],
16,média,[['2_kbcommit', '2_X..commit', '2_file.nr', '2_plist.sz', '2_ldavg.1', '3_file.nr', '3_runq.sz', '3_plist.sz', '4_kbcommit', '4_X..commit', '4_file.nr', '5_tcpsck']],
16,máximo,[['2_ldavg.1', '3_cpu9_.idle', '3_cpu12_.idle', '3_cpu13_.idle', '3_cpu15_.idle', '3_cpu17_.idle', '3_cpu19_.idle', '3_cpu21_.idle', '3_cpu23_.idle', '3_runq.sz', '3_ldavg.1', '5_tcpsck']],
16,mínimo,[['2_file.nr', '2_plist.sz', '2_ldavg.1', '3_kbcommit', '3_X..commit', '3_file.nr', '3_runq.sz', '3_plist.sz', '3_ldavg.1', '4_file.nr', '4_plist.sz', '5_tcpsck']],
8,média,[['2_kbcommit', '2_X..commit', '2_file.nr', '2_plist.sz', '2_ldavg.1', '3_runq.sz', '4_kbcommit', '4_X..commit', '4_file.nr', '4_runq.sz', '4_plist.sz', '5_tcpsck']],
8,máximo,[['2_ldavg.1', '3_all_..idle', '3_cpu9_.idle', '3_cpu13_.idle', '3_cpu15_.idle', '3_cpu16_.idle', '3_cpu17_.idle', '3_cpu19_.idle', '3_cpu21_.idle', '3_cpu22_.idle', '3_cpu23_.idle', '5_tcpsck']],
8,mínimo,[['2_X..commit', '2_file.nr', '2_plist.sz', '2_ldavg.1', '3_file.nr', '3_plist.sz', '4_kbcommit', '4_X..commit', '4_file.nr', '4_runq.sz', '4_plist.sz', '5_tcpsck']],
4,média,[['2_kbcommit', '2_X..commit', '2_file.nr', '2_plist.sz', '2_ldavg.1', '3_file.nr', '3_plist.sz', '4_kbcommit', '4_X..commit', '4_file.nr', '4_plist.sz', '5_tcpsck']],
4,máximo,[['2_kbcommit', '2_X..commit', '2_file.nr', '2_plist.sz', '2_ldavg.1', '3_file.nr', '3_ldavg.1', '4_kbcommit', '4_X..commit', '4_file.nr', '4_plist.sz', '5_tcpsck']],
4,mínimo,[['2_file.nr', '2_runq.sz', '2_plist.sz', '2_ldavg.1', '3_file.nr', '3_plist.sz', '4_kbcommit', '4_X..commit', '4_file.nr', '4_runq.sz', '4_plist.sz', '5_tcpsck']],
2,média,[['2_kbcommit', '2_X..commit', '2_file.nr', '2_plist.sz', '2_ldavg.1', '3_file.nr', '3_plist.sz', '4_kbcommit', '4_X..commit', '4_file.nr', '4_plist.sz', '5_tcpsck']],
2,máximo,[['2_kbcommit', '2_X..commit', '2_file.nr', '2_plist.sz', '2_ldavg.1', '3_file.nr', '3_ldavg.1', '4_kbcommit', '4_X..commit', '4_file.nr', '4_plist.sz', '5_tcpsck']],
2,mínimo,[['2_kbcommit', '2_X..commit', '2_file.nr', '2_runq.sz', '2_plist.sz', '2_ldavg.1', '3_file.nr', '4_kbcommit', '4_X..commit', '4_file.nr', '4_plist.sz', '5_tcpsck']],
256,média,[['1_i127_intr.s', '1_eth1_rxpck.s', '1_eth1_rxkB.s', '1_irec.s', '1_idel.s', '1_orq.s', '1_iseg.s', '4_pgpgin.s', '4_rtps', '4_bread.s', '4_dev8.0_rd_sec.s', '4_dev8.5_rd_sec.s']],
256,máximo,[['0_eth1_rxpck.s', '0_eth1_txpck.s', '0_eth1_rxkB.s', '0_eth1_txkB.s', '0_eth1_.ifutil', '0_orq.s', '3_cpu3_.iowait', '3_proc.s', '3_i127_intr.s', '4_runq.sz', '5_tcp.tw', '5_passive.s']],
256,mínimo,[['0_i129_intr.s', '2_i141_intr.s', '3_cpu1_.sys', '3_cpu8_.sys', '3_cpu22_.sys', '3_frmpg.s', '4_cpu0_.sys', '4_cpu2_.sys', '4_cpu4_.sys', '4_cpu6_.sys', '4_cpu10_.sys', '4_i119_intr.s']],
128,média,[['2_proc.s', '3_proc.s', '4_proc.s', '4_pgpgin.s', '4_rtps', '4_bread.s', '4_dev8.0_rd_sec.s', '4_dev8.5_rd_sec.s', '4_dev252.0_rd_sec.s', '4_dev252.0_svctm', '5_active.s', '5_passive.s']],
128,máximo,[['0_pgfree.s', '0_eth1_rxpck.s', '0_eth1_rxkB.s', '0_irec.s', '0_idel.s', '0_orq.s', '0_iseg.s', '3_i127_intr.s', '4_kbcommit', '4_tcpsck', '5_inode.nr', '5_passive.s']],
128,mínimo,[['0_i129_intr.s', '0_i133_intr.s', '0_pgfree.s', '0_oseg.s', '3_cpu23_.sys', '3_frmpg.s', '3_eth1_rxpck.s', '3_eth1_rxkB.s', '3_eth1_.ifutil', '4_cpu15_.usr', '5_cpu14_.idle', '5_fault.s']],
64,média,[['2_proc.s', '2_totsck', '2_tcpsck', '3_proc.s', '3_tcpsck', '4_proc.s', '4_tcpsck', '5_inode.nr', '5_totsck', '5_tcpsck', '5_active.s', '5_passive.s']],
64,máximo,[['2_runq.sz', '2_totsck', '2_tcpsck', '3_runq.sz', '3_totsck', '3_tcpsck', '4_kbcommit', '4_X..commit', '4_tcpsck', '5_inode.nr', '5_totsck', '5_tcpsck']],
64,mínimo,[['3_runq.sz', '3_tcpsck', '3_irec.s', '3_idel.s', '3_iseg.s', '4_kbcommit', '4_X..commit', '4_totsck', '4_tcpsck', '5_inode.nr', '5_totsck', '5_tcpsck']],
32,média,[['2_kbcommit', '2_X..commit', '2_file.nr', '2_plist.sz', '2_totsck', '3_kbcommit', '3_X..commit', '3_file.nr', '3_runq.sz', '3_plist.sz', '3_totsck', '3_tcpsck']],
32,máximo,[['2_kbcommit', '2_X..commit', '2_file.nr', '2_plist.sz', '2_totsck', '3_kbcommit', '3_X..commit', '3_file.nr', '3_runq.sz', '3_plist.sz', '3_totsck', '3_tcpsck']],
32,mínimo,[['2_file.nr', '3_kbcommit', '3_X..commit', '3_runq.sz', '3_totsck', '4_kbcommit', '4_X..commit', '4_plist.sz', '4_tcpsck', '5_inode.nr', '5_totsck', '5_tcpsck']],
16,média,[['2_X..commit', '2_file.nr', '2_plist.sz', '2_totsck', '3_kbcommit', '3_X..commit', '3_file.nr', '3_runq.sz', '3_plist.sz', '3_totsck', '3_tcpsck', '4_file.nr']],
16,máximo,[['2_kbcommit', '2_file.nr', '2_plist.sz', '2_totsck', '3_kbcommit', '3_X..commit', '3_file.nr', '3_runq.sz', '3_plist.sz', '3_totsck', '3_tcpsck', '4_file.nr']],
16,mínimo,[['2_file.nr', '3_kbcommit', '3_X..commit', '3_file.nr', '3_runq.sz', '3_plist.sz', '3_totsck', '3_tcpsck', '4_kbcommit', '4_X..commit', '4_file.nr', '4_plist.sz']],
8,média,[['2_file.nr', '2_plist.sz', '2_totsck', '3_kbcommit', '3_X..commit', '3_file.nr', '3_runq.sz', '3_plist.sz', '3_totsck', '4_kbcommit', '4_file.nr', '4_plist.sz']],
8,máximo,[['2_kbcommit', '2_X..commit', '2_file.nr', '2_plist.sz', '2_totsck', '3_kbcommit', '3_X..commit', '3_file.nr', '3_runq.sz', '3_plist.sz', '3_totsck', '4_file.nr']],
8,mínimo,[['2_file.nr', '2_totsck', '3_kbcommit', '3_X..commit', '3_file.nr', '3_runq.sz', '3_plist.sz', '3_totsck', '4_kbcommit', '4_X..commit', '4_file.nr', '4_plist.sz']],
4,média,[['2_file.nr', '2_totsck', '3_kbcommit', '3_X..commit', '3_file.nr', '3_runq.sz', '3_plist.sz', '3_totsck', '4_kbcommit', '4_X..commit', '4_file.nr', '4_plist.sz']],
4,máximo,[['2_file.nr', '2_totsck', '3_kbcommit', '3_X..commit', '3_file.nr', '3_runq.sz', '3_plist.sz', '3_totsck', '4_kbcommit', '4_X..commit', '4_file.nr', '4_plist.sz']],
4,mínimo,[['2_file.nr', '2_totsck', '3_kbcommit', '3_X..commit', '3_file.nr', '3_runq.sz', '3_plist.sz', '3_totsck', '4_kbcommit', '4_X..commit', '4_file.nr', '4_plist.sz']],
2,média,[['2_file.nr', '2_totsck', '3_kbcommit', '3_X..commit', '3_file.nr', '3_runq.sz', '3_plist.sz', '3_totsck', '4_kbcommit', '4_X..commit', '4_file.nr', '4_plist.sz']],
2,máximo,[['2_file.nr', '2_totsck', '3_kbcommit', '3_X..commit', '3_file.nr', '3_runq.sz', '3_plist.sz', '3_totsck', '4_kbcommit', '4_X..commit', '4_file.nr', '4_plist.sz']],
2,mínimo,[['2_file.nr', '2_plist.sz', '3_kbcommit', '3_X..commit', '3_file.nr', '3_runq.sz', '3_plist.sz', '3_totsck', '4_kbcommit', '4_X..commit', '4_file.nr', '4_plist.sz']],
256,média,[['3_all_..soft', '3_cpu13_.sys', '3_cpu13_.soft', '3_i126_intr.s', '3_i128_intr.s', '3_i133_intr.s', '3_runq.sz', '3_irec.s', '3_idel.s', '3_orq.s', '3_iseg.s', '4_pgfree.s']],
256,máximo,[['2_pgfree.s', '2_runq.sz', '2_totsck', '3_sum_intr.s', '3_i133_intr.s', '3_file.nr', '3_runq.sz', '3_irec.s', '3_idel.s', '3_iseg.s', '4_tcpsck', '5_estres.s']],
256,mínimo,[['2_file.nr', '2_plist.sz', '3_i127_intr.s', '3_i129_intr.s', '3_file.nr', '3_runq.sz', '3_ldavg.1', '3_irec.s', '3_idel.s', '3_orq.s', '3_iseg.s', '3_oseg.s']],
128,média,[['3_cpu13_.soft', '3_proc.s', '3_i128_intr.s', '3_i132_intr.s', '3_kbdirty', '3_runq.sz', '3_irec.s', '3_idel.s', '3_orq.s', '3_iseg.s', '4_pgfree.s', '4_runq.sz']],
128,máximo,[['3_sum_intr.s', '3_runq.sz', '3_tcpsck', '3_irec.s', '3_idel.s', '3_orq.s', '3_iseg.s', '4_kbcommit', '4_X..commit', '4_runq.sz', '4_plist.sz', '4_tcpsck']],
128,mínimo,[['2_file.nr', '3_all_..soft', '3_cpu13_.soft', '3_i128_intr.s', '3_i131_intr.s', '3_kbdirty', '3_runq.sz', '3_irec.s', '3_idel.s', '3_orq.s', '3_iseg.s', '3_oseg.s']],
64,média,[['3_all_..soft', '3_cpu13_.soft', '3_kbdirty', '3_runq.sz', '3_irec.s', '3_idel.s', '3_orq.s', '3_iseg.s', '4_pgfree.s', '4_kbcommit', '4_X..commit', '4_runq.sz']],
64,máximo,[['3_sum_intr.s', '3_kbcommit', '3_X..commit', '3_file.nr', '3_runq.sz', '3_orq.s', '4_pgfree.s', '4_kbcommit', '4_X..commit', '4_file.nr', '4_runq.sz', '4_plist.sz']],
64,mínimo,[['3_all_..soft', '3_cpu13_.soft', '3_i128_intr.s', '3_i131_intr.s', '3_kbdirty', '3_file.nr', '3_runq.sz', '3_totsck', '3_irec.s', '3_idel.s', '3_orq.s', '3_iseg.s']],
32,média,[['3_all_..soft', '3_cpu13_.soft', '3_kbdirty', '3_file.nr', '3_runq.sz', '3_plist.sz', '3_ldavg.1', '3_irec.s', '3_idel.s', '3_orq.s', '3_iseg.s', '4_file.nr']],
32,máximo,[['3_sum_intr.s', '3_file.nr', '3_runq.sz', '3_ldavg.1', '3_orq.s', '4_kbcommit', '4_X..commit', '4_file.nr', '4_plist.sz', '4_tcpsck', '5_totsck', '5_tcpsck']],
32,mínimo,[['3_i128_intr.s', '3_kbcommit', '3_X..commit', '3_file.nr', '3_runq.sz', '3_plist.sz', '3_ldavg.1', '3_irec.s', '3_idel.s', '3_orq.s', '3_iseg.s', '4_file.nr']],
16,média,[['3_kbcommit', '3_X..commit', '3_file.nr', '3_runq.sz', '3_plist.sz', '3_ldavg.1', '3_totsck', '3_tcpsck', '3_orq.s', '4_runq.sz', '5_totsck', '5_tcpsck']],
16,máximo,[['2_tcpsck', '3_sum_intr.s', '3_kbcommit', '3_X..commit', '3_file.nr', '3_runq.sz', '3_plist.sz', '3_ldavg.1', '3_orq.s', '4_runq.sz', '5_totsck', '5_tcpsck']],
16,mínimo,[['3_kbcommit', '3_X..commit', '3_file.nr', '3_runq.sz', '3_plist.sz', '3_ldavg.1', '3_tcpsck', '3_irec.s', '3_idel.s', '3_orq.s', '3_iseg.s', '4_X..commit']],
8,média,[['3_kbcommit', '3_X..commit', '3_file.nr', '3_runq.sz', '3_plist.sz', '3_ldavg.1', '3_totsck', '3_orq.s', '4_kbcommit', '4_X..commit', '4_runq.sz', '4_plist.sz']],
8,máximo,[['3_sum_intr.s', '3_kbcommit', '3_X..commit', '3_file.nr', '3_runq.sz', '3_plist.sz', '3_ldavg.1', '3_totsck', '3_tcpsck', '3_orq.s', '4_runq.sz', '4_ldavg.1']],
8,mínimo,[['3_file.nr', '3_runq.sz', '3_ldavg.1', '3_irec.s', '3_idel.s', '3_orq.s', '3_iseg.s', '4_kbcommit', '4_X..commit', '4_file.nr', '4_plist.sz', '5_tcpsck']],
4,média,[['3_X..commit', '3_file.nr', '3_runq.sz', '3_plist.sz', '3_ldavg.1', '3_totsck', '3_orq.s', '4_kbcommit', '4_X..commit', '4_runq.sz', '4_plist.sz', '4_ldavg.1']],
4,máximo,[['3_X..commit', '3_file.nr', '3_runq.sz', '3_plist.sz', '3_ldavg.1', '3_totsck', '3_orq.s', '4_kbcommit', '4_X..commit', '4_runq.sz', '4_plist.sz', '4_ldavg.1']],
4,mínimo,[['3_kbcommit', '3_X..commit', '3_file.nr', '3_runq.sz', '3_ldavg.1', '3_totsck', '3_orq.s', '4_kbcommit', '4_X..commit', '4_file.nr', '4_plist.sz', '4_ldavg.1']],
2,média,[['3_file.nr', '3_runq.sz', '3_plist.sz', '3_ldavg.1', '3_totsck', '3_orq.s', '4_kbcommit', '4_X..commit', '4_file.nr', '4_runq.sz', '4_plist.sz', '4_ldavg.1']],
2,máximo,[['3_file.nr', '3_runq.sz', '3_plist.sz', '3_ldavg.1', '3_totsck', '3_orq.s', '4_kbcommit', '4_X..commit', '4_file.nr', '4_runq.sz', '4_plist.sz', '4_ldavg.1']],
2,mínimo,[['2_file.nr', '3_file.nr', '3_runq.sz', '3_plist.sz', '3_ldavg.1', '3_totsck', '3_orq.s', '4_kbcommit', '4_X..commit', '4_file.nr', '4_plist.sz', '4_ldavg.1']],
