período,função,carga,apps,feature,método,nmae,
32,máximo,PeriodicLoad,BothApps,DispFrames,RF,0.12010022863827298,
32,mínimo,PeriodicLoad,BothApps,DispFrames,RT,0.1579199234327644,
32,mínimo,PeriodicLoad,BothApps,DispFrames,RF,0.12087121816344978,
16,média,PeriodicLoad,BothApps,DispFrames,RT,0.1554319371727749,
16,média,PeriodicLoad,BothApps,DispFrames,RF,0.13997804864746946,
16,máximo,PeriodicLoad,BothApps,DispFrames,RT,0.14782395287958117,
16,máximo,PeriodicLoad,BothApps,DispFrames,RF,0.1424915466841187,
16,mínimo,PeriodicLoad,BothApps,DispFrames,RT,0.14651505235602094,
16,mínimo,PeriodicLoad,BothApps,DispFrames,RF,0.13822943935427573,
8,média,PeriodicLoad,BothApps,DispFrames,RT,0.15618744127139764,
8,média,PeriodicLoad,BothApps,DispFrames,RF,0.13934986586046763,
8,máximo,PeriodicLoad,BothApps,DispFrames,RT,0.1532050496384361,
8,máximo,PeriodicLoad,BothApps,DispFrames,RF,0.13871457558796693,
8,mínimo,PeriodicLoad,BothApps,DispFrames,RT,0.15214282796094292,
8,mínimo,PeriodicLoad,BothApps,DispFrames,RF,0.14093434652939493,
4,média,PeriodicLoad,BothApps,DispFrames,RT,0.13881753271708572,
4,média,PeriodicLoad,BothApps,DispFrames,RF,0.13240491649642322,
4,máximo,PeriodicLoad,BothApps,DispFrames,RT,0.13869617103905826,
4,máximo,PeriodicLoad,BothApps,DispFrames,RF,0.13150869421576758,
4,mínimo,PeriodicLoad,BothApps,DispFrames,RT,0.14126499322397298,
4,mínimo,PeriodicLoad,BothApps,DispFrames,RF,0.13155707032909242,
2,média,PeriodicLoad,BothApps,DispFrames,RT,0.13427253838747277,
2,média,PeriodicLoad,BothApps,DispFrames,RF,0.12654867480869608,
2,máximo,PeriodicLoad,BothApps,DispFrames,RT,0.13350225510566058,
2,máximo,PeriodicLoad,BothApps,DispFrames,RF,0.1269646446730519,
2,mínimo,PeriodicLoad,BothApps,DispFrames,RT,0.13982668626159225,
2,mínimo,PeriodicLoad,BothApps,DispFrames,RF,0.1252310005236575,
256,média,FlashcrowdLoad,SingleApp,DispFrames,RT,0.11918604651162791,
256,média,FlashcrowdLoad,SingleApp,DispFrames,RF,0.14915213178294576,
256,máximo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.10271317829457363,
256,máximo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.14098029715762272,
256,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.20155038759689922,
256,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.16242732558139533,
128,média,FlashcrowdLoad,SingleApp,DispFrames,RT,0.1416666666666667,
128,média,FlashcrowdLoad,SingleApp,DispFrames,RF,0.11828022875816994,
128,máximo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.15343137254901962,
128,máximo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.138202614379085,
128,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.153921568627451,
128,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.1296977124183007,
64,média,FlashcrowdLoad,SingleApp,DispFrames,RT,0.09586108468125595,
64,média,FlashcrowdLoad,SingleApp,DispFrames,RF,0.09770853155724707,
64,máximo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.10371075166508088,
64,máximo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.10273945448778941,
64,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.12345385347288297,
64,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.10052529337139232,
32,média,FlashcrowdLoad,SingleApp,DispFrames,RT,0.10463733650416171,
32,média,FlashcrowdLoad,SingleApp,DispFrames,RF,0.10219480776852953,
