período,função,carga,apps,feature,método,nmae
256,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.08060453400503778,
256,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.10191015952980688,
256,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.11838790931989923,
256,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.13568429890848024,
256,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.11712846347607053,
256,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.10548908480268683,
128,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.11775043936731107,
128,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.08898164421011519,
128,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.10837727006444053,
128,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.11940538957234914,
128,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.14294083186877563,
128,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.10876293692638156,
64,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.10594088381621304,
64,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.10926982733391864,
64,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.1331577407082236,
64,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.10950151204760511,
64,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.12613403570383377,
64,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.09936347673397716,
32,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.08538758538758538,
32,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.08594074844074845,
32,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.10558360558360558,
32,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.08721784971784971,
32,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.09667359667359668,
32,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.08911617661617662,
16,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.09720362933214338,
16,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.09492538053448364,
16,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.10597947344935298,
16,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.09657333035847092,
16,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.12301056076156479,
16,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.1110416976548168,
8,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.11302330801750907,
8,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.10890605709154849,
8,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.11541771110030304,
8,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.1085260079564019,
8,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.12645441281005648,
8,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.11224606232930523,
4,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.10269044121748508,
4,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.10349459866500567,
4,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.11392075562910213,
4,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.10409748433519884,
4,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.10787795400033467,
4,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.10552637450495507,
2,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.10817679146575317,
2,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.10072577091827552,
2,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.10566343343324706,
2,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.1005428543059098,
2,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.10208887978701618,
2,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.10052284052898429,
256,média,PeriodicLoad,BothApps,DispFrames,RT,0.11451398135818908,
256,média,PeriodicLoad,BothApps,DispFrames,RF,0.15301819795827784,
256,máximo,PeriodicLoad,BothApps,DispFrames,RT,0.16245006657789615,
256,máximo,PeriodicLoad,BothApps,DispFrames,RF,0.1812472259209942,
256,mínimo,PeriodicLoad,BothApps,DispFrames,RT,0.23169107856191742,
256,mínimo,PeriodicLoad,BothApps,DispFrames,RF,0.18780514869063472,
128,média,PeriodicLoad,BothApps,DispFrames,RT,0.14739688979039892,
128,média,PeriodicLoad,BothApps,DispFrames,RF,0.17727631282398015,
128,máximo,PeriodicLoad,BothApps,DispFrames,RT,0.19607843137254902,
