período,função,carga,apps,feature,método,nmae
32,máximo,PeriodicLoad,BothApps,DispFrames,RF,0.0005085013929273055,
32,mínimo,PeriodicLoad,BothApps,DispFrames,RT,0.2585427135678392,
32,mínimo,PeriodicLoad,BothApps,DispFrames,RF,0.24791038525963147,
16,média,PeriodicLoad,BothApps,DispFrames,RT,0.07615686274509804,
16,média,PeriodicLoad,BothApps,DispFrames,RF,0.057810457516339855,
16,máximo,PeriodicLoad,BothApps,DispFrames,RT,0.0012829765054927433,
16,máximo,PeriodicLoad,BothApps,DispFrames,RF,0.0012174912463582173,
16,mínimo,PeriodicLoad,BothApps,DispFrames,RT,0.2590667590667591,
16,mínimo,PeriodicLoad,BothApps,DispFrames,RF,0.20338992838992842,
8,média,PeriodicLoad,BothApps,DispFrames,RT,0.105084193251051,
8,média,PeriodicLoad,BothApps,DispFrames,RF,0.08598099937801157,
8,máximo,PeriodicLoad,BothApps,DispFrames,RT,0.02863310524600847,
8,máximo,PeriodicLoad,BothApps,DispFrames,RF,0.0309187303138916,
8,mínimo,PeriodicLoad,BothApps,DispFrames,RT,0.21303375461590474,
8,mínimo,PeriodicLoad,BothApps,DispFrames,RF,0.17107409718971586,
4,média,PeriodicLoad,BothApps,DispFrames,RT,0.12144276618383053,
4,média,PeriodicLoad,BothApps,DispFrames,RF,0.10578132007738889,
4,máximo,PeriodicLoad,BothApps,DispFrames,RT,0.0823290195497003,
4,máximo,PeriodicLoad,BothApps,DispFrames,RF,0.08456463262237095,
4,mínimo,PeriodicLoad,BothApps,DispFrames,RT,0.19388572121800315,
4,mínimo,PeriodicLoad,BothApps,DispFrames,RF,0.16167394556997858,
2,média,PeriodicLoad,BothApps,DispFrames,RT,0.12270458242189691,
2,média,PeriodicLoad,BothApps,DispFrames,RF,0.11326252173425318,
2,máximo,PeriodicLoad,BothApps,DispFrames,RT,0.09907056270413643,
2,máximo,PeriodicLoad,BothApps,DispFrames,RF,0.10403167174496006,
2,mínimo,PeriodicLoad,BothApps,DispFrames,RT,0.14894545788723978,
