período,Features,
16,[['2_X..commit', '2_file.nr', '2_plist.sz', '2_ldavg.1', '3_file.nr', '3_runq.sz', '3_plist.sz', '3_ldavg.1', '3_orq.s', '4_file.nr', '4_ldavg.1', '5_tcpsck']],
8,[['2_kbcommit', '2_X..commit', '2_file.nr', '2_plist.sz', '2_ldavg.1', '3_file.nr', '3_plist.sz', '3_ldavg.1', '4_file.nr', '4_plist.sz', '4_ldavg.1', '5_tcpsck']],
4,[['2_X..commit', '2_file.nr', '2_plist.sz', '2_ldavg.1', '3_file.nr', '3_plist.sz', '3_ldavg.1', '4_kbcommit', '4_X..commit', '4_file.nr', '4_plist.sz', '5_tcpsck']],
2,[['2_kbcommit', '2_X..commit', '2_file.nr', '2_plist.sz', '2_ldavg.1', '3_file.nr', '3_plist.sz', '4_kbcommit', '4_X..commit', '4_file.nr', '4_plist.sz', '5_tcpsck']],
256,[['2_kbcommit', '2_X..commit', '2_file.nr', '2_plist.sz', '3_X..commit', '3_file.nr', '3_totsck', '4_file.nr', '4_totsck', '5_cpu14_.idle', '5_i135_intr.s', '5_inode.nr']],
128,[['2_file.nr', '3_file.nr', '3_runq.sz', '3_ldavg.1', '4_file.nr', '5_sum_intr.s', '5_i135_intr.s', '5_i136_intr.s', '5_i139_intr.s', '5_irec.s', '5_idel.s', '5_iseg.s']],
64,[['2_kbcommit', '2_X..commit', '2_file.nr', '2_plist.sz', '3_kbcommit', '3_X..commit', '3_file.nr', '3_plist.sz', '3_totsck', '4_file.nr', '4_plist.sz', '4_totsck']],
32,[['2_kbcommit', '2_X..commit', '2_file.nr', '2_plist.sz', '2_totsck', '3_kbcommit', '3_X..commit', '3_file.nr', '3_plist.sz', '3_totsck', '3_tcpsck', '4_file.nr']],
16,[['2_file.nr', '2_plist.sz', '3_kbcommit', '3_X..commit', '3_file.nr', '3_plist.sz', '3_totsck', '3_tcpsck', '4_kbcommit', '4_X..commit', '4_file.nr', '4_plist.sz']],
8,[['2_kbcommit', '2_file.nr', '2_plist.sz', '3_kbcommit', '3_X..commit', '3_file.nr', '3_plist.sz', '3_totsck', '4_kbcommit', '4_X..commit', '4_file.nr', '4_plist.sz']],
4,[['2_file.nr', '2_plist.sz', '2_totsck', '3_kbcommit', '3_X..commit', '3_file.nr', '3_plist.sz', '3_totsck', '4_kbcommit', '4_X..commit', '4_file.nr', '4_plist.sz']],
2,[['2_file.nr', '2_plist.sz', '2_totsck', '3_kbcommit', '3_X..commit', '3_file.nr', '3_plist.sz', '3_totsck', '4_kbcommit', '4_X..commit', '4_file.nr', '4_plist.sz']],
256,[['2_cpu14_.sys', '2_cpu18_.sys', '2_cpu22_.sys', '2_pgfree.s', '3_i133_intr.s', '4_all_..sys', '4_cpu1_.sys', '4_cpu3_.sys', '4_cpu5_.sys', '4_cpu7_.sys', '4_cpu9_.sys', '4_cpu11_.sys']],
128,[['2_kbcommit', '2_X..commit', '2_file.nr', '2_plist.sz', '2_totsck', '3_file.nr', '4_cpu12_.sys', '4_cpu16_.sys', '4_pgfree.s', '4_runq.sz', '4_plist.sz', '4_ldavg.1']],
64,[['2_kbcommit', '2_X..commit', '2_file.nr', '2_runq.sz', '2_plist.sz', '2_totsck', '3_file.nr', '3_ldavg.1', '3_orq.s', '4_pgfree.s', '4_ldavg.1', '5_tcpsck']],
32,[['2_kbcommit', '2_X..commit', '2_file.nr', '2_plist.sz', '2_totsck', '2_tcpsck', '3_file.nr', '3_ldavg.1', '4_file.nr', '4_ldavg.1', '5_totsck', '5_tcpsck']],
16,[['2_kbcommit', '2_X..commit', '2_file.nr', '2_plist.sz', '2_totsck', '3_file.nr', '3_ldavg.1', '3_totsck', '3_orq.s', '4_X..commit', '4_file.nr', '4_ldavg.1']],
8,[['3_file.nr', '3_runq.sz', '3_ldavg.1', '3_totsck', '3_orq.s', '4_kbcommit', '4_X..commit', '4_file.nr', '4_plist.sz', '4_ldavg.1', '5_totsck', '5_tcpsck']],
4,[['3_kbcommit', '3_X..commit', '3_file.nr', '3_plist.sz', '3_ldavg.1', '3_totsck', '3_orq.s', '4_kbcommit', '4_X..commit', '4_file.nr', '4_plist.sz', '4_ldavg.1']],
2,[['2_file.nr', '3_kbcommit', '3_file.nr', '3_runq.sz', '3_ldavg.1', '3_totsck', '3_orq.s', '4_kbcommit', '4_X..commit', '4_file.nr', '4_plist.sz', '4_ldavg.1']],
