período,função,carga,apps,feature,método,nmae,
256,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.05936675461741425,
256,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.11231310466138962,
256,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.10817941952506596,
256,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.1114665787159191,
256,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.079155672823219,
256,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.11476473175021988,
128,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.1540983606557377,
128,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.14324043715846993,
128,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.1724590163934426,
128,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.14497814207650275,
128,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.11606557377049179,
128,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.14963387978142076,
64,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.14628457180939686,
64,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.11747750749750081,
64,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.10863045651449516,
64,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.116186271242919,
64,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.10329890036654449,
64,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.11601688326113517,
32,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.09743930828067841,
32,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.09843005210065402,
32,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.09893581642833388,
32,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.10197733067287443,
32,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.09045560359161955,
32,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.0970097550160736,
16,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.09397352626819043,
16,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.08964619474362139,
16,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.08566965386828908,
16,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.08884869412699717,
16,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.08418975581682152,
16,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.08964825015758174,
8,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.10568464730290457,
8,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.09125829875518675,
8,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.09526970954356846,
8,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.09045297372060858,
8,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.09008298755186724,
8,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.08970746887966805,
4,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.09595602015742787,
4,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.09292754709646966,
4,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.1033901128649369,
4,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.09199412075021172,
4,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.09676814793219775,
4,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.09134580678300225,
2,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.08817257727263317,
2,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.08118828023104156,
2,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.08374221062873942,
2,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.08204744011759103,
2,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.08729271473821501,
2,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.0816630609554962,
