período,função,carga,apps,feature,método,nmae
32,máximo,PeriodicLoad,BothApps,DispFrames,RF,0.16172902076422166,
32,mínimo,PeriodicLoad,BothApps,DispFrames,RT,0.14688536675267233,
32,mínimo,PeriodicLoad,BothApps,DispFrames,RF,0.15641510013515175,
16,média,PeriodicLoad,BothApps,DispFrames,RT,0.1446971042813999,
16,média,PeriodicLoad,BothApps,DispFrames,RF,0.14119589032983954,
16,máximo,PeriodicLoad,BothApps,DispFrames,RT,0.13545922899271629,
16,máximo,PeriodicLoad,BothApps,DispFrames,RF,0.13510170545389946,
16,mínimo,PeriodicLoad,BothApps,DispFrames,RT,0.13927873512169126,
16,mínimo,PeriodicLoad,BothApps,DispFrames,RF,0.13298617279564162,
8,média,PeriodicLoad,BothApps,DispFrames,RT,0.15460351250665247,
8,média,PeriodicLoad,BothApps,DispFrames,RF,0.14066251256578557,
8,máximo,PeriodicLoad,BothApps,DispFrames,RT,0.15052332801135354,
8,máximo,PeriodicLoad,BothApps,DispFrames,RF,0.13978032050144876,
8,mínimo,PeriodicLoad,BothApps,DispFrames,RT,0.15282951924782687,
8,mínimo,PeriodicLoad,BothApps,DispFrames,RF,0.13874179528117794,
4,média,PeriodicLoad,BothApps,DispFrames,RT,0.14693749439512152,
4,média,PeriodicLoad,BothApps,DispFrames,RF,0.13720611753803844,
4,máximo,PeriodicLoad,BothApps,DispFrames,RT,0.1501434848892476,
4,máximo,PeriodicLoad,BothApps,DispFrames,RF,0.13653409260753893,
4,mínimo,PeriodicLoad,BothApps,DispFrames,RT,0.14940364092906466,
4,mínimo,PeriodicLoad,BothApps,DispFrames,RF,0.1371097136280752,
2,média,PeriodicLoad,BothApps,DispFrames,RT,0.13173323767137876,
2,média,PeriodicLoad,BothApps,DispFrames,RF,0.12835013022730926,
2,máximo,PeriodicLoad,BothApps,DispFrames,RT,0.12562357768236496,
2,máximo,PeriodicLoad,BothApps,DispFrames,RF,0.12164239618249012,
2,mínimo,PeriodicLoad,BothApps,DispFrames,RT,0.14134053787428674,
2,mínimo,PeriodicLoad,BothApps,DispFrames,RF,0.13172576408117817,
256,média,FlashcrowdLoad,SingleApp,DispFrames,RT,0.11052072263549415,
256,média,FlashcrowdLoad,SingleApp,DispFrames,RF,0.09783032235210769,
256,máximo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.1902231668437832,
256,máximo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.14492561105207225,
256,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.19447396386822527,
256,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.14644881331916404,
128,média,FlashcrowdLoad,SingleApp,DispFrames,RT,0.1078880407124682,
128,média,FlashcrowdLoad,SingleApp,DispFrames,RF,0.10538592027141644,
128,máximo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.08549618320610687,
128,máximo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.08647158608990671,
128,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.08396946564885496,
128,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.10545377438507211,
64,média,FlashcrowdLoad,SingleApp,DispFrames,RT,0.13461538461538464,
64,média,FlashcrowdLoad,SingleApp,DispFrames,RF,0.11980593607305937,
64,máximo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.12750263435194945,
64,máximo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.1269801545486477,
