período,função,carga,apps,feature,método,nmae,
32,máximo,PeriodicLoad,BothApps,DispFrames,RF,0.15001689396731788,
32,mínimo,PeriodicLoad,BothApps,DispFrames,RT,0.15683744931809807,
32,mínimo,PeriodicLoad,BothApps,DispFrames,RF,0.14484887578326575,
16,média,PeriodicLoad,BothApps,DispFrames,RT,0.1358145318884349,
16,média,PeriodicLoad,BothApps,DispFrames,RF,0.1279408716764375,
16,máximo,PeriodicLoad,BothApps,DispFrames,RT,0.12613252798010305,
16,máximo,PeriodicLoad,BothApps,DispFrames,RF,0.12738275004441285,
16,mínimo,PeriodicLoad,BothApps,DispFrames,RT,0.13448214602949013,
16,mínimo,PeriodicLoad,BothApps,DispFrames,RF,0.12689124770533544,
8,média,PeriodicLoad,BothApps,DispFrames,RT,0.13757317722192655,
8,média,PeriodicLoad,BothApps,DispFrames,RF,0.12730582165454438,
8,máximo,PeriodicLoad,BothApps,DispFrames,RT,0.1324729466028029,
8,máximo,PeriodicLoad,BothApps,DispFrames,RF,0.12871097214830585,
8,mínimo,PeriodicLoad,BothApps,DispFrames,RT,0.13739577789604399,
8,mínimo,PeriodicLoad,BothApps,DispFrames,RF,0.12744589320560581,
4,média,PeriodicLoad,BothApps,DispFrames,RT,0.13707290825934895,
4,média,PeriodicLoad,BothApps,DispFrames,RF,0.12745717872836518,
4,máximo,PeriodicLoad,BothApps,DispFrames,RT,0.1399650255582459,
4,máximo,PeriodicLoad,BothApps,DispFrames,RF,0.12800626999073328,
4,mínimo,PeriodicLoad,BothApps,DispFrames,RT,0.14108600125549278,
4,mínimo,PeriodicLoad,BothApps,DispFrames,RF,0.12659477475861658,
2,média,PeriodicLoad,BothApps,DispFrames,RT,0.13542145443538894,
2,média,PeriodicLoad,BothApps,DispFrames,RF,0.12475290442399171,
2,máximo,PeriodicLoad,BothApps,DispFrames,RT,0.1319013934508929,
2,máximo,PeriodicLoad,BothApps,DispFrames,RF,0.1245920353949232,
2,mínimo,PeriodicLoad,BothApps,DispFrames,RT,0.13481609362913805,
2,mínimo,PeriodicLoad,BothApps,DispFrames,RF,0.12378787708933557,
256,média,FlashcrowdLoad,SingleApp,DispFrames,RT,0.1232731137088204,
256,média,FlashcrowdLoad,SingleApp,DispFrames,RF,0.13381154799858305,
256,máximo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.16259298618490967,
256,máximo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.13719447396386822,
256,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.1179596174282678,
256,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.12609812256464753,
128,média,FlashcrowdLoad,SingleApp,DispFrames,RT,0.11552162849872773,
128,média,FlashcrowdLoad,SingleApp,DispFrames,RF,0.09927905004240882,
128,máximo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.09872773536895675,
128,máximo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.10241730279898219,
128,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.09770992366412214,
128,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.11078032230703985,
64,média,FlashcrowdLoad,SingleApp,DispFrames,RT,0.1172286617492097,
64,média,FlashcrowdLoad,SingleApp,DispFrames,RF,0.11849973656480506,
64,máximo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.1304004214963119,
64,máximo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.12864199157007378,
64,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.13514225500526872,
64,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.12139971900245874,
32,média,FlashcrowdLoad,SingleApp,DispFrames,RT,0.09976184175707858,
32,média,FlashcrowdLoad,SingleApp,DispFrames,RF,0.10608847137690747,
32,máximo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.12185763429478699,
32,máximo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.1099640557466702,
32,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.09751256946282086,
32,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.10736526417923613,
16,média,FlashcrowdLoad,SingleApp,DispFrames,RT,0.10283924286856837,
16,média,FlashcrowdLoad,SingleApp,DispFrames,RF,0.10929085577179418,
16,máximo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.11630231938149826,
