experimento,período,carga,apps,feature,método,nmae,função
2,4,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.09867367644346062,máximo
2,4,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.10592141671278361,mínimo
2,4,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.09681516325401217,mínimo
1,4,FlashcrowdLoad,BothApps,DispFrames,RT,0.11812695574430039,raw
1,4,FlashcrowdLoad,BothApps,DispFrames,RF,0.08700268216361198,raw
2,2,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.0788864388092613,média
2,2,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.08123208379272326,média
2,2,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.0834619625137817,máximo
2,2,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.08142364939360529,máximo
2,2,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.08351708930540243,mínimo
2,2,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.08148061374494671,mínimo
1,2,FlashcrowdLoad,BothApps,DispFrames,RT,0.07976316818410323,raw
1,2,FlashcrowdLoad,BothApps,DispFrames,RF,0.07341879387067345,raw
3,256,PeriodicLoad,BothApps,DispFrames,RT,0.10091743119266056,raw
3,256,PeriodicLoad,BothApps,DispFrames,RF,0.1629204892966361,raw
2,256,média,PeriodicLoad,BothApps,DispFrames,RT,0.2018348623853211,média
2,256,média,PeriodicLoad,BothApps,DispFrames,RF,0.14625382262996944,média
2,256,máximo,PeriodicLoad,BothApps,DispFrames,RT,0.3027522935779816,máximo
2,256,máximo,PeriodicLoad,BothApps,DispFrames,RF,0.15764525993883796,máximo
2,256,mínimo,PeriodicLoad,BothApps,DispFrames,RT,0.0,mínimo
2,256,mínimo,PeriodicLoad,BothApps,DispFrames,RF,0.14686544342507646,mínimo
1,256,PeriodicLoad,BothApps,DispFrames,RT,0.09523809523809523,raw
1,256,PeriodicLoad,BothApps,DispFrames,RF,0.1619708994708995,raw
3,128,PeriodicLoad,BothApps,DispFrames,RT,0.09917355371900825,raw
3,128,PeriodicLoad,BothApps,DispFrames,RF,0.1457644628099174,raw
2,128,média,PeriodicLoad,BothApps,DispFrames,RT,0.09090909090909091,média
2,128,média,PeriodicLoad,BothApps,DispFrames,RF,0.14228650137741056,média
2,128,máximo,PeriodicLoad,BothApps,DispFrames,RT,0.23553719008264462,máximo
2,128,máximo,PeriodicLoad,BothApps,DispFrames,RF,0.1765840220385675,máximo
2,128,mínimo,PeriodicLoad,BothApps,DispFrames,RT,0.1528925619834711,mínimo
2,128,mínimo,PeriodicLoad,BothApps,DispFrames,RF,0.14817493112947658,mínimo
1,128,PeriodicLoad,BothApps,DispFrames,RT,0.06719367588932806,raw
1,128,PeriodicLoad,BothApps,DispFrames,RF,0.07516469038208165,raw
3,64,PeriodicLoad,BothApps,DispFrames,RT,0.021194605009633914,raw
3,64,PeriodicLoad,BothApps,DispFrames,RF,0.07647719974309572,raw
2,64,média,PeriodicLoad,BothApps,DispFrames,RT,0.0674373795761079,média
2,64,média,PeriodicLoad,BothApps,DispFrames,RF,0.07292870905587664,média
2,64,máximo,PeriodicLoad,BothApps,DispFrames,RT,0.06551059730250482,máximo
2,64,máximo,PeriodicLoad,BothApps,DispFrames,RF,0.08490687219010919,máximo
2,64,mínimo,PeriodicLoad,BothApps,DispFrames,RT,0.06551059730250482,mínimo
2,64,mínimo,PeriodicLoad,BothApps,DispFrames,RF,0.08397559409120102,mínimo
1,64,PeriodicLoad,BothApps,DispFrames,RT,0.0849802371541502,raw
1,64,PeriodicLoad,BothApps,DispFrames,RF,0.07511528326745719,raw
3,32,PeriodicLoad,BothApps,DispFrames,RT,0.1171875,raw
3,32,PeriodicLoad,BothApps,DispFrames,RF,0.08008626302083333,raw
2,32,média,PeriodicLoad,BothApps,DispFrames,RT,0.0625,média
2,32,média,PeriodicLoad,BothApps,DispFrames,RF,0.0772705078125,média
2,32,máximo,PeriodicLoad,BothApps,DispFrames,RT,0.10058593750000001,máximo
2,32,máximo,PeriodicLoad,BothApps,DispFrames,RF,0.07990722656250002,máximo
2,32,mínimo,PeriodicLoad,BothApps,DispFrames,RT,0.083984375,mínimo
2,32,mínimo,PeriodicLoad,BothApps,DispFrames,RF,0.06927897135416666,mínimo
1,32,PeriodicLoad,BothApps,DispFrames,RT,0.11498973305954825,raw
1,32,PeriodicLoad,BothApps,DispFrames,RF,0.1257101300479124,raw
3,16,PeriodicLoad,BothApps,DispFrames,RT,0.13510747185261004,raw
3,16,PeriodicLoad,BothApps,DispFrames,RF,0.11314397816444899,raw
2,16,média,PeriodicLoad,BothApps,DispFrames,RT,0.1105424769703173,média
2,16,média,PeriodicLoad,BothApps,DispFrames,RF,0.11049129989764583,média
2,16,máximo,PeriodicLoad,BothApps,DispFrames,RT,0.10337768679631523,máximo
2,16,máximo,PeriodicLoad,BothApps,DispFrames,RF,0.11022688502217672,máximo
2,16,mínimo,PeriodicLoad,BothApps,DispFrames,RT,0.1443193449334698,mínimo
2,16,mínimo,PeriodicLoad,BothApps,DispFrames,RF,0.11250000000000002,mínimo
1,16,PeriodicLoad,BothApps,DispFrames,RT,0.10846426761277243,raw
1,16,PeriodicLoad,BothApps,DispFrames,RF,0.11007349214394323,raw
3,8,PeriodicLoad,BothApps,DispFrames,RT,0.11172646279797738,raw
