experimento,período,carga,apps,feature,método,nmae,função
2,4,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.09229477956096661,máximo
2,4,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.10204759269507473,mínimo
2,4,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.0927079874561889,mínimo
1,4,FlashcrowdLoad,BothApps,DispFrames,RT,0.11041573535985694,raw
1,4,FlashcrowdLoad,BothApps,DispFrames,RF,0.08974351810460438,raw
2,2,média,FlashcrowdLoad,BothApps,DispFrames,RT,0.06449834619625137,média
2,2,média,FlashcrowdLoad,BothApps,DispFrames,RF,0.06853087100330761,média
2,2,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,0.06590407938257994,máximo
2,2,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,0.06653423220629671,máximo
2,2,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,0.06278941565600882,mínimo
2,2,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,0.06762219772142594,mínimo
1,2,FlashcrowdLoad,BothApps,DispFrames,RT,0.05876110149137016,raw
1,2,FlashcrowdLoad,BothApps,DispFrames,RF,0.06710700255078292,raw
3,256,PeriodicLoad,BothApps,DispFrames,RT,0.10091743119266056,raw
3,256,PeriodicLoad,BothApps,DispFrames,RF,0.034174311926605486,raw
2,256,média,PeriodicLoad,BothApps,DispFrames,RT,0.0,média
2,256,média,PeriodicLoad,BothApps,DispFrames,RF,0.056192660550458746,média
2,256,máximo,PeriodicLoad,BothApps,DispFrames,RT,0.03669724770642202,máximo
2,256,máximo,PeriodicLoad,BothApps,DispFrames,RF,0.08899082568807334,máximo
2,256,mínimo,PeriodicLoad,BothApps,DispFrames,RT,0.23853211009174313,mínimo
2,256,mínimo,PeriodicLoad,BothApps,DispFrames,RF,0.08876146788990828,mínimo
1,256,PeriodicLoad,BothApps,DispFrames,RT,0.09523809523809523,raw
1,256,PeriodicLoad,BothApps,DispFrames,RF,0.0869047619047619,raw
3,128,PeriodicLoad,BothApps,DispFrames,RT,0.18181818181818182,raw
3,128,PeriodicLoad,BothApps,DispFrames,RF,0.1191115702479339,raw
2,128,média,PeriodicLoad,BothApps,DispFrames,RT,0.19008264462809918,média
2,128,média,PeriodicLoad,BothApps,DispFrames,RF,0.15165289256198347,média
2,128,máximo,PeriodicLoad,BothApps,DispFrames,RT,0.09090909090909091,máximo
2,128,máximo,PeriodicLoad,BothApps,DispFrames,RF,0.12221074380165288,máximo
2,128,mínimo,PeriodicLoad,BothApps,DispFrames,RT,0.12809917355371903,mínimo
2,128,mínimo,PeriodicLoad,BothApps,DispFrames,RF,0.13047520661157025,mínimo
1,128,PeriodicLoad,BothApps,DispFrames,RT,0.043478260869565216,raw
1,128,PeriodicLoad,BothApps,DispFrames,RF,0.05711462450592885,raw
3,64,PeriodicLoad,BothApps,DispFrames,RT,0.04431599229287091,raw
3,64,PeriodicLoad,BothApps,DispFrames,RF,0.04595375722543353,raw
2,64,média,PeriodicLoad,BothApps,DispFrames,RT,0.08092485549132948,média
2,64,média,PeriodicLoad,BothApps,DispFrames,RF,0.07010276172125882,média
2,64,máximo,PeriodicLoad,BothApps,DispFrames,RT,0.08092485549132948,máximo
2,64,máximo,PeriodicLoad,BothApps,DispFrames,RF,0.06799935773924215,máximo
2,64,mínimo,PeriodicLoad,BothApps,DispFrames,RT,0.08670520231213873,mínimo
2,64,mínimo,PeriodicLoad,BothApps,DispFrames,RF,0.08047527296082209,mínimo
1,64,PeriodicLoad,BothApps,DispFrames,RT,0.05928853754940711,raw
1,64,PeriodicLoad,BothApps,DispFrames,RF,0.06343873517786562,raw
3,32,PeriodicLoad,BothApps,DispFrames,RT,0.0556640625,raw
3,32,PeriodicLoad,BothApps,DispFrames,RF,0.06554361979166667,raw
2,32,média,PeriodicLoad,BothApps,DispFrames,RT,0.083984375,média
2,32,média,PeriodicLoad,BothApps,DispFrames,RF,0.07465006510416668,média
2,32,máximo,PeriodicLoad,BothApps,DispFrames,RT,0.0556640625,máximo
2,32,máximo,PeriodicLoad,BothApps,DispFrames,RF,0.06904296874999999,máximo
2,32,mínimo,PeriodicLoad,BothApps,DispFrames,RT,0.0859375,mínimo
2,32,mínimo,PeriodicLoad,BothApps,DispFrames,RF,0.07012532552083332,mínimo
1,32,PeriodicLoad,BothApps,DispFrames,RT,0.1457905544147844,raw
1,32,PeriodicLoad,BothApps,DispFrames,RF,0.11859171800136893,raw
3,16,PeriodicLoad,BothApps,DispFrames,RT,0.11566018423746162,raw
3,16,PeriodicLoad,BothApps,DispFrames,RF,0.11023967929034462,raw
2,16,média,PeriodicLoad,BothApps,DispFrames,RT,0.11975435005117707,média
2,16,média,PeriodicLoad,BothApps,DispFrames,RF,0.10689611054247697,média
2,16,máximo,PeriodicLoad,BothApps,DispFrames,RT,0.13357215967246674,máximo
2,16,máximo,PeriodicLoad,BothApps,DispFrames,RF,0.1132164790174002,máximo
2,16,mínimo,PeriodicLoad,BothApps,DispFrames,RT,0.1253838280450358,mínimo
2,16,mínimo,PeriodicLoad,BothApps,DispFrames,RF,0.11504605936540431,mínimo
1,16,PeriodicLoad,BothApps,DispFrames,RT,0.1449569183983781,raw
1,16,PeriodicLoad,BothApps,DispFrames,RF,0.11404375739145126,raw
3,8,PeriodicLoad,BothApps,DispFrames,RT,0.10137250180592344,raw
3,8,PeriodicLoad,BothApps,DispFrames,RF,0.0986094389597881,raw
2,8,média,PeriodicLoad,BothApps,DispFrames,RT,0.10907777510233567,média
2,8,média,PeriodicLoad,BothApps,DispFrames,RF,0.10178786419455817,média
2,8,máximo,PeriodicLoad,BothApps,DispFrames,RT,0.11630146881772215,máximo
2,8,máximo,PeriodicLoad,BothApps,DispFrames,RF,0.10662171923910425,máximo
2,8,mínimo,PeriodicLoad,BothApps,DispFrames,RT,0.12208042379003131,mínimo
2,8,mínimo,PeriodicLoad,BothApps,DispFrames,RF,0.10326872140621238,mínimo
1,8,PeriodicLoad,BothApps,DispFrames,RT,0.11405970910946671,raw
1,8,PeriodicLoad,BothApps,DispFrames,RF,0.10973462618014798,raw
2,4,média,PeriodicLoad,BothApps,DispFrames,RT,0.1117359413202934,média
2,4,média,PeriodicLoad,BothApps,DispFrames,RF,0.10759270578647108,média
2,4,máximo,PeriodicLoad,BothApps,DispFrames,RT,0.12665036674816627,máximo
2,4,máximo,PeriodicLoad,BothApps,DispFrames,RF,0.10941218418907905,máximo
2,4,mínimo,PeriodicLoad,BothApps,DispFrames,RT,0.12090464547677261,mínimo
2,4,mínimo,PeriodicLoad,BothApps,DispFrames,RF,0.10547575387123065,mínimo
1,4,PeriodicLoad,BothApps,DispFrames,RT,0.10066192081928313,raw
1,4,PeriodicLoad,BothApps,DispFrames,RF,0.10639960867574207,raw
2,2,média,PeriodicLoad,BothApps,DispFrames,RT,0.11484217595701814,média
2,2,média,PeriodicLoad,BothApps,DispFrames,RF,0.09347792905549789,média
2,2,máximo,PeriodicLoad,BothApps,DispFrames,RT,0.10611148421759571,máximo
2,2,máximo,PeriodicLoad,BothApps,DispFrames,RF,0.09215407941062743,máximo
2,2,mínimo,PeriodicLoad,BothApps,DispFrames,RT,0.0959155015568716,mínimo
2,2,mínimo,PeriodicLoad,BothApps,DispFrames,RF,0.09011437409691272,mínimo
1,2,PeriodicLoad,BothApps,DispFrames,RT,0.08360265869870113,raw
1,2,PeriodicLoad,BothApps,DispFrames,RF,0.08562361526109316,raw
3,256,FlashcrowdLoad,SingleApp,DispFrames,RT,0.07006369426751592,raw
3,256,FlashcrowdLoad,SingleApp,DispFrames,RF,0.07038216560509554,raw
2,256,média,FlashcrowdLoad,SingleApp,DispFrames,RT,0.07006369426751592,média
2,256,média,FlashcrowdLoad,SingleApp,DispFrames,RF,0.07993630573248407,média
2,256,máximo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.0445859872611465,máximo
2,256,máximo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.08312101910828024,máximo
2,256,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.0445859872611465,mínimo
2,256,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.07123142250530787,mínimo
1,256,FlashcrowdLoad,SingleApp,DispFrames,RT,0.06077348066298342,raw
1,256,FlashcrowdLoad,SingleApp,DispFrames,RF,0.05920810313075506,raw
3,128,FlashcrowdLoad,SingleApp,DispFrames,RT,0.14029850746268657,raw
3,128,FlashcrowdLoad,SingleApp,DispFrames,RF,0.12741293532338308,raw
2,128,média,FlashcrowdLoad,SingleApp,DispFrames,RT,0.12238805970149255,média
2,128,média,FlashcrowdLoad,SingleApp,DispFrames,RF,0.12223880597014926,média
2,128,máximo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.10746268656716418,máximo
2,128,máximo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.08624378109452738,máximo
2,128,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.09850746268656718,mínimo
2,128,mínimo,FlashcrowdLoad,SingleApp,DispFrames,RF,0.09223880597014926,mínimo
1,128,FlashcrowdLoad,SingleApp,DispFrames,RT,0.03151862464183381,raw
1,128,FlashcrowdLoad,SingleApp,DispFrames,RF,0.041141356255969444,raw
3,64,FlashcrowdLoad,SingleApp,DispFrames,RT,0.15407407407407409,raw
3,64,FlashcrowdLoad,SingleApp,DispFrames,RF,0.07853086419753087,raw
2,64,média,FlashcrowdLoad,SingleApp,DispFrames,RT,0.08888888888888889,média
2,64,média,FlashcrowdLoad,SingleApp,DispFrames,RF,0.08376543209876541,média
2,64,máximo,FlashcrowdLoad,SingleApp,DispFrames,RT,0.08592592592592592,máximo
