k,regression_tree_WritesAvg_minimal_univariate_nmae,regression_tree_WritesAvg_minimal_univariate_training_time,random_forest_WritesAvg_minimal_univariate_nmae,random_forest_WritesAvg_minimal_univariate_training_time,
4,0.028242999207136573,0.0010151863098144531, 0.019652656430435466,0.0010151863098144531,
5,0.036079162249441125,0.0011179447174072266, 0.022949598238796665,0.0011179447174072266,
1,0.02304195852173037,0.0007765293121337891, 0.022219101512820874,0.0007765293121337891,
1,0.02304195852173037,0.0008165836334228516, 0.022219101512820874,0.0008165836334228516,
2,0.028868276043588322,0.0008218288421630859, 0.022431178893032064,0.0008218288421630859,
1,0.02304195852173037,0.0008127689361572266, 0.022219101512820874,0.0008127689361572266,
1,0.02304195852173037,0.0006499290466308594, 0.022219101512820874,0.0006499290466308594,
5,0.036079162249441125,0.0009183883666992188, 0.022949598238796685,0.0009183883666992188,
2,0.028868276043588322,0.0008013248443603516, 0.022431178893032064,0.0008013248443603516,
6,0.03968120209783661,0.0009751319885253906, 0.028384551771672328,0.0009751319885253906,
2,0.028868276043588322,0.0010669231414794922, 0.022431178893032064,0.0010669231414794922,
2,0.028868276043588322,0.0007810592651367188, 0.022431178893032106,0.0007810592651367188,
3,0.03365403832352047,0.0009036064147949219, 0.030442984207958507,0.0009036064147949219,
2,0.028868276043588322,0.0008237361907958984, 0.022431178893032064,0.0008237361907958984,
6,0.04216330002988899,0.0009508132934570312, 0.028384551771672328,0.0009508132934570312,
3,0.04194405450891091,0.0009548664093017578, 0.03044298420795855,0.0009548664093017578,
7,0.032148552412804406,0.0009520053863525391, 0.02280169824299297,0.0009520053863525391,
3,0.03365403832352047,0.0009045600891113281, 0.030442984207958657,0.0009045600891113281,
4,0.02446093939695846,0.0009636878967285156, 0.019652656430435574,0.0009636878967285156,
3,0.03365403832352047,0.0009021759033203125, 0.03044298420795853,0.0009021759033203125,
3,0.03365403832352047,0.0008945465087890625, 0.03044298420795855,0.0008945465087890625,
7,0.032594053345567316,0.0008740425109863281, 0.022801698242992927,0.0008740425109863281,
4,0.028242999207136573,0.0009181499481201172, 0.01965265643043551,0.0009181499481201172,
4,0.02446093939695846,0.0011272430419921875, 0.019652656430435532,0.0011272430419921875,
8,0.036188188423478554,0.0010976791381835938, 0.024071019192384573,0.0010976791381835938,
5,0.036079162249441125,0.0009632110595703125, 0.022949598238796623,0.0009632110595703125,
4,0.03014894377351666,0.0009059906005859375, 0.01965265643043551,0.0009059906005859375,
4,0.02446093939695846,0.0010845661163330078, 0.01965265643043551,0.0010845661163330078,
8,0.03588378018652874,0.000957489013671875, 0.024071019192384573,0.000957489013671875,
5,0.03663518082237056,0.0010008811950683594, 0.022949598238796578,0.0010008811950683594,
5,0.03456144631646644,0.0008974075317382812, 0.0229495982387966,0.0008974075317382812,
9,0.03764728973757952,0.00093841552734375, 0.02421577468043311,0.00093841552734375,
6,0.039951008320591244,0.0009260177612304688, 0.02838455177167237,0.0009260177612304688,
5,0.03400542774353701,0.0008106231689453125, 0.022949598238796623,0.0008106231689453125,
5,0.036079162249441125,0.0008425712585449219, 0.022949598238796665,0.0008425712585449219,
9,0.027325747537738584,0.0009365081787109375, 0.02421577468043311,0.0009365081787109375,
6,0.041051262884030125,0.0009753704071044922, 0.028384551771672328,0.0009753704071044922,
10,0.032594053345567316,0.0010998249053955078, 0.02394490205939647,0.0010998249053955078,
6,0.04216330002988899,0.0009565353393554688, 0.02838455177167222,0.0009565353393554688,
7,0.029666454480752034,0.001024484634399414, 0.02280169824299295,0.001024484634399414,
6,0.03968120209783661,0.0008542537689208984, 0.02838455177167235,0.0008542537689208984,
6,0.03968120209783661,0.0009047985076904297, 0.02838455177167235,0.0009047985076904297,
10,0.02899887424136576,0.0009360313415527344, 0.023944902059396384,0.0009360313415527344,
7,0.030492279276436097,0.0010080337524414062, 0.02280169824299291,0.0010080337524414062,
11,0.02946585228638774,0.0009489059448242188, 0.024036207130042814,0.0009489059448242188,
7,0.030222473053681465,0.0009453296661376953, 0.02280169824299295,0.0009453296661376953,
8,0.030504956738533484,0.0008032321929931641, 0.024071019192384552,0.0008032321929931641,
7,0.029666454480752034,0.0009813308715820312, 0.02280169824299295,0.0009813308715820312,
7,0.036188188423478554,0.0011234283447265625, 0.022801698242992864,0.0011234283447265625,
11,0.03148097217341814,0.0008945465087890625, 0.024036207130042876,0.0008945465087890625,
8,0.029666454480752034,0.0010461807250976562, 0.024071019192384573,0.0010461807250976562,
12,0.02934086742476898,0.0009343624114990234, 0.02464792823422917,0.0009343624114990234,
8,0.03315007191849675,0.0009393692016601562, 0.02407101919238453,0.0009393692016601562,
9,0.03688529969222108,0.0008420944213867188, 0.02421577468043311,0.0008420944213867188,
8,0.029666454480752034,0.0010423660278320312, 0.024071019192384593,0.0010423660278320312,
12,0.030275569247877516,0.0009138584136962891, 0.024647928234229125,0.0009138584136962891,
8,0.033401682254476366,0.0009624958038330078, 0.024071019192384552,0.0009624958038330078,
9,0.03270457098573384,0.0009286403656005859, 0.02421577468043311,0.0009286403656005859,
13,0.03182296535682135,0.0009672641754150391, 0.02498565209583746,0.0009672641754150391,
9,0.02899887424136576,0.0008196830749511719, 0.02421577468043311,0.0008196830749511719,
10,0.038811379051344026,0.0009665489196777344, 0.023944902059396426,0.0009665489196777344,
9,0.028260449360847123,0.0009551048278808594, 0.02421577468043309,0.0009551048278808594,
13,0.026983754354335365,0.0010907649993896484, 0.024985652095837477,0.0010907649993896484,
9,0.02980784546979096,0.0007989406585693359, 0.02421577468043311,0.0007989406585693359,
10,0.038811379051344026,0.0010726451873779297, 0.023944902059396384,0.0010726451873779297,
10,0.03460917323259771,0.0008807182312011719, 0.023944902059396447,0.0008807182312011719,
14,0.03148097217341814,0.0011811256408691406, 0.02632078771684148,0.0011811256408691406,
11,0.030623379149184213,0.0010128021240234375, 0.024036207130042835,0.0010128021240234375,
10,0.02899887424136576,0.0008873939514160156, 0.023944902059396405,0.0008873939514160156,
14,0.03261627619089096,0.0009472370147705078, 0.026320787716841394,0.0009472370147705078,
10,0.02899887424136576,0.0007309913635253906, 0.023944902059396426,0.0007309913635253906,
11,0.03168157436778243,0.0010035037994384766, 0.024036207130042852,0.0010035037994384766,
11,0.03820330831050894,0.0008881092071533203, 0.024036207130042852,0.0008881092071533203,
15,0.02980784546979096,0.0011625289916992188, 0.02477160557720808,0.0011625289916992188,
12,0.02899887424136576,0.000885009765625, 0.024647928234229188,0.000885009765625,
11,0.032845663681546934,0.0009238719940185547, 0.024036207130042814,0.0009238719940185547,
15,0.02899887424136576,0.0008261203765869141, 0.024771605577207995,0.0008261203765869141,
11,0.03709127116465009,0.0008134841918945312, 0.024036207130042852,0.0008134841918945312,
16,0.02934086742476898,0.0010514259338378906, 0.024932276251742273,0.0010514259338378906,
12,0.030275569247877516,0.0010259151458740234, 0.024647928234229125,0.0010259151458740234,
12,0.03217077525812805,0.0009617805480957031, 0.02464792823422917,0.0009617805480957031,
13,0.030275569247877516,0.0008771419525146484, 0.024985652095837477,0.0008771419525146484,
12,0.029688677326075677,0.0009219646453857422, 0.024647928234229146,0.0009219646453857422,
16,0.02899887424136576,0.00099945068359375, 0.02493227625174229,0.00099945068359375,
12,0.02992775934657082,0.0010538101196289062, 0.024647928234229146,0.0010538101196289062,
13,0.03168157436778243,0.0011448860168457031, 0.02498565209583746,0.0011448860168457031,
13,0.029688677326075677,0.0010154247283935547, 0.024985652095837477,0.0010154247283935547,
14,0.03143965856164202,0.001150369644165039, 0.026320787716841456,0.001150369644165039,
13,0.02899887424136576,0.0009784698486328125, 0.024985652095837477,0.0009784698486328125,
13,0.027325747537738584,0.0008387565612792969, 0.02498565209583744,0.0008387565612792969,
14,0.02934086742476898,0.0009188652038574219, 0.026320787716841456,0.0009188652038574219,
14,0.029688677326075677,0.0009624958038330078, 0.026320787716841435,0.0009624958038330078,
15,0.029666454480752034,0.0009789466857910156, 0.024771605577208013,0.0009789466857910156,
14,0.03275766717992989,0.0010094642639160156, 0.02632078771684148,0.0010094642639160156,
14,0.03709127116465009,0.0009849071502685547, 0.026320787716841435,0.0009849071502685547,
15,0.03298705467058586,0.0010132789611816406, 0.024771605577208058,0.0010132789611816406,
15,0.02899887424136576,0.0010156631469726562, 0.02477160557720808,0.0010156631469726562,
16,0.03275766717992989,0.0011622905731201172, 0.02493227625174229,0.0011622905731201172,
15,0.030275569247877516,0.001062631607055664, 0.024771605577208013,0.001062631607055664,
15,0.030504956738533484,0.000888824462890625, 0.02477160557720808,0.000888824462890625,
16,0.03168157436778243,0.0011451244354248047, 0.02493227625174229,0.0011451244354248047,
16,0.02934086742476898,0.0009219646453857422, 0.024932276251742273,0.0009219646453857422,
16,0.02934086742476898,0.0009024143218994141, 0.024932276251742273,0.0009024143218994141,
16,0.027325747537738584,0.0010197162628173828, 0.02493227625174229,0.0010197162628173828,
