k,regression_tree_noAudioPlayed_minimal_univariate_nmae,regression_tree_noAudioPlayed_minimal_univariate_training_time,random_forest_noAudioPlayed_minimal_univariate_nmae,random_forest_noAudioPlayed_minimal_univariate_training_time,
3,0.12,0.0008955001831054688, 0.12665281385281382,0.0008955001831054688,
4,0.12,0.0010828971862792969, 0.12665281385281382,0.0010828971862792969,
4,0.12,0.00098419189453125, 0.12665281385281382,0.00098419189453125,
4,0.12,0.0008924007415771484, 0.12665281385281382,0.0008924007415771484,
8,0.12,0.0009739398956298828, 0.12665281385281382,0.0009739398956298828,
6,0.12,0.0008707046508789062, 0.12665281385281382,0.0008707046508789062,
1,0.12,0.0008389949798583984, 0.12665281385281382,0.0008389949798583984,
4,0.12,0.0009310245513916016, 0.12665281385281382,0.0009310245513916016,
5,0.12,0.0007359981536865234, 0.12665281385281382,0.0007359981536865234,
5,0.12,0.0008804798126220703, 0.12665281385281382,0.0008804798126220703,
7,0.12,0.0009188652038574219, 0.12665281385281382,0.0009188652038574219,
9,0.1309090909090909,0.0008325576782226562, 0.13272976518431062,0.0008325576782226562,
5,0.12,0.0010488033294677734, 0.12665281385281382,0.0010488033294677734,
2,0.12,0.0007715225219726562, 0.12665281385281382,0.0007715225219726562,
5,0.12,0.0009493827819824219, 0.12665281385281382,0.0009493827819824219,
6,0.12,0.0009789466857910156, 0.12665281385281382,0.0009789466857910156,
6,0.12,0.000957489013671875, 0.12665281385281382,0.000957489013671875,
6,0.12,0.0009169578552246094, 0.12665281385281382,0.0009169578552246094,
8,0.12,0.0009021759033203125, 0.12665281385281382,0.0009021759033203125,
10,0.1309090909090909,0.0011186599731445312, 0.13265467865467867,0.0011186599731445312,
3,0.12,0.0008924007415771484, 0.12665281385281382,0.0008924007415771484,
6,0.12,0.0009222030639648438, 0.12665281385281382,0.0009222030639648438,
7,0.12,0.0008931159973144531, 0.12665281385281382,0.0008931159973144531,
7,0.12,0.0008900165557861328, 0.12665281385281382,0.0008900165557861328,
7,0.12,0.0008840560913085938, 0.12665281385281382,0.0008840560913085938,
11,0.1309090909090909,0.0012173652648925781, 0.13242609797609797,0.0012173652648925781,
9,0.1309090909090909,0.0011525154113769531, 0.13272976518431062,0.0011525154113769531,
4,0.12,0.0008258819580078125, 0.12665281385281382,0.0008258819580078125,
