k,regression_tree_DispFrames_minimal_univariate_nmae,regression_tree_DispFrames_minimal_univariate_training_time,random_forest_DispFrames_minimal_univariate_nmae,random_forest_DispFrames_minimal_univariate_training_time,
3,0.0,0.0010752677917480469, 0.0,0.0010752677917480469,
2,0.0,0.00099945068359375, 0.0,0.00099945068359375,
3,0.0,0.0008251667022705078, 0.0,0.0008251667022705078,
1,0.0,0.0007433891296386719, 0.0,0.0007433891296386719,
3,0.0,0.0010139942169189453, 0.0,0.0010139942169189453,
1,0.0,0.0008490085601806641, 0.0,0.0008490085601806641,
3,0.0,0.0010142326354980469, 0.0,0.0010142326354980469,
3,0.0,0.0008800029754638672, 0.0,0.0008800029754638672,
4,0.0,0.0008649826049804688, 0.0,0.0008649826049804688,
4,0.0,0.0008838176727294922, 0.0,0.0008838176727294922,
2,0.0,0.0007977485656738281, 0.0,0.0007977485656738281,
4,0.0,0.0007557868957519531, 0.0,0.0007557868957519531,
2,0.0,0.0007188320159912109, 0.0,0.0007188320159912109,
4,0.0,0.0007224082946777344, 0.0,0.0007224082946777344,
4,0.0,0.0008673667907714844, 0.0,0.0008673667907714844,
5,0.0,0.0007939338684082031, 0.0,0.0007939338684082031,
5,0.0,0.0008838176727294922, 0.0,0.0008838176727294922,
3,0.0,0.0009489059448242188, 0.0,0.0009489059448242188,
5,0.0,0.0008854866027832031, 0.0,0.0008854866027832031,
3,0.0,0.0010213851928710938, 0.0,0.0010213851928710938,
5,0.0,0.001018524169921875, 0.0,0.001018524169921875,
6,0.013888888888888888,0.0009992122650146484, 0.002777777777777768,0.0009992122650146484,
5,0.0,0.0008957386016845703, 0.0,0.0008957386016845703,
6,0.0,0.0009398460388183594, 0.002777777777777768,0.0009398460388183594,
4,0.0,0.0010230541229248047, 0.0,0.0010230541229248047,
6,0.0,0.0009071826934814453, 0.002777777777777768,0.0009071826934814453,
4,0.0,0.0009691715240478516, 0.0,0.0009691715240478516,
6,0.013888888888888888,0.0009734630584716797, 0.002777777777777768,0.0009734630584716797,
6,0.013888888888888888,0.0008997917175292969, 0.002777777777777768,0.0008997917175292969,
7,0.0,0.0010945796966552734, 0.0024884259259259573,0.0010945796966552734,
7,0.0,0.0010097026824951172, 0.0024884259259259573,0.0010097026824951172,
5,0.0,0.0007748603820800781, 0.0,0.0007748603820800781,
5,0.0,0.0007634162902832031, 0.0,0.0007634162902832031,
7,0.013888888888888888,0.0008728504180908203, 0.0024884259259259573,0.0008728504180908203,
7,0.0,0.000881195068359375, 0.0024884259259259573,0.000881195068359375,
8,0.0,0.0009922981262207031, 0.002662037037037034,0.0009922981262207031,
7,0.013888888888888888,0.0007522106170654297, 0.0024884259259259573,0.0007522106170654297,
8,0.0,0.0008113384246826172, 0.002662037037037034,0.0008113384246826172,
6,0.0,0.0008244514465332031, 0.002777777777777768,0.0008244514465332031,
8,0.0,0.0008723735809326172, 0.002662037037037034,0.0008723735809326172,
6,0.0,0.0008890628814697266, 0.002777777777777768,0.0008890628814697266,
8,0.0,0.000827789306640625, 0.002662037037037034,0.000827789306640625,
9,0.013888888888888888,0.0008070468902587891, 0.003240740740740754,0.0008070468902587891,
8,0.0,0.0007729530334472656, 0.002662037037037034,0.0007729530334472656,
9,0.0,0.0009534358978271484, 0.003240740740740754,0.0009534358978271484,
7,0.0,0.0009789466857910156, 0.0024884259259259573,0.0009789466857910156,
9,0.013888888888888888,0.0008187294006347656, 0.003240740740740754,0.0008187294006347656,
7,0.013888888888888888,0.0007686614990234375, 0.0024884259259259573,0.0007686614990234375,
9,0.013888888888888888,0.0007596015930175781, 0.003240740740740754,0.0007596015930175781,
10,0.0,0.0007753372192382812, 0.0030092592592592857,0.0007753372192382812,
9,0.0,0.0008187294006347656, 0.003240740740740754,0.0008187294006347656,
10,0.013888888888888888,0.0008366107940673828, 0.0030092592592592857,0.0008366107940673828,
8,0.0,0.0008962154388427734, 0.002662037037037034,0.0008962154388427734,
10,0.013888888888888888,0.0009274482727050781, 0.0030092592592592857,0.0009274482727050781,
8,0.0,0.001012563705444336, 0.002662037037037034,0.001012563705444336,
11,0.013888888888888888,0.0007936954498291016, 0.002662037037037034,0.0007936954498291016,
10,0.013888888888888888,0.0008051395416259766, 0.0030092592592592857,0.0008051395416259766,
10,0.0,0.0010194778442382812, 0.0030092592592592857,0.0010194778442382812,
11,0.013888888888888888,0.000820159912109375, 0.002662037037037034,0.000820159912109375,
9,0.013888888888888888,0.0009281635284423828, 0.003240740740740754,0.0009281635284423828,
11,0.0,0.0010013580322265625, 0.002662037037037034,0.0010013580322265625,
9,0.0,0.0008637905120849609, 0.003240740740740754,0.0008637905120849609,
11,0.0,0.0007741451263427734, 0.002662037037037034,0.0007741451263427734,
12,0.006944444444444444,0.0008001327514648438, 0.0031828703703703867,0.0008001327514648438,
11,0.0,0.0009405612945556641, 0.002662037037037034,0.0009405612945556641,
12,0.0,0.0008182525634765625, 0.0031828703703703867,0.0008182525634765625,
10,0.0,0.0007712841033935547, 0.0030092592592592857,0.0007712841033935547,
12,0.0,0.0008647441864013672, 0.0031828703703703867,0.0008647441864013672,
10,0.0,0.0007712841033935547, 0.0030092592592592857,0.0007712841033935547,
12,0.006944444444444444,0.000797271728515625, 0.0031828703703703867,0.000797271728515625,
13,0.006944444444444444,0.000766754150390625, 0.0034143518518518555,0.000766754150390625,
12,0.0,0.0009047985076904297, 0.0031828703703703867,0.0009047985076904297,
13,0.0,0.0009119510650634766, 0.0034143518518518555,0.0009119510650634766,
11,0.013888888888888888,0.0009257793426513672, 0.002662037037037034,0.0009257793426513672,
14,0.006944444444444444,0.0008180141448974609, 0.0035300925925925894,0.0008180141448974609,
13,0.0,0.0007185935974121094, 0.0034143518518518555,0.0007185935974121094,
13,0.006944444444444444,0.0009329319000244141, 0.0034143518518518555,0.0009329319000244141,
11,0.006944444444444444,0.0010886192321777344, 0.002662037037037034,0.0010886192321777344,
13,0.013888888888888888,0.0008840560913085938, 0.0034143518518518555,0.0008840560913085938,
14,0.006944444444444444,0.0009415149688720703, 0.0035300925925925894,0.0009415149688720703,
12,0.0,0.0009627342224121094, 0.0031828703703703867,0.0009627342224121094,
15,0.006944444444444444,0.0008022785186767578, 0.004224537037037043,0.0008022785186767578,
14,0.006944444444444444,0.0007374286651611328, 0.0035300925925925894,0.0007374286651611328,
14,0.006944444444444444,0.0009171962738037109, 0.0035300925925925894,0.0009171962738037109,
12,0.013888888888888888,0.0010483264923095703, 0.0031828703703703867,0.0010483264923095703,
14,0.0,0.0008661746978759766, 0.0035300925925925894,0.0008661746978759766,
15,0.006944444444444444,0.0009233951568603516, 0.004224537037037043,0.0009233951568603516,
13,0.006944444444444444,0.000865936279296875, 0.0034143518518518555,0.000865936279296875,
16,0.0,0.0007898807525634766, 0.0030092592592592606,0.0007898807525634766,
15,0.0,0.0007646083831787109, 0.004224537037037043,0.0007646083831787109,
15,0.006944444444444444,0.0007464885711669922, 0.004224537037037043,0.0007464885711669922,
