switch,regression_tree_DispFrames_nmae,time_to_train_regression_tree_s,random_forest_DispFrames_nmae,time_to_train_random_forest_s,
SWC1,0.0,0.0008504390716552734,0.0003472222222222025,0.0008504390716552734,
SWC1,0.0,0.0009853839874267578,0.0003472222222222025,0.0009853839874267578,
SWC1,0.0,0.0007970333099365234,0.0003472222222222025,0.0007970333099365234,
SWC1,0.0,0.0009775161743164062,0.0003472222222222025,0.0009775161743164062,
SWC1,0.0,0.0009675025939941406,0.0003472222222222025,0.0009675025939941406,
SWC1,0.0,0.001211404800415039,0.0003472222222222025,0.001211404800415039,
SWC1,0.0,0.0012116432189941406,0.0003472222222222025,0.0012116432189941406,
SWC2,0.0029761904761905398,0.0008072853088378906,0.0032490079365083227,0.0008072853088378906,
SWC2,0.0029761904761905398,0.000888824462890625,0.003249007936508471,0.000888824462890625,
SWC2,0.0029761904761905398,0.0008821487426757812,0.0032490079365083227,0.0008821487426757812,
SWC2,0.0029761904761905398,0.0007550716400146484,0.0032490079365083227,0.0007550716400146484,
SWC2,0.0029761904761905398,0.0010192394256591797,0.0032490079365083227,0.0010192394256591797,
SWC2,0.0029761904761905398,0.0009095668792724609,0.0032490079365081748,0.0009095668792724609,
SWC2,0.0029761904761905398,0.0009510517120361328,0.0032490079365083227,0.0009510517120361328,
SWC3,0.0029761904761905398,0.0007107257843017578,0.0032490079365083227,0.0007107257843017578,
SWC3,0.0029761904761905398,0.0006771087646484375,0.0032490079365083227,0.0006771087646484375,
SWC3,0.0029761904761905398,0.0006971359252929688,0.0032490079365083227,0.0006971359252929688,
SWC3,0.0029761904761905398,0.0009675025939941406,0.0032490079365083227,0.0009675025939941406,
SWC3,0.0029761904761905398,0.0008842945098876953,0.0032490079365083227,0.0008842945098876953,
SWC3,0.0029761904761905398,0.0006206035614013672,0.0032490079365083227,0.0006206035614013672,
SWC3,0.0029761904761905398,0.0007512569427490234,0.0032490079365083227,0.0007512569427490234,
SWC4,0.0032051282051281937,0.0009975433349609375,0.00347433816183799,0.0009975433349609375,
SWC4,0.0032051282051281937,0.0009324550628662109,0.0034743381618382863,0.0009324550628662109,
SWC4,0.0032051282051281937,0.0008988380432128906,0.0034743381618382863,0.0008988380432128906,
SWC4,0.0032051282051281937,0.0007884502410888672,0.003474338161838434,0.0007884502410888672,
SWC4,0.0032051282051281937,0.0009436607360839844,0.00347433816183799,0.0009436607360839844,
SWC4,0.0032051282051281937,0.0007386207580566406,0.0034743381618382863,0.0007386207580566406,
SWC4,0.0032051282051281937,0.00083160400390625,0.0034743381618382863,0.00083160400390625,
SWA1,0.0,0.0007936954498291016,0.004050925925925942,0.0007936954498291016,
SWA1,0.0,0.0008959770202636719,0.004050925925925942,0.0008959770202636719,
SWA1,0.0,0.0007424354553222656,0.004050925925925942,0.0007424354553222656,
SWA1,0.0,0.0006821155548095703,0.004050925925925942,0.0006821155548095703,
SWA1,0.0,0.0009472370147705078,0.004050925925925942,0.0009472370147705078,
SWA1,0.0,0.0008265972137451172,0.004050925925925942,0.0008265972137451172,
SWA1,0.0,0.0007658004760742188,0.004050925925925942,0.0007658004760742188,
SWA2,0.005555555555555536,0.0008230209350585938,0.005960831863609763,0.0008230209350585938,
SWA2,0.005555555555555536,0.0006995201110839844,0.005960831863609763,0.0006995201110839844,
SWA2,0.005555555555555536,0.0007557868957519531,0.005960831863609763,0.0007557868957519531,
SWA2,0.005555555555555536,0.0007796287536621094,0.005960831863609763,0.0007796287536621094,
SWA2,0.005555555555555536,0.0006880760192871094,0.005960831863609665,0.0006880760192871094,
SWA2,0.005555555555555536,0.0008208751678466797,0.005960831863609763,0.0008208751678466797,
SWA2,0.005555555555555536,0.0008161067962646484,0.005960831863609763,0.0008161067962646484,
SWA3,0.0029761904761905398,0.0008537769317626953,0.0032490079365083227,0.0008537769317626953,
SWA3,0.0029761904761905398,0.0007429122924804688,0.0032490079365083227,0.0007429122924804688,
SWA3,0.0029761904761905398,0.0008416175842285156,0.0032490079365083227,0.0008416175842285156,
SWA3,0.0029761904761905398,0.0007336139678955078,0.0032490079365083227,0.0007336139678955078,
SWA3,0.0029761904761905398,0.0006916522979736328,0.0032490079365083227,0.0006916522979736328,
SWA3,0.0029761904761905398,0.0009169578552246094,0.0032490079365083227,0.0009169578552246094,
SWA3,0.0029761904761905398,0.00080108642578125,0.0032490079365083227,0.00080108642578125,
SWA4,0.0032051282051281937,0.0009257793426513672,0.003474338161838434,0.0009257793426513672,
SWA4,0.0032051282051281937,0.0007915496826171875,0.00347433816183799,0.0007915496826171875,
SWA4,0.0032051282051281937,0.0008854866027832031,0.003474338161838434,0.0008854866027832031,
SWA4,0.0032051282051281937,0.0010216236114501953,0.0034743381618382863,0.0010216236114501953,
SWA4,0.0032051282051281937,0.0010485649108886719,0.0034743381618382863,0.0010485649108886719,
SWA4,0.0032051282051281937,0.0007224082946777344,0.003474338161838434,0.0007224082946777344,
SWA4,0.0032051282051281937,0.0009181499481201172,0.0034743381618382863,0.0009181499481201172,
SWA5,0.0,0.0009438991546630859,5.7870370370367086e-05,0.0009438991546630859,
SWA5,0.0,0.0008440017700195312,5.7870370370367086e-05,0.0008440017700195312,
SWA5,0.0,0.0007505416870117188,5.7870370370367086e-05,0.0007505416870117188,
SWA5,0.0,0.0006694793701171875,5.7870370370367086e-05,0.0006694793701171875,
SWA5,0.0,0.0007596015930175781,5.7870370370367086e-05,0.0007596015930175781,
SWA5,0.0,0.0010271072387695312,5.7870370370367086e-05,0.0010271072387695312,
SWA5,0.0,0.0008332729339599609,5.7870370370367086e-05,0.0008332729339599609,
SWA6,0.0029761904761905398,0.0007569789886474609,0.0032490079365083227,0.0007569789886474609,
SWA6,0.0029761904761905398,0.001033782958984375,0.0032490079365083227,0.001033782958984375,
SWA6,0.0029761904761905398,0.0008025169372558594,0.0032490079365083227,0.0008025169372558594,
