k,regression_tree_WritesAvg_minimal_univariate_nmae,regression_tree_WritesAvg_minimal_univariate_training_time,random_forest_WritesAvg_minimal_univariate_nmae,random_forest_WritesAvg_minimal_univariate_training_time,
1,0.0667467573424013,0.0007598400115966797, 0.06879746587698006,0.0007598400115966797,
3,0.0667467573424013,0.0007917881011962891, 0.06879746587698031,0.0007917881011962891,
1,0.0667467573424013,0.0008590221405029297, 0.06879746587698013,0.0008590221405029297,
1,0.0667467573424013,0.0006759166717529297, 0.06879746587698031,0.0006759166717529297,
1,0.0667467573424013,0.0007026195526123047, 0.06879746587698031,0.0007026195526123047,
6,0.06924276215467443,0.0007278919219970703, 0.07150523131370712,0.0007278919219970703,
6,0.06924276215467443,0.0009424686431884766, 0.07150523131370713,0.0009424686431884766,
2,0.0667467573424013,0.0007390975952148438, 0.06879746587698031,0.0007390975952148438,
2,0.0667467573424013,0.0008287429809570312, 0.06879746587698031,0.0008287429809570312,
4,0.06410903704500158,0.0008258819580078125, 0.06663642343819544,0.0008258819580078125,
2,0.0667467573424013,0.0008351802825927734, 0.06879746587698038,0.0008351802825927734,
2,0.0667467573424013,0.0008456707000732422, 0.06879746587698006,0.0008456707000732422,
3,0.0667467573424013,0.0006625652313232422, 0.06879746587698006,0.0006625652313232422,
7,0.07290963909457654,0.0007455348968505859, 0.06481557678610742,0.0007455348968505859,
3,0.0667467573424013,0.0008192062377929688, 0.06879746587698013,0.0008192062377929688,
7,0.05701029442830471,0.0010912418365478516, 0.06481557678610739,0.0010912418365478516,
5,0.033270115011376104,0.0008487701416015625, 0.05468196189376268,0.0008487701416015625,
3,0.0667467573424013,0.0008275508880615234, 0.06879746587698031,0.0008275508880615234,
8,0.0702748930542923,0.0007355213165283203, 0.0723246443932866,0.0007355213165283203,
3,0.0667467573424013,0.0010347366333007812, 0.06879746587698031,0.0010347366333007812,
4,0.06410903704500158,0.001003265380859375, 0.06663642343819544,0.001003265380859375,
4,0.06410903704500158,0.0008580684661865234, 0.06663642343819544,0.0008580684661865234,
8,0.09121509783256901,0.0010249614715576172, 0.07232464439328656,0.0010249614715576172,
6,0.07327734942356988,0.0008699893951416016, 0.07150523131370712,0.0008699893951416016,
4,0.06410903704500166,0.0008451938629150391, 0.06663642343819536,0.0008451938629150391,
4,0.06410903704500166,0.0007331371307373047, 0.06663642343819544,0.0007331371307373047,
9,0.07185486413417444,0.0009303092956542969, 0.07144570421714216,0.0009303092956542969,
5,0.033270115011376104,0.0009970664978027344, 0.05468196189376268,0.0009970664978027344,
5,0.033270115011376104,0.000751495361328125, 0.05468196189376268,0.000751495361328125,
9,0.09827200980794629,0.0007822513580322266, 0.07144570421714216,0.0007822513580322266,
7,0.06856767696187417,0.0009112358093261719, 0.06481557678610739,0.0009112358093261719,
5,0.033270115011376104,0.0009758472442626953, 0.05468196189376268,0.0009758472442626953,
5,0.033270115011376104,0.0009822845458984375, 0.05468196189376268,0.0009822845458984375,
10,0.06089849880103355,0.0009257793426513672, 0.07173980552209264,0.0009257793426513672,
10,0.05569109527422837,0.0010073184967041016, 0.07173980552209262,0.0010073184967041016,
6,0.06924276215467443,0.0010759830474853516, 0.07150523131370712,0.0010759830474853516,
6,0.06755015513372997,0.0010890960693359375, 0.07150523131370712,0.0010890960693359375,
8,0.0697402010383544,0.0009462833404541016, 0.0723246443932866,0.0009462833404541016,
6,0.06755015513372997,0.0009319782257080078, 0.07150523131370713,0.0009319782257080078,
11,0.08609680964175348,0.0007929801940917969, 0.07006069728318998,0.0007929801940917969,
7,0.06611627476858503,0.0007772445678710938, 0.06481557678610737,0.0007772445678710938,
7,0.07713896528621661,0.0007431507110595703, 0.06481557678610735,0.0007431507110595703,
6,0.06755015513372997,0.0009315013885498047, 0.07150523131370713,0.0009315013885498047,
11,0.0930646062811411,0.0011339187622070312, 0.07006069728318993,0.0011339187622070312,
9,0.08698577164092894,0.0008833408355712891, 0.07144570421714218,0.0008833408355712891,
7,0.07237494707863865,0.000997304916381836, 0.06481557678610739,0.000997304916381836,
8,0.07542838910735948,0.0007469654083251953, 0.07232464439328659,0.0007469654083251953,
