switch,regression_tree_WritesAvg_nmae,time_to_train_regression_tree_s,random_forest_WritesAvg_nmae,time_to_train_random_forest_s,
SWA5,0.17751295434518904,0.0008192062377929688,0.17105858307200372,0.0008192062377929688,
SWA4,0.15881564373267965,0.001081228256225586,0.15858578451663838,0.001081228256225586,
SWC1,0.17751002306534897,0.0008950233459472656,0.1701160565908638,0.0008950233459472656,
SWC3,0.15740330044631565,0.0008108615875244141,0.15717109741448862,0.0008108615875244141,
SWC4,0.15881564373267965,0.0008747577667236328,0.15858578451663838,0.0008747577667236328,
SWC1,0.17751002306534897,0.0011126995086669922,0.1701160565908638,0.0011126995086669922,
SWA6,0.15740330044631565,0.0009789466857910156,0.15717109741448862,0.0009789466857910156,
SWA1,0.18019928114822564,0.0008451938629150391,0.17635719212449197,0.0008451938629150391,
SWC2,0.15740330044631565,0.0008268356323242188,0.15717109741448862,0.0008268356323242188,
SWC4,0.15881564373267965,0.0007832050323486328,0.15858578451663838,0.0007832050323486328,
SWA5,0.17751295434518904,0.0011820793151855469,0.17105858307200372,0.0011820793151855469,
SWC2,0.15740330044631565,0.0008666515350341797,0.15717109741448856,0.0008666515350341797,
SWA1,0.18019928114822564,0.0008616447448730469,0.176357192124492,0.0008616447448730469,
SWC3,0.15740330044631565,0.0006957054138183594,0.15717109741448862,0.0006957054138183594,
SWB1,0.1048091851526343,0.0009381771087646484,0.12445840569133909,0.0009381771087646484,
SWA6,0.15740330044631565,0.0008656978607177734,0.15717109741448854,0.0008656978607177734,
SWA2,0.17317542486352341,0.000919342041015625,0.1748945302148258,0.000919342041015625,
SWA1,0.18019928114822564,0.0008084774017333984,0.176357192124492,0.0008084774017333984,
SWC3,0.15740330044631565,0.0009248256683349609,0.15717109741448862,0.0009248256683349609,
SWA3,0.15740330044631565,0.0007567405700683594,0.15717109741448862,0.0007567405700683594,
SWC4,0.15881564373267965,0.0008337497711181641,0.15858578451663838,0.0008337497711181641,
SWA2,0.17317542486352341,0.0007963180541992188,0.17489453021482582,0.0007963180541992188,
SWB2,0.1109671668619579,0.0008797645568847656,0.12320046606499817,0.0008797645568847656,
SWB1,0.1048091851526343,0.001043081283569336,0.12445840569133909,0.001043081283569336,
SWA2,0.17317542486352341,0.000797271728515625,0.17489453021482582,0.000797271728515625,
SWC4,0.15881564373267965,0.0009891986846923828,0.15858578451663838,0.0009891986846923828,
SWA4,0.15881564373267965,0.0008246898651123047,0.15858578451663838,0.0008246898651123047,
SWA3,0.15740330044631565,0.0010175704956054688,0.15717109741448862,0.0010175704956054688,
SWA1,0.18019928114822564,0.0007338523864746094,0.17635719212449208,0.0007338523864746094,
SWA3,0.15740330044631565,0.0009293556213378906,0.15717109741448856,0.0009293556213378906,
SWB2,0.1109671668619579,0.000789642333984375,0.1232004660649982,0.000789642333984375,
SWB3,0.22518028008251426,0.0009307861328125,0.19736625143600894,0.0009307861328125,
SWA1,0.18019928114822564,0.0009586811065673828,0.17635719212449208,0.0009586811065673828,
SWA4,0.15881564373267965,0.0007853507995605469,0.15858578451663838,0.0007853507995605469,
SWA2,0.17317542486352341,0.0010356903076171875,0.17489453021482584,0.0010356903076171875,
SWA5,0.17751295434518904,0.0010211467742919922,0.17105858307200372,0.0010211467742919922,
SWA4,0.15881564373267965,0.0008423328399658203,0.15858578451663832,0.0008423328399658203,
SWB3,0.22518028008251426,0.0009233951568603516,0.19736625143600897,0.0009233951568603516,
SWB4,0.18998338346671512,0.0008533000946044922,0.18172801686683915,0.0008533000946044922,
SWA2,0.17317542486352341,0.0008697509765625,0.17489453021482584,0.0008697509765625,
SWA6,0.15740330044631565,0.0007302761077880859,0.15717109741448856,0.0007302761077880859,
SWA3,0.15740330044631565,0.0006394386291503906,0.15717109741448856,0.0006394386291503906,
SWA5,0.17751295434518904,0.0007960796356201172,0.17105858307200372,0.0007960796356201172,
SWA5,0.17751295434518904,0.0008454322814941406,0.17105858307200372,0.0008454322814941406,
SWB4,0.18998338346671512,0.0009572505950927734,0.18172801686683915,0.0009572505950927734,
SWA3,0.15740330044631565,0.0007712841033935547,0.15717109741448862,0.0007712841033935547,
SWA4,0.15881564373267965,0.0009243488311767578,0.15858578451663838,0.0009243488311767578,
SWA6,0.15740330044631565,0.0009851455688476562,0.15717109741448856,0.0009851455688476562,
SWB1,0.1048091851526343,0.0009250640869140625,0.12445840569133909,0.0009250640869140625,
SWA6,0.15740330044631565,0.0008747577667236328,0.15717109741448862,0.0008747577667236328,
SWA4,0.15881564373267965,0.0010406970977783203,0.15858578451663832,0.0010406970977783203,
SWA5,0.17751295434518904,0.0010061264038085938,0.17105858307200372,0.0010061264038085938,
SWB1,0.1048091851526343,0.000982046127319336,0.12445840569133909,0.000982046127319336,
SWB2,0.1109671668619579,0.0008931159973144531,0.12320046606499814,0.0008931159973144531,
SWB1,0.1048091851526343,0.0009579658508300781,0.12445840569133909,0.0009579658508300781,
SWA5,0.17751295434518904,0.0009534358978271484,0.17105858307200372,0.0009534358978271484,
SWA6,0.15740330044631565,0.0009644031524658203,0.15717109741448856,0.0009644031524658203,
SWB3,0.22518028008251426,0.0009465217590332031,0.19736625143600897,0.0009465217590332031,
SWB2,0.1109671668619579,0.0009012222290039062,0.12320046606499814,0.0009012222290039062,
SWB2,0.1109671668619579,0.0010755062103271484,0.12320046606499822,0.0010755062103271484,
SWA6,0.15740330044631565,0.0010509490966796875,0.15717109741448856,0.0010509490966796875,
SWB1,0.1048091851526343,0.0008785724639892578,0.12445840569133909,0.0008785724639892578,
SWB3,0.22518028008251426,0.0008573532104492188,0.19736625143600897,0.0008573532104492188,
SWB4,0.18998338346671512,0.0009257793426513672,0.18172801686683915,0.0009257793426513672,
SWB3,0.22518028008251426,0.0011229515075683594,0.19736625143600903,0.0011229515075683594,
SWB1,0.1048091851526343,0.0009775161743164062,0.12445840569133909,0.0009775161743164062,
SWB2,0.1109671668619579,0.0008554458618164062,0.1232004660649982,0.0008554458618164062,
SWB4,0.18998338346671512,0.0008409023284912109,0.18172801686683915,0.0008409023284912109,
SWB4,0.18998338346671512,0.000782012939453125,0.18172801686683915,0.000782012939453125,
SWB2,0.1109671668619579,0.0010001659393310547,0.1232004660649982,0.0010001659393310547,
SWB3,0.22518028008251426,0.0009222030639648438,0.19736625143600894,0.0009222030639648438,
SWB3,0.22518028008251426,0.0009615421295166016,0.19736625143600894,0.0009615421295166016,
SWB4,0.18998338346671512,0.0010409355163574219,0.18172801686683915,0.0010409355163574219,
SWB4,0.18998338346671512,0.0011675357818603516,0.18172801686683915,0.0011675357818603516,
