switch,regression_tree_ReadsAvg_nmae,time_to_train_regression_tree_s,random_forest_ReadsAvg_nmae,time_to_train_random_forest_s,
SWC2,0.11708334895269788,0.0007164478302001953,0.12192783514761539,0.0007164478302001953,
SWC3,0.11708334895269788,0.00064849853515625,0.12192783514761539,0.00064849853515625,
SWA1,0.17850500126755117,0.001184225082397461,0.16602935776914954,0.001184225082397461,
SWC2,0.11708334895269788,0.0006673336029052734,0.12192783514761539,0.0006673336029052734,
SWC1,0.2000059300637927,0.0007812976837158203,0.1509891840578141,0.0007812976837158203,
SWC1,0.2000059300637927,0.0008363723754882812,0.15098918405781409,0.0008363723754882812,
SWA2,0.11588975418403065,0.0008139610290527344,0.1066322525297903,0.0008139610290527344,
SWC4,0.11708334895269788,0.0007495880126953125,0.12192783514761539,0.0007495880126953125,
SWC3,0.11708334895269788,0.0008687973022460938,0.12192783514761552,0.0008687973022460938,
SWA2,0.11588975418403065,0.0011138916015625,0.10663225252979035,0.0011138916015625,
SWC3,0.11708334895269788,0.0009868144989013672,0.12192783514761539,0.0009868144989013672,
SWC2,0.11708334895269788,0.0008668899536132812,0.12192783514761539,0.0008668899536132812,
SWC2,0.11708334895269788,0.001007080078125,0.12192783514761539,0.001007080078125,
SWA3,0.11708334895269788,0.0007421970367431641,0.12192783514761552,0.0007421970367431641,
SWC4,0.11708334895269788,0.000997304916381836,0.12192783514761539,0.000997304916381836,
SWA1,0.17850500126755117,0.00102996826171875,0.16602935776914954,0.00102996826171875,
SWA3,0.11708334895269788,0.0008502006530761719,0.12192783514761539,0.0008502006530761719,
SWC4,0.11708334895269788,0.0009822845458984375,0.12192783514761539,0.0009822845458984375,
SWC3,0.11708334895269788,0.001018524169921875,0.12192783514761552,0.001018524169921875,
SWC3,0.11708334895269788,0.0007452964782714844,0.12192783514761539,0.0007452964782714844,
SWA4,0.11708334895269788,0.0008285045623779297,0.12192783514761539,0.0008285045623779297,
SWA1,0.17850500126755117,0.0009853839874267578,0.16602935776914954,0.0009853839874267578,
SWA4,0.11708334895269788,0.0006551742553710938,0.12192783514761539,0.0006551742553710938,
SWC4,0.11708334895269788,0.00075531005859375,0.12192783514761539,0.00075531005859375,
SWA2,0.11588975418403065,0.0006842613220214844,0.10663225252979038,0.0006842613220214844,
SWC4,0.11708334895269788,0.0007982254028320312,0.12192783514761539,0.0007982254028320312,
SWA1,0.17850500126755117,0.0008895397186279297,0.16602935776914954,0.0008895397186279297,
SWA5,0.18097220430848787,0.0007748603820800781,0.13230214959870767,0.0007748603820800781,
SWA3,0.11708334895269788,0.0009300708770751953,0.12192783514761552,0.0009300708770751953,
SWA2,0.11588975418403065,0.0007727146148681641,0.10663225252979035,0.0007727146148681641,
SWA5,0.18097220430848787,0.0007987022399902344,0.13230214959870767,0.0007987022399902344,
SWA1,0.17850500126755117,0.0008909702301025391,0.16602935776914954,0.0008909702301025391,
SWA2,0.11588975418403065,0.0009710788726806641,0.10663225252979038,0.0009710788726806641,
SWA6,0.11708334895269788,0.0008325576782226562,0.12192783514761539,0.0008325576782226562,
SWA1,0.17850500126755117,0.0009224414825439453,0.16602935776914954,0.0009224414825439453,
SWA4,0.11708334895269788,0.0008494853973388672,0.12192783514761539,0.0008494853973388672,
SWA6,0.11708334895269788,0.0007383823394775391,0.12192783514761539,0.0007383823394775391,
SWA3,0.11708334895269788,0.0008099079132080078,0.12192783514761539,0.0008099079132080078,
SWA3,0.11708334895269788,0.0009059906005859375,0.12192783514761539,0.0009059906005859375,
SWA2,0.11588975418403065,0.0008327960968017578,0.10663225252979033,0.0008327960968017578,
SWB1,0.0669234384288889,0.0008106231689453125,0.06602146831344578,0.0008106231689453125,
SWA2,0.11588975418403065,0.0010750293731689453,0.10663225252979033,0.0010750293731689453,
SWA5,0.18097220430848787,0.0009291172027587891,0.13230214959870776,0.0009291172027587891,
SWA4,0.11708334895269788,0.0008037090301513672,0.12192783514761539,0.0008037090301513672,
SWB1,0.0669234384288889,0.0009250640869140625,0.0660214683134458,0.0009250640869140625,
SWA3,0.11708334895269788,0.0008087158203125,0.12192783514761539,0.0008087158203125,
SWA4,0.11708334895269788,0.0008261203765869141,0.12192783514761539,0.0008261203765869141,
SWA3,0.11708334895269788,0.0007698535919189453,0.12192783514761539,0.0007698535919189453,
SWB2,0.10412065307792552,0.0010306835174560547,0.11305621403972295,0.0010306835174560547,
SWA6,0.11708334895269788,0.00069427490234375,0.12192783514761539,0.00069427490234375,
SWA4,0.11708334895269788,0.0007083415985107422,0.12192783514761552,0.0007083415985107422,
SWB2,0.10412065307792552,0.0009899139404296875,0.11305621403972295,0.0009899139404296875,
SWA5,0.18097220430848787,0.0010561943054199219,0.13230214959870762,0.0010561943054199219,
SWA4,0.11708334895269788,0.0007827281951904297,0.12192783514761539,0.0007827281951904297,
SWA5,0.18097220430848787,0.0011456012725830078,0.1323021495987077,0.0011456012725830078,
SWB3,0.1786915017738304,0.0008554458618164062,0.16533055163924285,0.0008554458618164062,
SWA6,0.11708334895269788,0.0007772445678710938,0.12192783514761539,0.0007772445678710938,
SWB1,0.0669234384288889,0.0010178089141845703,0.06602146831344578,0.0010178089141845703,
SWA5,0.18097220430848787,0.0009467601776123047,0.13230214959870762,0.0009467601776123047,
SWA6,0.11708334895269788,0.0008540153503417969,0.12192783514761539,0.0008540153503417969,
SWB3,0.1786915017738304,0.0008487701416015625,0.16533055163924285,0.0008487701416015625,
SWA5,0.18097220430848787,0.0008103847503662109,0.13230214959870756,0.0008103847503662109,
SWB4,0.05173743456545236,0.0008654594421386719,0.06047399988238671,0.0008654594421386719,
