switch,regression_tree_noAudioPlayed_nmae,time_to_train_regression_tree_s,random_forest_noAudioPlayed_nmae,time_to_train_random_forest_s,
SWC4,0.08967674661105324,0.0008924007415771484,0.08976798748696556,0.0008924007415771484,
SWC2,0.08967674661105324,0.0007536411285400391,0.0897679874869654,0.0007536411285400391,
SWC4,0.08967674661105324,0.00066375732421875,0.0897679874869654,0.00066375732421875,
SWA2,0.09854014598540146,0.0007991790771484375,0.09194849959448499,0.0007991790771484375,
SWC1,0.09854014598540146,0.0010247230529785156,0.09242700729927006,0.0010247230529785156,
SWC3,0.08967674661105324,0.0007841587066650391,0.08976798748696556,0.0007841587066650391,
SWC1,0.09854014598540146,0.0008215904235839844,0.09242700729927006,0.0008215904235839844,
SWC3,0.08967674661105324,0.0008318424224853516,0.08976798748696556,0.0008318424224853516,
SWA1,0.10218978102189782,0.0009167194366455078,0.09744525547445254,0.0009167194366455078,
SWA3,0.08967674661105324,0.0007867813110351562,0.08976798748696556,0.0007867813110351562,
SWA1,0.10218978102189782,0.00091552734375,0.09744525547445254,0.00091552734375,
SWC2,0.08967674661105324,0.0008296966552734375,0.08976798748696556,0.0008296966552734375,
SWC4,0.08967674661105324,0.0009331703186035156,0.0897679874869654,0.0009331703186035156,
SWC2,0.08967674661105324,0.0009572505950927734,0.0897679874869654,0.0009572505950927734,
SWC4,0.08967674661105324,0.0007488727569580078,0.08976798748696556,0.0007488727569580078,
SWA2,0.09854014598540146,0.0008885860443115234,0.09194849959448499,0.0008885860443115234,
SWA4,0.09039865244244803,0.0006744861602783203,0.09070212026416398,0.0006744861602783203,
SWC3,0.08967674661105324,0.0007481575012207031,0.08976798748696556,0.0007481575012207031,
SWA2,0.09854014598540146,0.0010190010070800781,0.09194849959448499,0.0010190010070800781,
SWA1,0.10218978102189782,0.0008704662322998047,0.09744525547445254,0.0008704662322998047,
SWC3,0.08967674661105324,0.0009508132934570312,0.08976798748696556,0.0009508132934570312,
SWA3,0.08967674661105324,0.0007452964782714844,0.0897679874869654,0.0007452964782714844,
SWA1,0.10218978102189782,0.0009224414825439453,0.09744525547445254,0.0009224414825439453,
SWC4,0.08967674661105324,0.0008535385131835938,0.08976798748696556,0.0008535385131835938,
SWA5,0.10218978102189782,0.0008196830749511719,0.09130170316301703,0.0008196830749511719,
SWA3,0.08967674661105324,0.0007584095001220703,0.08976798748696556,0.0007584095001220703,
SWA2,0.09854014598540146,0.0008866786956787109,0.09194849959448499,0.0008866786956787109,
SWC4,0.08967674661105324,0.0009298324584960938,0.0897679874869654,0.0009298324584960938,
SWA4,0.09039865244244803,0.0008151531219482422,0.09070212026416413,0.0008151531219482422,
SWA2,0.09854014598540146,0.0007290840148925781,0.09194849959448499,0.0007290840148925781,
SWA6,0.08967674661105324,0.0008599758148193359,0.08976798748696556,0.0008599758148193359,
SWA4,0.09039865244244803,0.0008273124694824219,0.09070212026416413,0.0008273124694824219,
SWA1,0.10218978102189782,0.0008473396301269531,0.09744525547445254,0.0008473396301269531,
SWA3,0.08967674661105324,0.0008611679077148438,0.0897679874869654,0.0008611679077148438,
SWA1,0.10218978102189782,0.0009968280792236328,0.09744525547445254,0.0009968280792236328,
SWA5,0.10218978102189782,0.00091552734375,0.09130170316301703,0.00091552734375,
SWA3,0.08967674661105324,0.0008957386016845703,0.0897679874869654,0.0008957386016845703,
SWB1,0.12773722627737227,0.0009496212005615234,0.10422749391727494,0.0009496212005615234,
SWA4,0.09039865244244803,0.0008211135864257812,0.09070212026416413,0.0008211135864257812,
SWA2,0.09854014598540146,0.0008947849273681641,0.09194849959448499,0.0008947849273681641,
SWA5,0.10218978102189782,0.0008783340454101562,0.09130170316301703,0.0008783340454101562,
SWA2,0.09854014598540146,0.0008852481842041016,0.09194849959448499,0.0008852481842041016,
SWA6,0.08967674661105324,0.0007817745208740234,0.08976798748696556,0.0007817745208740234,
