switch,regression_tree_DispFrames_nmae,time_to_train_regression_tree_s,random_forest_DispFrames_nmae,time_to_train_random_forest_s,
SWC2,0.09090909090909091,0.0007617473602294922,0.09090909090909091,0.0007617473602294922,
SWA3,0.09090909090909091,0.0008730888366699219,0.09090909090909091,0.0008730888366699219,
SWC3,0.09090909090909091,0.0008897781372070312,0.09090909090909091,0.0008897781372070312,
SWA4,0.09090909090909091,0.0009176731109619141,0.09090909090909091,0.0009176731109619141,
SWC4,0.09090909090909091,0.00092315673828125,0.09090909090909091,0.00092315673828125,
SWC3,0.09090909090909091,0.0007772445678710938,0.09090909090909091,0.0007772445678710938,
SWC1,0.09090909090909091,0.0008795261383056641,0.09090909090909091,0.0008795261383056641,
SWC3,0.09090909090909091,0.0008933544158935547,0.09090909090909091,0.0008933544158935547,
SWA4,0.09090909090909091,0.0009438991546630859,0.09090909090909091,0.0009438991546630859,
SWC4,0.09090909090909091,0.0008893013000488281,0.09090909090909091,0.0008893013000488281,
SWA5,0.09090909090909091,0.0006830692291259766,0.09090909090909091,0.0006830692291259766,
SWA1,0.09090909090909091,0.0006866455078125,0.09090909090909091,0.0006866455078125,
SWC4,0.09090909090909091,0.0017523765563964844,0.09090909090909091,0.0017523765563964844,
SWC2,0.09090909090909091,0.00091552734375,0.09090909090909091,0.00091552734375,
SWC4,0.09090909090909091,0.0007531642913818359,0.09090909090909091,0.0007531642913818359,
SWA5,0.09090909090909091,0.0006630420684814453,0.09090909090909091,0.0006630420684814453,
SWA1,0.09090909090909091,0.0008080005645751953,0.09090909090909091,0.0008080005645751953,
SWA2,0.09090909090909091,0.0007073879241943359,0.09090909090909091,0.0007073879241943359,
SWA6,0.09090909090909091,0.0009233951568603516,0.09090909090909091,0.0009233951568603516,
SWA1,0.09090909090909091,0.0006852149963378906,0.09090909090909091,0.0006852149963378906,
SWC3,0.09090909090909091,0.0007829666137695312,0.09090909090909091,0.0007829666137695312,
