k,regression_tree_DispFrames_minimal_univariate_nmae,regression_tree_DispFrames_minimal_univariate_training_time,random_forest_DispFrames_minimal_univariate_nmae,random_forest_DispFrames_minimal_univariate_training_time,
7,0.09090909090909091,0.0009424686431884766, 0.09090909090909091,0.0009424686431884766,
3,0.09090909090909091,0.000759124755859375, 0.09090909090909091,0.000759124755859375,
6,0.09090909090909091,0.0008902549743652344, 0.09090909090909091,0.0008902549743652344,
4,0.09090909090909091,0.0006747245788574219, 0.09090909090909091,0.0006747245788574219,
3,0.09090909090909091,0.0009443759918212891, 0.09090909090909091,0.0009443759918212891,
4,0.09090909090909091,0.0009601116180419922, 0.09090909090909091,0.0009601116180419922,
8,0.09090909090909091,0.0009944438934326172, 0.09090909090909091,0.0009944438934326172,
1,0.09090909090909091,0.0009424686431884766, 0.09090909090909091,0.0009424686431884766,
4,0.09090909090909091,0.0008728504180908203, 0.09090909090909091,0.0008728504180908203,
5,0.09090909090909091,0.0006496906280517578, 0.09090909090909091,0.0006496906280517578,
7,0.09090909090909091,0.0006968975067138672, 0.09090909090909091,0.0006968975067138672,
4,0.09090909090909091,0.0006918907165527344, 0.09090909090909091,0.0006918907165527344,
2,0.09090909090909091,0.0009412765502929688, 0.09090909090909091,0.0009412765502929688,
5,0.09090909090909091,0.0009620189666748047, 0.09090909090909091,0.0009620189666748047,
9,0.09090909090909091,0.001062154769897461, 0.09090909090909091,0.001062154769897461,
5,0.09090909090909091,0.001077413558959961, 0.09090909090909091,0.001077413558959961,
6,0.09090909090909091,0.0007295608520507812, 0.09090909090909091,0.0007295608520507812,
8,0.09090909090909091,0.0006661415100097656, 0.09090909090909091,0.0006661415100097656,
5,0.09090909090909091,0.0006973743438720703, 0.09090909090909091,0.0006973743438720703,
3,0.09090909090909091,0.0009484291076660156, 0.09090909090909091,0.0009484291076660156,
6,0.09090909090909091,0.001054525375366211, 0.09090909090909091,0.001054525375366211,
6,0.09090909090909091,0.0007381439208984375, 0.09090909090909091,0.0007381439208984375,
10,0.09090909090909091,0.0010399818420410156, 0.09090909090909091,0.0010399818420410156,
7,0.09090909090909091,0.0009648799896240234, 0.09090909090909091,0.0009648799896240234,
6,0.09090909090909091,0.0006504058837890625, 0.09090909090909091,0.0006504058837890625,
9,0.09090909090909091,0.0010502338409423828, 0.09090909090909091,0.0010502338409423828,
11,0.09090909090909091,0.0007483959197998047, 0.09090909090909091,0.0007483959197998047,
7,0.09090909090909091,0.000759124755859375, 0.09090909090909091,0.000759124755859375,
4,0.09090909090909091,0.0007863044738769531, 0.09090909090909091,0.0007863044738769531,
7,0.09090909090909091,0.0010576248168945312, 0.09090909090909091,0.0010576248168945312,
7,0.09090909090909091,0.0007596015930175781, 0.09090909090909091,0.0007596015930175781,
8,0.09090909090909091,0.0009357929229736328, 0.09090909090909091,0.0009357929229736328,
10,0.09090909090909091,0.0009036064147949219, 0.09090909090909091,0.0009036064147949219,
5,0.09090909090909091,0.0007333755493164062, 0.09090909090909091,0.0007333755493164062,
8,0.09090909090909091,0.0010454654693603516, 0.09090909090909091,0.0010454654693603516,
8,0.09090909090909091,0.0010683536529541016, 0.09090909090909091,0.0010683536529541016,
12,0.09090909090909091,0.0010962486267089844, 0.09090909090909091,0.0010962486267089844,
8,0.09090909090909091,0.0009868144989013672, 0.09090909090909091,0.0009868144989013672,
