período,função,carga,apps,feature,método,nmae,
16,média,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.2983965850151077,
16,máximo,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.666263946209434,
16,máximo,FlashcrowdLoad,BothApps,noAudioPlayed,RF,1.076326802818399,
16,mínimo,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.8689410610685545,
16,mínimo,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.6000259170099319,
32,média,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.31145461487878506,
32,média,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.3124767377262656,
32,máximo,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.4560808195494542,
32,máximo,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.8833966617638204,
32,mínimo,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.9968619246861924,
32,mínimo,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.8754297904075623,
64,média,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.32688056713329156,
64,média,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.3201941412463168,
64,máximo,FlashcrowdLoad,BothApps,noAudioPlayed,RT,1.801642662438717,
64,máximo,FlashcrowdLoad,BothApps,noAudioPlayed,RF,1.384345241769631,
64,mínimo,FlashcrowdLoad,BothApps,noAudioPlayed,RT,1.0,
64,mínimo,FlashcrowdLoad,BothApps,noAudioPlayed,RF,1.0,
128,média,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.3065165853267419,
128,média,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.3061067256566721,
128,máximo,FlashcrowdLoad,BothApps,noAudioPlayed,RT,2.044177068009687,
128,máximo,FlashcrowdLoad,BothApps,noAudioPlayed,RF,1.4629464065849118,
128,mínimo,FlashcrowdLoad,BothApps,noAudioPlayed,RT,1.0,
128,mínimo,FlashcrowdLoad,BothApps,noAudioPlayed,RF,1.0,
256,média,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.30778280134068664,
256,média,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.32200405061953047,
256,máximo,FlashcrowdLoad,BothApps,noAudioPlayed,RT,1.0702412920550493,
256,máximo,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.9299668852797642,
256,mínimo,FlashcrowdLoad,BothApps,noAudioPlayed,RT,1.0,
256,mínimo,FlashcrowdLoad,BothApps,noAudioPlayed,RF,1.0,
2,média,PeriodicLoad,BothApps,DispFrames,RT,0.17271346608167398,
2,média,PeriodicLoad,BothApps,DispFrames,RF,0.17115791521355983,
2,máximo,PeriodicLoad,BothApps,DispFrames,RT,0.1343630775454704,
2,máximo,PeriodicLoad,BothApps,DispFrames,RF,0.1295602891075238,
2,mínimo,PeriodicLoad,BothApps,DispFrames,RT,0.19867023775960907,
2,mínimo,PeriodicLoad,BothApps,DispFrames,RF,0.18659710490913978,
4,média,PeriodicLoad,BothApps,DispFrames,RT,0.1886376179856277,
4,média,PeriodicLoad,BothApps,DispFrames,RF,0.18273888804412305,
4,máximo,PeriodicLoad,BothApps,DispFrames,RT,0.1256588977210718,
4,máximo,PeriodicLoad,BothApps,DispFrames,RF,0.12417969460524267,
4,mínimo,PeriodicLoad,BothApps,DispFrames,RT,0.2442204655991099,
4,mínimo,PeriodicLoad,BothApps,DispFrames,RF,0.25159666656241303,
8,média,PeriodicLoad,BothApps,DispFrames,RT,0.18762661932042005,
8,média,PeriodicLoad,BothApps,DispFrames,RF,0.1833727377348085,
8,máximo,PeriodicLoad,BothApps,DispFrames,RT,0.1266926149170428,
8,máximo,PeriodicLoad,BothApps,DispFrames,RF,0.1267105979207505,
8,mínimo,PeriodicLoad,BothApps,DispFrames,RT,0.22498888645047296,
8,mínimo,PeriodicLoad,BothApps,DispFrames,RF,0.33694713245716956,
16,média,PeriodicLoad,BothApps,DispFrames,RT,0.18816503175307284,
16,média,PeriodicLoad,BothApps,DispFrames,RF,0.1877440877097921,
16,máximo,PeriodicLoad,BothApps,DispFrames,RT,0.12386109436364968,
16,máximo,PeriodicLoad,BothApps,DispFrames,RF,0.12407568099560683,
16,mínimo,PeriodicLoad,BothApps,DispFrames,RT,0.22652609478008084,
16,mínimo,PeriodicLoad,BothApps,DispFrames,RF,0.37948766644004245,
32,média,PeriodicLoad,BothApps,DispFrames,RT,0.1865192455800573,
32,média,PeriodicLoad,BothApps,DispFrames,RF,0.1826581444381208,
32,máximo,PeriodicLoad,BothApps,DispFrames,RT,0.11748920125719217,
32,máximo,PeriodicLoad,BothApps,DispFrames,RF,0.12807379000857172,
32,mínimo,PeriodicLoad,BothApps,DispFrames,RT,0.5326691151205168,
32,mínimo,PeriodicLoad,BothApps,DispFrames,RF,0.6084503278340417,
64,média,PeriodicLoad,BothApps,DispFrames,RT,0.17765916882340668,
64,média,PeriodicLoad,BothApps,DispFrames,RF,0.18076058608705334,
64,máximo,PeriodicLoad,BothApps,DispFrames,RT,0.16384473073051684,
64,máximo,PeriodicLoad,BothApps,DispFrames,RF,0.15211064125705945,
64,mínimo,PeriodicLoad,BothApps,DispFrames,RT,0.4973782482600007,
64,mínimo,PeriodicLoad,BothApps,DispFrames,RF,0.604358250582661,
128,média,PeriodicLoad,BothApps,DispFrames,RT,0.1822653918198834,
128,média,PeriodicLoad,BothApps,DispFrames,RF,0.17915642203803578,
128,máximo,PeriodicLoad,BothApps,DispFrames,RT,0.17122344388503827,
128,máximo,PeriodicLoad,BothApps,DispFrames,RF,0.14055893895950455,
128,mínimo,PeriodicLoad,BothApps,DispFrames,RT,0.457979465354967,
128,mínimo,PeriodicLoad,BothApps,DispFrames,RF,0.6522934535572051,
256,média,PeriodicLoad,BothApps,DispFrames,RT,0.1801738988843362,
256,média,PeriodicLoad,BothApps,DispFrames,RF,0.1804720839521289,
256,máximo,PeriodicLoad,BothApps,DispFrames,RT,0.16843751230404924,
256,máximo,PeriodicLoad,BothApps,DispFrames,RF,0.1578267346131419,
256,mínimo,PeriodicLoad,BothApps,DispFrames,RT,0.5870800028560369,
256,mínimo,PeriodicLoad,BothApps,DispFrames,RF,0.7474026416536735,
2,média,PeriodicLoad,BothApps,noAudioPlayed,RT,0.485372547739987,
2,média,PeriodicLoad,BothApps,noAudioPlayed,RF,0.37769293891722894,
2,máximo,PeriodicLoad,BothApps,noAudioPlayed,RT,0.49139514734484485,
2,máximo,PeriodicLoad,BothApps,noAudioPlayed,RF,0.36683938087722645,
2,mínimo,PeriodicLoad,BothApps,noAudioPlayed,RT,0.4716078391433394,
