período,função,carga,apps,feature,método,nmae
32,mínimo,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.2691631399443416,
32,mínimo,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.2287840153714327,
64,média,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.2791327160922253,
64,média,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.2350586240242825,
64,máximo,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.2719131753519227,
64,máximo,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.23391300943112425,
64,mínimo,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.2817702815852412,
64,mínimo,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.23561684762076585,
128,média,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.26268983445067723,
128,média,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.21807877654641913,
128,máximo,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.27986615537775156,
128,máximo,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.23063485552400967,
128,mínimo,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.265267105576849,
128,mínimo,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.22575410943412375,
256,média,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.26376830284969444,
256,média,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.2233144950432421,
256,máximo,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.2743329662295355,
256,máximo,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.23071741028322518,
256,mínimo,FlashcrowdLoad,BothApps,noAudioPlayed,RT,0.28167578684490796,
256,mínimo,FlashcrowdLoad,BothApps,noAudioPlayed,RF,0.23739472009010001,
2,média,PeriodicLoad,BothApps,DispFrames,RT,0.11086236088041533,
2,média,PeriodicLoad,BothApps,DispFrames,RF,0.11246151726941789,
2,máximo,PeriodicLoad,BothApps,DispFrames,RT,0.11211330899169442,
2,máximo,PeriodicLoad,BothApps,DispFrames,RF,0.11178884296967995,
2,mínimo,PeriodicLoad,BothApps,DispFrames,RT,0.11257029600863694,
2,mínimo,PeriodicLoad,BothApps,DispFrames,RF,0.11419106549144095,
4,média,PeriodicLoad,BothApps,DispFrames,RT,0.11417826916727732,
4,média,PeriodicLoad,BothApps,DispFrames,RF,0.11362431519075342,
4,máximo,PeriodicLoad,BothApps,DispFrames,RT,0.11002703938764212,
4,máximo,PeriodicLoad,BothApps,DispFrames,RF,0.11049240570314443,
4,mínimo,PeriodicLoad,BothApps,DispFrames,RT,0.11159326946300618,
4,mínimo,PeriodicLoad,BothApps,DispFrames,RF,0.11186055873118103,
8,média,PeriodicLoad,BothApps,DispFrames,RT,0.1139482564679415,
8,média,PeriodicLoad,BothApps,DispFrames,RF,0.1120562831431785,
8,máximo,PeriodicLoad,BothApps,DispFrames,RT,0.11338676165034135,
8,máximo,PeriodicLoad,BothApps,DispFrames,RF,0.11257250126350747,
8,mínimo,PeriodicLoad,BothApps,DispFrames,RT,0.11871324745303337,
8,mínimo,PeriodicLoad,BothApps,DispFrames,RF,0.11611479028697573,
16,média,PeriodicLoad,BothApps,DispFrames,RT,0.12463912234554435,
16,média,PeriodicLoad,BothApps,DispFrames,RF,0.1185806548191869,
16,máximo,PeriodicLoad,BothApps,DispFrames,RT,0.10854969565881623,
16,máximo,PeriodicLoad,BothApps,DispFrames,RF,0.10982883991198092,
16,mínimo,PeriodicLoad,BothApps,DispFrames,RT,0.12029941475086493,
16,mínimo,PeriodicLoad,BothApps,DispFrames,RF,0.11712830482534138,
32,média,PeriodicLoad,BothApps,DispFrames,RT,0.11075638110901498,
32,média,PeriodicLoad,BothApps,DispFrames,RF,0.11275200610565579,
32,máximo,PeriodicLoad,BothApps,DispFrames,RT,0.11460656132188977,
32,máximo,PeriodicLoad,BothApps,DispFrames,RF,0.11275346915857863,
32,mínimo,PeriodicLoad,BothApps,DispFrames,RT,0.11721538115294344,
32,mínimo,PeriodicLoad,BothApps,DispFrames,RF,0.11358965908969125,
64,média,PeriodicLoad,BothApps,DispFrames,RT,0.11228326132091353,
64,média,PeriodicLoad,BothApps,DispFrames,RF,0.11312362889154313,
64,máximo,PeriodicLoad,BothApps,DispFrames,RT,0.10886649631165325,
64,máximo,PeriodicLoad,BothApps,DispFrames,RF,0.11018962709394706,
64,mínimo,PeriodicLoad,BothApps,DispFrames,RT,0.11233783489962071,
64,mínimo,PeriodicLoad,BothApps,DispFrames,RF,0.11189257711314582,
128,média,PeriodicLoad,BothApps,DispFrames,RT,0.11488381087439972,
128,média,PeriodicLoad,BothApps,DispFrames,RF,0.11470782168219078,
128,máximo,PeriodicLoad,BothApps,DispFrames,RT,0.11222478743172476,
