período,função,carga,apps,feature,método,switch,nmae,
8,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWC2,0.142267126077754,
8,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWC2,0.14216944509780585,
8,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC2,0.08558307528202606,
8,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC2,0.0855842575333963,
8,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC2,0.3593691853591568,
8,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC2,0.3588125566134373,
16,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWC2,0.1430878941647183,
16,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWC2,0.14313417139490833,
16,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC2,0.08317521718533949,
16,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC2,0.08317875601482635,
16,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC2,0.45028542341427547,
16,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC2,0.45014693780881865,
32,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWC2,0.14136120883594339,
32,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWC2,0.14127678736020288,
32,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC2,0.08759252719145189,
32,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC2,0.08760675338539747,
32,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC2,0.5397648164734887,
32,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC2,0.5393804311303844,
64,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWC2,0.14131477578570836,
64,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWC2,0.14136679771695032,
64,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC2,0.0879694487188776,
64,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC2,0.08795401110780057,
64,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC2,0.6218277488272418,
64,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC2,0.6218753906946713,
128,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWC2,0.14296049363696142,
128,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWC2,0.1427984721550761,
128,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC2,0.086765875996086,
128,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC2,0.08679434094432167,
128,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC2,0.740708040421685,
128,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC2,0.7439094596815345,
256,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWC2,0.14302018092279098,
256,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWC2,0.14294383671774466,
256,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC2,0.08943511386991633,
256,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC2,0.08943511386991633,
256,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC2,0.8560234711021959,
256,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC2,0.858252021720581,
2,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWC3,0.14235097756536516,
2,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWC3,0.14233209065186672,
2,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC3,0.09584348799974843,
2,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC3,0.09583160666496277,
2,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC3,0.19072825744721092,
2,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC3,0.19068993759973274,
4,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWC3,0.14166199422652906,
4,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWC3,0.1416415147158274,
4,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC3,0.0854436950358205,
4,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC3,0.08544045783979794,
4,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC3,0.26593465840952174,
4,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC3,0.26590030364286477,
8,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWC3,0.14144140866552732,
8,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWC3,0.141618757250386,
8,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC3,0.0882638429323182,
8,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC3,0.08826369475308624,
8,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC3,0.36445819366535814,
8,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC3,0.36456549029337953,
16,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWC3,0.14266428956424393,
16,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWC3,0.1425294425556615,
16,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC3,0.08978578919497024,
16,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC3,0.08978578919497024,
16,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC3,0.45412659352604956,
16,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC3,0.4534900737613356,
32,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWC3,0.14163825328808477,
32,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWC3,0.14163828965138103,
32,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC3,0.08702936956878901,
32,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC3,0.08702285260614152,
32,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC3,0.5364811085662431,
32,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC3,0.5363192428356295,
64,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWC3,0.1416238550206298,
64,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWC3,0.14156777746005328,
64,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC3,0.08604728998628298,
64,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC3,0.08606151643755368,
64,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC3,0.6330868365723152,
64,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC3,0.6330330855067295,
128,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWC3,0.14282851114720174,
128,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWC3,0.14296517864759276,
128,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC3,0.08590492543234926,
128,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC3,0.08594047758417749,
128,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWC3,0.7404962225375599,
128,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWC3,0.7399433284892442,
256,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWC3,0.1430361785043779,
