carga,apps,feature,método, mét. stepwise,nmae
FlashcrowdLoad,BothApps,DispFrames,RT,RT,0.006993006993006993,
FlashcrowdLoad,BothApps,DispFrames,RF,RT,0.006993006993006993,
FlashcrowdLoad,BothApps,DispFrames,RT,RF,0.0,
FlashcrowdLoad,BothApps,DispFrames,RF,RF,0.001157407407407391,
FlashcrowdLoad,BothApps,noAudioPlayed,RT,RT,0.015810276679841896,
FlashcrowdLoad,BothApps,noAudioPlayed,RF,RT,0.010803689064558634,
FlashcrowdLoad,BothApps,noAudioPlayed,RT,RF,0.024193548387096774,
FlashcrowdLoad,BothApps,noAudioPlayed,RF,RF,0.025470430107526865,
PeriodicLoad,BothApps,DispFrames,RT,RT,0.09999999999999999,
PeriodicLoad,BothApps,DispFrames,RF,RT,0.10608974358974356,
PeriodicLoad,BothApps,DispFrames,RT,RF,0.09999999999999999,
PeriodicLoad,BothApps,DispFrames,RF,RF,0.10282051282051281,
PeriodicLoad,BothApps,noAudioPlayed,RT,RT,0.14344262295081966,
PeriodicLoad,BothApps,noAudioPlayed,RF,RT,0.07161885245901638,
PeriodicLoad,BothApps,noAudioPlayed,RT,RF,0.09758364312267657,
PeriodicLoad,BothApps,noAudioPlayed,RF,RF,0.09953479966955799,
FlashcrowdLoad,SingleApp,DispFrames,RT,RT,0.09090909090909091,
FlashcrowdLoad,SingleApp,DispFrames,RF,RT,0.09090909090909091,
FlashcrowdLoad,SingleApp,DispFrames,RT,RF,0.0,
FlashcrowdLoad,SingleApp,DispFrames,RF,RF,0.0354166666666667,
FlashcrowdLoad,SingleApp,noAudioPlayed,RT,RT,0.11940298507462686,
FlashcrowdLoad,SingleApp,noAudioPlayed,RF,RT,0.13336442786069655,
FlashcrowdLoad,SingleApp,noAudioPlayed,RT,RF,0.12408759124087593,
FlashcrowdLoad,SingleApp,noAudioPlayed,RF,RF,0.131478102189781,
PeriodicLoad,SingleApp,DispFrames,RT,RT,0.006993006993006993,
PeriodicLoad,SingleApp,DispFrames,RF,RT,0.007867132867132868,
PeriodicLoad,SingleApp,DispFrames,RT,RF,0.01408450704225352,
PeriodicLoad,SingleApp,DispFrames,RF,RF,0.01408450704225352,
PeriodicLoad,SingleApp,noAudioPlayed,RT,RT,0.07258064516129031,
PeriodicLoad,SingleApp,noAudioPlayed,RF,RT,0.04227150537634409,
PeriodicLoad,SingleApp,noAudioPlayed,RT,RF,0.18846153846153843,
PeriodicLoad,SingleApp,noAudioPlayed,RF,RF,0.16830128205128203,
FlashcrowdLoad,BothApps,ReadsAvg,RT,RT,0.21854831320461912,
FlashcrowdLoad,BothApps,ReadsAvg,RF,RT,0.2295570437212346,
FlashcrowdLoad,BothApps,ReadsAvg,RT,RF,0.11318522311574554,
FlashcrowdLoad,BothApps,ReadsAvg,RF,RF,0.07614666131328476,
FlashcrowdLoad,BothApps,WritesAvg,RT,RT,0.041875073962322804,
FlashcrowdLoad,BothApps,WritesAvg,RF,RT,0.05821447352519502,
FlashcrowdLoad,BothApps,WritesAvg,RT,RF,0.04890739584577224,
FlashcrowdLoad,BothApps,WritesAvg,RF,RF,0.03842566226357729,
PeriodicLoad,BothApps,ReadsAvg,RT,RT,0.1932019939686304,
PeriodicLoad,BothApps,ReadsAvg,RF,RT,0.10545285029256152,
PeriodicLoad,BothApps,ReadsAvg,RT,RF,0.09298788104667788,
PeriodicLoad,BothApps,ReadsAvg,RF,RF,0.08497689612631311,
PeriodicLoad,BothApps,WritesAvg,RT,RT,0.11898465339263282,
PeriodicLoad,BothApps,WritesAvg,RF,RT,0.06274643210567521,
PeriodicLoad,BothApps,WritesAvg,RT,RF,0.080346313910237,
PeriodicLoad,BothApps,WritesAvg,RF,RF,0.0681187482638747,
FlashcrowdLoad,SingleApp,ReadsAvg,RT,RT,0.05344111056592153,
FlashcrowdLoad,SingleApp,ReadsAvg,RF,RT,0.04249097476281077,
FlashcrowdLoad,SingleApp,ReadsAvg,RT,RF,0.04818615228728572,
FlashcrowdLoad,SingleApp,ReadsAvg,RF,RF,0.031664622794977705,
FlashcrowdLoad,SingleApp,WritesAvg,RT,RT,0.033051058816194,
FlashcrowdLoad,SingleApp,WritesAvg,RF,RT,0.011364849445421116,
FlashcrowdLoad,SingleApp,WritesAvg,RT,RF,0.03342509146147529,
FlashcrowdLoad,SingleApp,WritesAvg,RF,RF,0.02647813722051646,
PeriodicLoad,SingleApp,ReadsAvg,RT,RT,0.12469460387756112,
PeriodicLoad,SingleApp,ReadsAvg,RF,RT,0.1595587219751433,
PeriodicLoad,SingleApp,ReadsAvg,RT,RF,0.10272966122259843,
PeriodicLoad,SingleApp,ReadsAvg,RF,RF,0.06406000141716987,
PeriodicLoad,SingleApp,WritesAvg,RT,RT,0.08961395543457376,
PeriodicLoad,SingleApp,WritesAvg,RF,RT,0.0835307152443537,
PeriodicLoad,SingleApp,WritesAvg,RT,RF,0.05097241557717067,
PeriodicLoad,SingleApp,WritesAvg,RF,RF,0.05657868877880192,
