# hostname;interval;timestamp;CPU;%usr;%nice;%sys;%iowait;%steal;%irq;%soft;%guest;%gnice;%idle
ST-F-01;1;2024-09-26 10:42:16 UTC;6;0.99;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;99.01
ST-F-01;1;2024-09-26 10:42:16 UTC;7;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
ST-F-01;1;2024-09-26 10:42:16 UTC;8;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
ST-F-01;1;2024-09-26 10:42:16 UTC;9;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;99.00
ST-F-01;1;2024-09-26 10:42:16 UTC;10;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;99.00
ST-F-01;1;2024-09-26 10:42:16 UTC;11;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
ST-F-01;1;2024-09-26 10:42:17 UTC;-1;0.17;0.00;0.25;0.17;0.00;0.00;0.00;0.00;0.00;99.42
ST-F-01;1;2024-09-26 10:42:17 UTC;0;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;99.00
ST-F-01;1;2024-09-26 10:42:17 UTC;1;0.00;0.00;0.99;0.00;0.00;0.00;0.00;0.00;0.00;99.01
ST-F-01;1;2024-09-26 10:42:17 UTC;2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
ST-F-01;1;2024-09-26 10:42:17 UTC;3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
ST-F-01;1;2024-09-26 10:42:17 UTC;4;0.00;0.00;1.00;2.00;0.00;0.00;0.00;0.00;0.00;97.00
ST-F-01;1;2024-09-26 10:42:17 UTC;5;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
ST-F-01;1;2024-09-26 10:42:17 UTC;6;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
ST-F-01;1;2024-09-26 10:42:17 UTC;7;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
ST-F-01;1;2024-09-26 10:42:17 UTC;8;0.99;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;99.01
ST-F-01;1;2024-09-26 10:42:17 UTC;9;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
