# hostname;interval;timestamp;pgpgin/s;pgpgout/s;fault/s;majflt/s;pgfree/s;pgscank/s;pgscand/s;pgsteal/s;pgprom/s;pgdem/s
ST-F-01;1;2024-10-11 10:31:16 UTC;4.00;64.00;517.00;0.00;524.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:31:17 UTC;0.00;108.00;3255.00;0.00;7552.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:31:18 UTC;4.00;0.00;356.00;0.00;357.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:31:19 UTC;0.00;4.00;345.00;0.00;412.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:31:20 UTC;0.00;0.00;1820.00;0.00;1348.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:31:21 UTC;0.00;44.00;343.00;0.00;383.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:31:22 UTC;0.00;20.00;618.00;0.00;2657.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:31:23 UTC;0.00;112.00;348.00;0.00;392.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:31:24 UTC;0.00;0.00;914.00;0.00;1819.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:31:25 UTC;0.00;180.00;1768.00;0.00;1510.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:31:26 UTC;0.00;0.00;418.00;0.00;394.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:31:27 UTC;0.00;228.00;2021.00;0.00;951.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:31:28 UTC;0.00;0.00;356.00;0.00;349.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:31:29 UTC;0.00;108.00;712.00;0.00;4589.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:31:30 UTC;0.00;0.00;2182.00;0.00;1887.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:31:31 UTC;0.00;0.00;1545.00;0.00;11190.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:31:32 UTC;0.00;88.00;4089.00;0.00;4913.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:31:33 UTC;0.00;0.00;508.00;0.00;380.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:31:34 UTC;0.00;0.00;834.00;0.00;1898.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:31:35 UTC;0.00;112.00;4111.00;0.00;112071.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:31:36 UTC;0.00;0.00;2136.00;0.00;2084.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:31:37 UTC;0.00;36.00;911.00;0.00;578.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:31:38 UTC;0.00;20.00;259.00;0.00;6198.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:31:39 UTC;0.00;180.00;362.00;0.00;237.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:31:40 UTC;4.00;0.00;2009.00;0.00;1117.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:31:41 UTC;0.00;108.00;40.00;0.00;41.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:31:42 UTC;0.00;0.00;69.00;0.00;16.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:31:43 UTC;0.00;0.00;150.00;0.00;25.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:31:44 UTC;0.00;68.00;281.00;0.00;187.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:31:45 UTC;0.00;0.00;921.00;0.00;1054.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:31:46 UTC;0.00;0.00;84.00;0.00;13.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:31:47 UTC;0.00;108.00;61.00;0.00;14.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:31:48 UTC;0.00;0.00;30.00;0.00;14.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:31:49 UTC;0.00;76.00;30.00;0.00;18.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:31:50 UTC;0.00;0.00;1433.00;0.00;2555.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:31:51 UTC;0.00;0.00;26.00;0.00;16.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:31:52 UTC;0.00;0.00;24.00;0.00;20.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:31:53 UTC;0.00;112.00;26.00;0.00;19.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:31:54 UTC;0.00;4.00;36.00;0.00;7.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:31:55 UTC;0.00;20.00;193.00;0.00;1185.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:31:56 UTC;216.00;0.00;55.00;0.00;55.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:31:57 UTC;0.00;0.00;239.00;0.00;244.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:31:58 UTC;4.00;0.00;42.00;0.00;539.00;0.00;0.00;0.00;0.00;0.00
ST-F-01;1;2024-10-11 10:31:59 UTC;4.00;108.00;108.00;0.00;103.00;0.00;0.00;0.00;0.00;0.00
