# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
ST-F-01;1;2024-10-11 10:31:29 UTC;-1;1.25;0.00;0.67;0.17;0.00;97.92
ST-F-01;1;2024-10-11 10:31:30 UTC;-1;1.92;0.00;0.50;0.25;0.00;97.33
ST-F-01;1;2024-10-11 10:31:31 UTC;-1;2.84;0.00;0.42;0.17;0.00;96.58
ST-F-01;1;2024-10-11 10:31:32 UTC;-1;1.83;0.00;0.50;0.25;0.00;97.42
ST-F-01;1;2024-10-11 10:31:33 UTC;-1;1.08;0.00;0.33;0.17;0.00;98.42
ST-F-01;1;2024-10-11 10:31:34 UTC;-1;1.00;0.00;0.33;0.17;0.00;98.50
ST-F-01;1;2024-10-11 10:31:35 UTC;-1;0.58;0.00;0.50;0.17;0.00;98.75
ST-F-01;1;2024-10-11 10:31:36 UTC;-1;1.17;0.00;0.67;0.25;0.00;97.91
ST-F-01;1;2024-10-11 10:31:37 UTC;-1;0.92;0.00;0.25;0.17;0.00;98.66
ST-F-01;1;2024-10-11 10:31:38 UTC;-1;0.42;0.00;0.25;0.25;0.00;99.08
ST-F-01;1;2024-10-11 10:31:39 UTC;-1;0.08;0.00;0.67;0.17;0.00;99.09
ST-F-01;1;2024-10-11 10:31:40 UTC;-1;0.25;0.00;0.33;0.17;0.00;99.25
ST-F-01;1;2024-10-11 10:31:41 UTC;-1;0.33;0.00;0.25;0.25;0.00;99.17
ST-F-01;1;2024-10-11 10:31:42 UTC;-1;0.17;0.00;0.17;0.17;0.00;99.50
ST-F-01;1;2024-10-11 10:31:43 UTC;-1;0.17;0.00;0.08;0.17;0.00;99.58
ST-F-01;1;2024-10-11 10:31:44 UTC;-1;0.17;0.00;0.33;0.17;0.00;99.33
ST-F-01;1;2024-10-11 10:31:45 UTC;-1;0.25;0.00;0.25;0.25;0.00;99.25
ST-F-01;1;2024-10-11 10:31:46 UTC;-1;0.25;0.00;0.25;0.17;0.00;99.33
ST-F-01;1;2024-10-11 10:31:47 UTC;-1;0.17;0.00;0.25;0.17;0.00;99.42
ST-F-01;1;2024-10-11 10:31:48 UTC;-1;0.08;0.00;0.33;0.25;0.00;99.33
ST-F-01;1;2024-10-11 10:31:49 UTC;-1;0.00;0.00;0.25;0.17;0.00;99.58
ST-F-01;1;2024-10-11 10:31:50 UTC;-1;0.33;0.00;0.17;0.17;0.00;99.33
ST-F-01;1;2024-10-11 10:31:51 UTC;-1;0.25;0.00;0.25;0.25;0.00;99.25
ST-F-01;1;2024-10-11 10:31:52 UTC;-1;0.33;0.00;0.25;0.17;0.00;99.25
ST-F-01;1;2024-10-11 10:31:53 UTC;-1;0.25;0.00;0.17;0.17;0.00;99.42
ST-F-01;1;2024-10-11 10:31:54 UTC;-1;0.17;0.00;0.17;0.25;0.00;99.42
ST-F-01;1;2024-10-11 10:31:55 UTC;-1;0.42;0.00;0.17;0.17;0.00;99.25
ST-F-01;1;2024-10-11 10:31:56 UTC;-1;0.25;0.00;0.17;0.25;0.00;99.33
ST-F-01;1;2024-10-11 10:31:57 UTC;-1;0.25;0.00;0.33;0.17;0.00;99.25
ST-F-01;1;2024-10-11 10:31:58 UTC;-1;0.17;0.00;0.17;0.25;0.00;99.42
ST-F-01;1;2024-10-11 10:31:59 UTC;-1;0.50;0.00;0.08;0.17;0.00;99.25
ST-F-01;1669;2024-10-11 10:59:48 UTC;-1;1.91;0.04;0.64;0.07;0.00;97.34
ST-F-01;1;2024-10-11 10:59:49 UTC;-1;2.84;0.00;0.92;1.33;0.00;94.91
ST-F-01;1;2024-10-11 10:59:50 UTC;-1;1.84;0.00;1.01;0.59;0.00;96.57
ST-F-01;1;2024-10-11 10:59:51 UTC;-1;4.03;0.00;0.84;0.17;0.00;94.96
ST-F-01;1;2024-10-11 10:59:52 UTC;-1;0.84;0.00;0.25;0.25;0.00;98.66
ST-F-01;1;2024-10-11 10:59:53 UTC;-1;1.35;0.00;1.01;0.34;0.00;97.31
